Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1099.854,VER,1,,1.0,1.0,973.55,,,40.682,54.903,,1045.174,1099.923,296.0,240.0,247.0,298.0,False,HARD,1.0,True,Red Bull Racing,973.55,2023-07-07 11:31:14.513,1,,False,,False,False
1190.297,VER,1,90.443,2.0,1.0,,,28.48,36.966,24.997,1128.334,1165.3,1190.297,322.0,266.0,244.0,325.0,True,HARD,2.0,True,Red Bull Racing,1099.854,2023-07-07 11:33:20.817,1,,False,,False,True
1356.685,VER,1,,3.0,1.0,,,52.561,78.327,35.479,1243.094,1321.312,1356.733,154.0,119.0,247.0,217.0,False,HARD,3.0,True,Red Bull Racing,1190.297,2023-07-07 11:34:51.260,1,,False,,False,False
1466.29,VER,1,109.605,4.0,1.0,,,28.751,50.84,30.014,1385.436,1436.276,1466.29,320.0,226.0,250.0,270.0,False,HARD,4.0,True,Red Bull Racing,1356.685,2023-07-07 11:37:37.648,1,,False,,False,True
1556.153,VER,1,89.863,5.0,1.0,,,28.371,36.626,24.866,1494.661,1531.287,1556.153,321.0,266.0,247.0,323.0,True,HARD,5.0,True,Red Bull Racing,1466.29,2023-07-07 11:39:27.253,1,,False,,False,True
1683.412,VER,1,127.259,6.0,1.0,,,40.248,57.609,29.402,1596.401,1654.01,1683.412,208.0,234.0,246.0,227.0,False,HARD,6.0,True,Red Bull Racing,1556.153,2023-07-07 11:40:57.116,12,,False,,False,True
1791.266,VER,1,107.854,7.0,1.0,,,30.016,50.134,27.704,1713.428,1763.562,1791.266,186.0,238.0,250.0,284.0,False,HARD,7.0,True,Red Bull Racing,1683.412,2023-07-07 11:43:04.375,1,,False,,False,True
1890.166,VER,1,98.9,8.0,1.0,,1884.18,28.614,42.419,27.867,1819.88,1862.299,1890.166,320.0,230.0,,275.0,False,HARD,8.0,True,Red Bull Racing,1791.266,2023-07-07 11:44:52.229,1,,False,,False,False
2501.413,VER,1,,9.0,2.0,2398.284,,,39.38,26.207,,2475.408,2501.517,297.0,253.0,244.0,303.0,False,HARD,9.0,False,Red Bull Racing,1890.166,2023-07-07 11:46:31.129,1,,False,,False,False
2594.9,VER,1,93.487,10.0,2.0,,,29.424,38.163,25.9,2530.837,2569.0,2594.9,295.0,253.0,243.0,295.0,False,HARD,10.0,False,Red Bull Racing,2501.413,2023-07-07 11:56:42.376,1,,False,,False,True
2688.281,VER,1,93.381,11.0,2.0,,,29.351,38.096,25.934,2624.251,2662.347,2688.281,,254.0,241.0,298.0,False,HARD,11.0,False,Red Bull Racing,2594.9,2023-07-07 11:58:15.863,1,,False,,False,True
2781.851,VER,1,93.57,12.0,2.0,,,29.509,38.044,26.017,2717.79,2755.834,2781.851,297.0,253.0,242.0,302.0,False,HARD,12.0,False,Red Bull Racing,2688.281,2023-07-07 11:59:49.244,1,,False,,False,True
2875.371,VER,1,93.52,13.0,2.0,,,29.416,38.035,26.069,2811.267,2849.302,2875.371,299.0,255.0,241.0,302.0,False,HARD,13.0,False,Red Bull Racing,2781.851,2023-07-07 12:01:22.814,1,,False,,False,True
2969.172,VER,1,93.801,14.0,2.0,,,29.64,38.115,26.046,2905.011,2943.126,2969.172,298.0,254.0,241.0,303.0,False,HARD,14.0,False,Red Bull Racing,2875.371,2023-07-07 12:02:56.334,1,,False,,False,True
3062.736,VER,1,93.564,15.0,2.0,,,29.628,37.989,25.947,2998.8,3036.789,3062.736,295.0,256.0,243.0,304.0,False,HARD,15.0,False,Red Bull Racing,2969.172,2023-07-07 12:04:30.135,12,,False,,False,True
3155.93,VER,1,93.194,16.0,2.0,,,29.413,38.021,25.76,3092.149,3130.17,3155.93,299.0,255.0,245.0,303.0,False,HARD,16.0,False,Red Bull Racing,3062.736,2023-07-07 12:06:03.699,1,,False,,False,True
