Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1081.987,HAM,44,,1.0,1.0,978.828,,,41.426,24.441,,1057.624,1082.015,120.0,217.0,255.0,,False,HARD,1.0,True,Mercedes,978.828,2023-07-22 14:02:05.863,1,,False,,False,False
1161.171,HAM,44,79.184,2.0,1.0,,,28.612,28.182,22.39,1110.599,1138.781,1161.171,277.0,245.0,256.0,301.0,True,HARD,2.0,True,Mercedes,1081.987,2023-07-22 14:03:49.022,1,,False,,False,True
1299.881,HAM,44,138.71,3.0,1.0,,,50.94,52.385,35.385,1212.111,1264.496,1299.881,135.0,160.0,163.0,241.0,False,HARD,3.0,True,Mercedes,1161.171,2023-07-22 14:05:08.206,1,,False,,False,True
1421.284,HAM,44,121.403,4.0,1.0,,,44.12,51.872,25.411,1344.001,1395.873,1421.284,196.0,208.0,256.0,226.0,False,HARD,4.0,True,Mercedes,1299.881,2023-07-22 14:07:26.916,1,,False,,False,True
1529.9,HAM,44,108.616,5.0,1.0,,1520.088,33.023,36.633,38.96,1454.307,1490.94,1529.9,231.0,205.0,,304.0,False,HARD,5.0,True,Mercedes,1421.284,2023-07-22 14:09:28.319,1,,False,,False,False
1888.454,HAM,44,,6.0,2.0,1767.007,,,36.347,49.599,,1838.912,1888.631,244.0,207.0,254.0,,False,HARD,1.0,True,Mercedes,1529.9,2023-07-22 14:11:16.935,1,,False,,False,False
1967.031,HAM,44,78.577,7.0,2.0,,,28.516,27.973,22.088,1916.97,1944.943,1967.031,280.0,246.0,251.0,301.0,True,HARD,2.0,True,Mercedes,1888.454,2023-07-22 14:17:15.489,1,,False,,False,True
2068.347,HAM,44,101.316,8.0,2.0,,2066.504,33.442,36.74,31.134,2000.473,2037.213,2068.347,228.0,194.0,,279.0,False,HARD,3.0,True,Mercedes,1967.031,2023-07-22 14:18:34.066,1,,False,,False,False
2675.36,HAM,44,,9.0,3.0,2564.279,,,39.635,33.003,,2642.357,2675.387,236.0,186.0,258.0,,False,MEDIUM,1.0,True,Mercedes,2068.347,2023-07-22 14:20:15.382,1,,False,,False,False
2753.072,HAM,44,77.712,10.0,3.0,,,28.283,27.651,21.778,2703.643,2731.294,2753.072,279.0,250.0,257.0,303.0,True,MEDIUM,2.0,True,Mercedes,2675.36,2023-07-22 14:30:22.395,1,,False,,False,True
2855.443,HAM,44,102.371,11.0,3.0,,2853.589,37.793,35.476,29.102,2790.865,2826.341,2855.443,207.0,210.0,,282.0,False,MEDIUM,3.0,True,Mercedes,2753.072,2023-07-22 14:31:40.107,1,,False,,False,False
3172.861,HAM,44,,12.0,4.0,3062.461,,,39.509,27.01,,3145.913,3173.069,223.0,209.0,259.0,,False,MEDIUM,1.0,True,Mercedes,2855.443,2023-07-22 14:33:22.478,1,,False,,False,False
3250.288,HAM,44,77.427,13.0,4.0,,,28.271,27.494,21.662,3201.132,3228.626,3250.288,280.0,251.0,258.0,304.0,True,MEDIUM,2.0,True,Mercedes,3172.861,2023-07-22 14:38:39.896,1,,False,,False,True
3352.909,HAM,44,102.621,14.0,4.0,,3351.005,35.291,36.389,30.941,3285.579,3321.968,3352.909,215.0,200.0,,286.0,False,MEDIUM,3.0,True,Mercedes,3250.288,2023-07-22 14:39:57.323,1,,False,,False,False
3933.071,HAM,44,,15.0,5.0,3822.64,,,41.565,25.112,,3908.03,3933.108,150.0,190.0,260.0,,False,SOFT,1.0,True,Mercedes,3352.909,2023-07-22 14:41:39.944,1,,False,,False,False
4009.809,HAM,44,76.738,16.0,5.0,,,27.828,27.281,21.629,3960.899,3988.18,4009.809,280.0,250.0,256.0,304.0,True,SOFT,2.0,True,Mercedes,3933.071,2023-07-22 14:51:20.106,1,,False,,False,True
