Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
28.093,21.0,65.0,961.5,False,30.7,238,1.5
88.093,21.0,65.0,961.4,False,30.8,0,0.8
148.092,21.0,65.0,961.4,False,31.6,123,0.5
208.091,21.1,65.0,961.4,False,31.7,144,1.7
268.091,21.3,66.0,961.5,False,31.6,152,2.0
328.137,21.5,65.0,961.5,False,31.5,98,1.6
388.089,21.5,65.0,961.2,False,31.7,267,2.2
448.089,21.6,65.0,961.4,False,31.7,335,1.2
508.119,21.6,65.0,961.2,False,31.7,166,0.8
568.119,21.7,66.0,961.4,False,31.8,155,1.2
628.102,21.7,66.0,961.4,False,31.1,0,1.7
688.102,21.6,64.0,961.4,False,30.7,206,1.6
748.101,21.6,64.0,961.2,False,30.6,142,1.7
808.1,21.5,65.0,961.4,False,30.6,90,2.2
868.1,21.4,64.0,961.4,False,30.6,99,1.2
928.099,21.4,64.0,961.4,False,30.6,129,1.2
988.098,21.4,65.0,961.4,False,30.5,127,1.5
1048.113,21.4,65.0,961.5,False,30.5,346,1.0
1108.097,21.4,64.0,961.4,False,31.2,134,1.0
1168.096,21.5,65.0,961.4,False,31.6,227,1.7
1228.111,21.5,65.0,961.4,True,31.6,339,0.8
1288.095,21.4,64.0,961.4,True,31.2,161,0.6
1348.094,21.3,65.0,961.4,True,31.2,142,2.0
1408.109,21.2,66.0,961.4,True,30.5,289,1.2
1468.093,21.1,66.0,961.5,True,30.1,146,0.8
1528.092,21.0,66.0,961.5,True,30.1,200,1.6
1588.107,21.0,64.0,961.4,True,30.0,40,1.7
1648.107,21.0,65.0,961.5,True,29.6,149,2.5
1708.106,21.0,65.0,961.5,True,29.6,88,1.2
1768.09,20.9,65.0,961.5,True,29.4,121,1.3
1828.105,20.9,65.0,961.5,True,29.3,113,1.2
1888.104,20.7,66.0,961.5,True,29.0,147,1.2
1948.103,20.6,66.0,961.5,True,29.0,61,0.8
2008.103,20.6,66.0,961.5,True,29.0,123,1.3
2068.118,20.6,67.0,961.5,True,29.0,109,1.8
2128.101,20.5,67.0,961.5,True,28.7,107,0.6
2188.101,20.5,67.0,961.5,False,28.7,110,1.1
2248.116,20.5,67.0,961.5,False,28.9,88,0.8
2308.099,20.5,67.0,961.5,False,29.0,136,0.8
2368.114,20.4,67.0,961.5,False,28.9,152,1.2
2428.114,20.3,68.0,961.5,False,28.5,89,1.5
2488.113,20.3,68.0,961.5,True,28.4,134,1.0
2548.112,20.2,68.0,961.7,True,28.3,129,1.1
2608.127,20.1,71.0,961.7,True,27.8,258,1.2
2668.142,19.9,71.0,961.7,True,27.0,126,0.8
2728.141,19.8,73.0,961.9,True,26.5,140,2.5
2788.156,19.6,76.0,961.9,True,25.9,127,2.5
2848.171,19.2,78.0,961.7,True,24.1,159,3.0
2908.155,18.9,80.0,961.7,True,22.8,145,1.5
2968.154,18.5,81.0,961.7,True,22.8,218,0.8
3028.154,18.3,83.0,961.7,True,22.8,238,1.0
3088.184,18.2,85.0,961.5,True,23.6,85,0.6
3148.184,18.3,85.0,961.7,True,24.0,176,1.3
3208.183,18.1,84.0,961.7,True,24.6,112,0.8
3268.182,18.0,84.0,961.5,True,24.5,265,1.2
3328.197,17.9,84.0,961.7,True,24.3,81,0.6
3388.259,17.8,86.0,961.7,True,24.2,52,0.6
3448.212,17.8,87.0,961.5,True,24.1,179,0.4
3508.227,17.7,86.0,961.7,True,24.1,149,1.1
3568.226,17.6,86.0,961.5,True,24.1,215,0.6
3628.225,17.7,86.0,961.7,True,24.2,205,0.8
3688.24,17.7,87.0,961.5,False,24.8,141,0.8
3748.255,18.0,88.0,961.7,False,25.7,110,1.0
3808.239,18.0,88.0,961.5,True,25.8,162,0.8
3868.254,18.0,87.0,961.7,True,25.8,99,0.5
3928.253,18.1,88.0,961.7,False,26.7,15,1.0
3988.252,18.2,86.0,961.7,False,26.6,53,0.6
4048.236,18.3,87.0,961.7,False,26.6,306,0.5
4108.267,18.4,87.0,961.5,False,26.5,146,0.3
4168.25,18.5,88.0,961.5,False,26.4,116,0.6
4228.25,18.6,87.0,961.5,False,26.3,167,0.8
4288.265,18.5,86.0,961.4,False,26.3,104,1.1
4348.248,18.5,87.0,961.5,False,26.2,150,0.6
4408.263,18.6,87.0,961.5,False,26.0,157,0.5
4468.263,18.6,88.0,961.5,False,25.9,110,0.8
4528.246,18.6,86.0,961.5,False,25.9,171,1.0
4588.277,18.6,85.0,961.5,False,25.9,127,1.2
4648.276,18.5,85.0,961.5,False,25.7,99,0.8
4708.276,18.4,85.0,961.5,False,25.7,92,0.5
4768.291,18.5,86.0,961.5,False,25.5,165,1.1
4828.306,18.5,85.0,961.5,False,25.5,139,0.6
4888.289,18.5,86.0,961.5,False,25.7,127,1.7
4948.304,18.6,87.0,961.5,False,25.9,100,0.6
5008.304,18.6,84.0,961.5,False,25.9,130,1.0
5068.303,18.7,86.0,961.5,False,25.8,94,1.6
5128.318,18.8,87.0,961.4,False,25.9,168,0.8
5188.333,18.9,84.0,961.5,False,26.6,0,0.0
5248.348,18.9,85.0,961.5,False,26.7,25,0.8
5308.347,18.9,84.0,961.5,False,26.7,193,0.5
5368.362,18.9,83.0,961.5,False,26.7,39,0.8
5428.377,19.0,82.0,961.5,False,26.7,156,1.1
5488.376,19.0,81.0,961.5,False,26.6,243,1.1
5548.376,19.0,83.0,961.5,False,26.6,148,0.0
5608.406,19.1,82.0,961.5,False,26.6,140,1.2
5668.39,19.1,83.0,961.4,False,26.7,147,1.3
5728.389,19.1,81.0,961.5,False,26.7,141,1.6
5788.389,19.1,83.0,961.5,False,26.6,161,1.2
5848.404,19.1,80.0,961.5,False,26.4,156,1.2
5908.387,18.9,82.0,961.5,False,26.0,74,1.3
