Time,Status,Message
0.0,1,AllClear
74.906,2,Yellow
88.812,1,AllClear
662.04,2,Yellow
751.711,1,AllClear
789.835,2,Yellow
860.835,1,AllClear
949.224,2,Yellow
1034.02,1,AllClear
1153.909,2,Yellow
1413.703,1,AllClear
1481.531,2,Yellow
1623.623,1,AllClear
1625.826,2,Yellow
1656.591,1,AllClear
1763.528,2,Yellow
1882.745,1,AllClear
1884.433,2,Yellow
1902.417,1,AllClear
1909.401,2,Yellow
1926.12,1,AllClear
1947.416,2,Yellow
2025.134,1,AllClear
2030.447,2,Yellow
2096.633,1,AllClear
2161.742,2,Yellow
2229.038,1,AllClear
2274.1,2,Yellow
2351.209,1,AllClear
4460.81,2,Yellow
4491.607,1,AllClear
4707.605,2,Yellow
4711.839,5,Red
5276.755,1,AllClear
6152.932,2,Yellow
6184.916,1,AllClear
