Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1093.606,SAI,55,,1.0,1.0,961.998,,,51.737,42.765,,1050.856,1093.606,271.0,250.0,256.0,,False,SOFT,1.0,True,Ferrari,961.998,2023-09-16 13:01:02.637,1,,False,,False,False
1186.571,SAI,55,92.965,2.0,1.0,,,27.296,39.411,26.258,1120.902,1160.313,1186.571,311.0,280.0,258.0,302.0,True,SOFT,2.0,True,Ferrari,1093.606,2023-09-16 13:03:14.245,1,,False,,False,True
1348.473,SAI,55,,3.0,1.0,,,45.025,68.058,48.809,1231.634,1299.664,1348.664,133.0,159.0,149.0,217.0,False,SOFT,3.0,True,Ferrari,1186.571,2023-09-16 13:04:47.210,1,,False,,False,False
1489.134,SAI,55,140.661,4.0,1.0,,,47.129,58.322,35.21,1395.602,1453.924,1489.134,149.0,130.0,255.0,147.0,False,SOFT,4.0,True,Ferrari,1348.473,2023-09-16 13:07:29.112,1,,False,,False,True
1581.473,SAI,55,92.339,5.0,1.0,,,27.074,39.093,26.172,1516.208,1555.301,1581.473,315.0,280.0,259.0,302.0,True,SOFT,5.0,True,Ferrari,1489.134,2023-09-16 13:09:49.773,1,,False,,False,True
1701.687,SAI,55,120.214,6.0,1.0,,1693.892,34.771,46.52,38.923,1616.244,1662.764,1701.687,244.0,223.0,,225.0,False,SOFT,6.0,True,Ferrari,1581.473,2023-09-16 13:11:22.112,1,,False,,False,False
1959.237,SAI,55,,7.0,2.0,1811.484,,,49.338,56.302,,1902.935,1959.403,280.0,260.0,235.0,,False,SOFT,1.0,True,Ferrari,1701.687,2023-09-16 13:13:22.326,1,,False,,False,False
2063.099,SAI,55,103.862,8.0,2.0,,2055.229,27.32,38.601,37.941,1986.557,2025.158,2063.099,315.0,281.0,,297.0,False,SOFT,2.0,True,Ferrari,1959.237,2023-09-16 13:17:39.876,125,,False,,False,False
4243.337,SAI,55,,9.0,3.0,4104.178,,,51.079,39.751,,4203.613,4243.488,282.0,251.0,258.0,,False,SOFT,3.0,False,Ferrari,2063.099,2023-09-16 13:19:23.738,512,,False,,False,False
4335.23,SAI,55,91.893,10.0,3.0,,,26.989,38.689,26.215,4270.326,4309.015,4335.23,313.0,280.0,256.0,303.0,True,SOFT,4.0,False,Ferrari,4243.337,2023-09-16 13:55:43.976,1,,False,,False,True
4462.047,SAI,55,126.817,11.0,3.0,,4454.203,34.865,50.132,41.82,4370.095,4420.227,4462.047,208.0,187.0,,248.0,False,SOFT,5.0,False,Ferrari,4335.23,2023-09-16 13:57:15.869,1,,False,,False,False
