Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1018.835,VER,1,,1.0,1.0,918.665,,,32.566,27.46,,991.414,1018.835,210.0,277.0,283.0,131.0,False,SOFT,4.0,False,Red Bull Racing,918.665,2023-10-06 17:00:18.670,1,,False,,False,False
1105.719,VER,1,86.884,2.0,1.0,,,32.018,29.588,25.278,1050.853,1080.441,1105.719,239.0,290.0,285.0,317.0,True,SOFT,5.0,False,Red Bull Racing,1018.835,2023-10-06 17:01:58.840,1,,False,,False,True
1223.942,VER,1,118.223,3.0,1.0,,,47.159,41.297,29.767,1152.878,1194.175,1223.942,126.0,162.0,284.0,280.0,False,SOFT,6.0,False,Red Bull Racing,1105.719,2023-10-06 17:03:25.724,1,,False,,False,True
1310.43,VER,1,86.488,4.0,1.0,,,31.667,29.498,25.323,1255.609,1285.107,1310.43,241.0,289.0,283.0,322.0,True,SOFT,7.0,False,Red Bull Racing,1223.942,2023-10-06 17:05:23.947,1,,False,,False,True
1412.25,VER,1,101.82,5.0,1.0,,1408.141,34.858,33.28,33.682,1345.288,1378.568,1412.25,215.0,126.0,,291.0,False,SOFT,8.0,False,Red Bull Racing,1310.43,2023-10-06 17:06:50.435,1,,False,,False,False
1766.14,VER,1,,6.0,2.0,1657.324,,,36.931,35.905,,1731.479,1766.322,226.0,243.0,285.0,88.0,False,SOFT,1.0,True,Red Bull Racing,1412.25,2023-10-06 17:08:32.255,1,,False,,False,False
1851.147,VER,1,85.007,7.0,2.0,,,31.304,28.887,24.816,1797.444,1826.331,1851.147,242.0,289.0,285.0,320.0,True,SOFT,2.0,True,Red Bull Racing,1766.14,2023-10-06 17:14:26.145,1,,False,,False,True
1979.303,VER,1,128.156,8.0,2.0,,1966.287,42.908,35.483,49.765,1894.055,1929.538,1979.303,196.0,258.0,,201.0,False,SOFT,3.0,True,Red Bull Racing,1851.147,2023-10-06 17:15:51.152,1,,False,,False,False
2638.625,VER,1,,9.0,3.0,2541.48,,,34.579,28.272,,2610.37,2638.744,212.0,269.0,286.0,140.0,False,SOFT,4.0,False,Red Bull Racing,1979.303,2023-10-06 17:17:59.308,1,,False,,False,False
2723.383,VER,1,84.758,10.0,3.0,,,31.17,28.867,24.721,2669.795,2698.662,2723.383,246.0,288.0,284.0,320.0,True,SOFT,5.0,False,Red Bull Racing,2638.625,2023-10-06 17:28:58.630,1,,False,,False,True
2826.573,VER,1,103.19,11.0,3.0,,2822.428,38.345,31.496,33.349,2761.728,2793.224,2826.573,215.0,263.0,,211.0,False,SOFT,6.0,False,Red Bull Racing,2723.383,2023-10-06 17:30:23.388,1,,False,,False,False
3170.537,VER,1,,12.0,4.0,3075.158,,,31.591,27.271,,3143.313,3170.703,223.0,273.0,286.0,155.0,False,SOFT,1.0,True,Red Bull Racing,2826.573,2023-10-06 17:32:06.578,1,,False,,False,False
3255.02,VER,1,84.483,13.0,4.0,,,31.148,28.759,24.576,3201.685,3230.444,3255.02,245.0,288.0,283.0,319.0,True,SOFT,2.0,True,Red Bull Racing,3170.537,2023-10-06 17:37:50.542,1,,False,,False,True
3374.995,VER,1,119.975,14.0,4.0,,3370.856,44.113,39.849,36.013,3299.133,3338.982,3374.995,192.0,246.0,,208.0,False,SOFT,3.0,True,Red Bull Racing,3255.02,2023-10-06 17:39:15.025,1,,False,,False,False
3979.267,VER,1,,15.0,5.0,3883.097,,,34.544,27.152,,3952.143,3979.299,217.0,265.0,286.0,148.0,False,SOFT,1.0,True,Red Bull Racing,3374.995,2023-10-06 17:41:15.000,1,,False,,False,False
4063.045,VER,1,83.778,16.0,5.0,,,30.791,28.536,24.451,4010.058,4038.594,4063.045,242.0,288.0,285.0,320.0,True,SOFT,2.0,True,Red Bull Racing,3979.267,2023-10-06 17:51:19.272,1,,False,,False,True
4169.21,VER,1,106.165,17.0,5.0,,4165.077,39.0,32.876,34.289,4102.045,4134.921,4169.21,198.0,256.0,,246.0,False,SOFT,3.0,True,Red Bull Racing,4063.045,2023-10-06 17:52:43.050,1,,False,,False,False
4386.601,VER,1,,18.0,6.0,4292.512,,,32.184,27.09,,4359.511,4386.745,214.0,271.0,286.0,141.0,False,SOFT,1.0,True,Red Bull Racing,4169.21,2023-10-06 17:54:29.215,1,,False,,False,False
4484.774,VER,1,,19.0,6.0,,4484.774,33.33,32.466,,4419.963,4452.4,,177.0,256.0,,319.0,False,SOFT,2.0,True,Red Bull Racing,4386.601,2023-10-06 17:58:06.606,1,,False,,False,False
1106.659,RUS,63,,1.0,1.0,995.117,,,33.307,28.919,,1077.74,1106.708,216.0,268.0,285.0,102.0,False,MEDIUM,10.0,False,Mercedes,995.117,2023-10-06 17:01:35.122,1,,False,,False,False
1200.51,RUS,63,93.851,2.0,1.0,,1196.332,32.38,29.981,31.49,1139.039,1169.02,1200.51,239.0,263.0,,320.0,False,MEDIUM,11.0,False,Mercedes,1106.659,2023-10-06 17:03:26.664,1,,False,,False,False
1490.463,RUS,63,,3.0,2.0,1397.281,,,31.33,28.902,,1461.593,1490.639,225.0,267.0,282.0,163.0,False,SOFT,1.0,True,Mercedes,1200.51,2023-10-06 17:05:00.515,1,,False,,False,False
1576.371,RUS,63,85.908,4.0,2.0,,,31.816,28.997,25.095,1522.279,1551.276,1576.371,241.0,286.0,279.0,313.0,True,SOFT,2.0,True,Mercedes,1490.463,2023-10-06 17:09:50.468,1,,False,,False,True
1691.135,RUS,63,114.764,5.0,2.0,,,47.35,35.394,32.02,1623.721,1659.115,1691.135,176.0,247.0,281.0,287.0,False,SOFT,3.0,True,Mercedes,1576.371,2023-10-06 17:11:16.376,1,,False,,False,True
1810.349,RUS,63,119.214,6.0,2.0,,1806.196,31.843,38.672,48.699,1722.978,1761.65,1810.349,243.0,81.0,,312.0,False,SOFT,4.0,True,Mercedes,1691.135,2023-10-06 17:13:11.140,1,,False,,False,False
1946.678,RUS,63,136.329,7.0,3.0,1837.789,,65.169,34.011,37.149,1875.518,1909.529,1946.678,216.0,265.0,283.0,122.0,False,SOFT,1.0,True,Mercedes,1810.349,2023-10-06 17:15:10.354,1,,False,,False,False
2032.012,RUS,63,85.334,8.0,3.0,,,31.496,28.71,25.128,1978.174,2006.884,2032.012,243.0,286.0,280.0,316.0,True,SOFT,2.0,True,Mercedes,1946.678,2023-10-06 17:17:26.683,1,,False,,False,True
2150.262,RUS,63,118.25,9.0,3.0,,2146.128,44.247,34.941,39.062,2076.259,2111.2,2150.262,201.0,234.0,,146.0,False,SOFT,3.0,True,Mercedes,2032.012,2023-10-06 17:18:52.017,1,,False,,False,False
2717.188,RUS,63,,10.0,4.0,2614.51,,,33.153,29.98,,2687.228,2717.227,220.0,254.0,282.0,116.0,False,SOFT,1.0,True,Mercedes,2150.262,2023-10-06 17:20:50.267,1,,False,,False,False
2802.152,RUS,63,84.964,11.0,4.0,,,31.53,28.58,24.854,2748.718,2777.298,2802.152,243.0,286.0,282.0,313.0,True,SOFT,2.0,True,Mercedes,2717.188,2023-10-06 17:30:17.193,1,,False,,False,True
2921.856,RUS,63,119.704,12.0,4.0,,2917.724,41.812,39.854,38.038,2843.964,2883.818,2921.856,172.0,231.0,,291.0,False,SOFT,3.0,True,Mercedes,2802.152,2023-10-06 17:31:42.157,1,,False,,False,False
3248.535,RUS,63,,13.0,5.0,3135.188,,,33.213,36.32,,3212.234,3248.718,218.0,255.0,284.0,71.0,False,SOFT,4.0,False,Mercedes,2921.856,2023-10-06 17:33:41.861,1,,False,,False,False
3333.362,RUS,63,84.827,14.0,5.0,,,31.264,28.635,24.928,3279.799,3308.434,3333.362,246.0,285.0,282.0,316.0,True,SOFT,5.0,False,Mercedes,3248.535,2023-10-06 17:39:08.540,1,,False,,False,True
3447.479,RUS,63,114.117,15.0,5.0,,3443.308,43.128,34.084,36.905,3376.49,3410.574,3447.479,204.0,195.0,,145.0,False,SOFT,6.0,False,Mercedes,3333.362,2023-10-06 17:40:33.367,1,,False,,False,False
