Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2023-10-07 13:25:18,Other,CAR 27 (HUL) TIME 1:44.048 DELETED - TRACK LIMITS AT TURN 5 LAP 3 16:23:43,,,,,,
2023-10-07 13:26:24,Other,CAR 2 (SAR) TIME 1:27.337 DELETED - TRACK LIMITS AT TURN 13 LAP 3 16:24:46,,,,,,
2023-10-07 13:26:51,Other,CAR 10 (GAS) TIME 1:26.397 DELETED - TRACK LIMITS AT TURN 13 LAP 3 16:25:04,,,,,,
2023-10-07 13:28:04,Other,CAR 16 (LEC) TIME 1:55.220 DELETED - TRACK LIMITS AT TURN 5 LAP 5 16:26:35,,,,,,
2023-10-07 13:28:19,Other,CAR 18 (STR) TIME 1:56.874 DELETED - TRACK LIMITS AT TURN 5 LAP 5 16:26:38,,,,,,
2023-10-07 13:28:43,Other,CAR 24 (ZHO) TIME 1:27.058 DELETED - TRACK LIMITS AT TURN 13 LAP 3 16:28:02,,,,,,
2023-10-07 13:28:47,Other,CAR 44 (HAM) TIME 1:26.192 DELETED - TRACK LIMITS AT TURN 13 LAP 5 16:28:21,,,,,,
2023-10-07 13:29:05,Other,CAR 2 (SAR) TIME 1:42.554 DELETED - TRACK LIMITS AT TURN 5 LAP 5 16:27:41,,,,,,
2023-10-07 13:31:40,Other,CAR 27 (HUL) TIME 1:26.640 DELETED - TRACK LIMITS AT TURN 13 LAP 7 16:31:16,,,,,,
2023-10-07 13:31:59,Other,CAR 23 (ALB) TIME 1:59.437 DELETED - TRACK LIMITS AT TURN 5 LAP 5 16:30:23,,,,,,
2023-10-07 13:32:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2023-10-07 13:32:06,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2023-10-07 13:32:08,Other,DRS DISABLED IN ZONE 1,,,,,,
2023-10-07 13:32:09,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2023-10-07 13:32:09,Other,DRS ENABLED IN ZONE 1,,,,,,
2023-10-07 13:32:22,Other,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM),,,,,,
2023-10-07 13:32:42,Other,CAR 20 (MAG) TIME 1:27.016 DELETED - TRACK LIMITS AT TURN 13 LAP 5 16:31:35,,,,,,
2023-10-07 13:33:00,Other,CAR 2 (SAR) TIME 1:26.685 DELETED - TRACK LIMITS AT TURN 13 LAP 7 16:32:08,,,,,,
2023-10-07 13:33:27,Other,CAR 23 (ALB) TIME 1:26.710 DELETED - TRACK LIMITS AT TURN 5 LAP 6 16:32:21,,,,,,
2023-10-07 13:33:34,Other,CAR 22 (TSU) TIME 1:26.664 DELETED - TRACK LIMITS AT TURN 13 LAP 6 16:32:45,,,,,,
2023-10-07 13:33:50,Other,CAR 23 (ALB) TIME 1:26.710 DELETED - TRACK LIMITS AT TURN 13 LAP 6 16:32:59,,,,,,
2023-10-07 13:35:22,Other,"INCIDENT INVOLVING CARS 63 (RUS), 44 (HAM), 10 (GAS), 40 (LAW), 2 (SAR), 22 (TSU), 18 (STR), 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME",,,,,,
2023-10-07 13:36:11,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 63 (RUS), 44 (HAM), 10 (GAS), 40 (LAW), 2 (SAR), 22 (TSU), 18 (STR), 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME",,,,,,
2023-10-07 13:39:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2023-10-07 13:42:29,Other,CAR 44 (HAM) TIME 1:26.069 DELETED - TRACK LIMITS AT TURN 13 LAP 10 16:41:59,,,,,,
2023-10-07 13:42:57,Other,CAR 16 (LEC) TIME 1:26.110 DELETED - TRACK LIMITS AT TURN 5 LAP 11 16:41:51,,,,,,
2023-10-07 13:45:32,Other,CAR 24 (ZHO) TIME 1:33.307 DELETED - TRACK LIMITS AT TURN 5 LAP 8 16:44:26,,,,,,
2023-10-07 13:46:50,Other,CAR 55 (SAI) TIME 1:26.048 DELETED - TRACK LIMITS AT TURN 13 LAP 13 16:45:44,,,,,,
2023-10-07 13:48:55,Other,CAR 24 (ZHO) TIME 1:26.274 DELETED - TRACK LIMITS AT TURN 13 LAP 10 16:48:30,,,,,,
2023-10-07 13:49:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2023-10-07 13:49:03,Other,CAR 44 (HAM) TIME 1:25.626 DELETED - TRACK LIMITS AT TURN 5 LAP 14 16:48:03,,,,,,
2023-10-07 13:49:19,Other,FIRST CAR TO TAKE THE FLAG - CAR 63 (RUS),,,,,,
2023-10-07 13:50:26,Other,CAR 40 (LAW) TIME 1:26.041 DELETED - TRACK LIMITS AT TURN 15 LAP 12 16:49:10,,,,,,
2023-10-07 13:50:49,Other,CAR 24 (ZHO) LAP DELETED - TRACK LIMITS AT TURN 5 LAP 11 16:49:27,,,,,,
2023-10-07 13:53:27,Other,INCIDENT IN SQ2 INVOLVING CARS 63 (RUS) AND 10 (GAS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – MAXIMUM DELTA TIME,,,,,,
2023-10-07 13:56:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
