Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1246.022,VER,1,,1.0,1.0,1122.177,,,47.724,43.065,,1202.957,1246.081,188.0,176.0,212.0,290.0,False,MEDIUM,1.0,True,Red Bull Racing,1122.177,2023-10-21 17:33:43.984,1,,False,,False,False
1342.019,VER,1,95.997,2.0,1.0,,,25.742,38.648,31.607,1271.764,1310.412,1342.019,231.0,184.0,207.0,322.0,True,MEDIUM,2.0,True,Red Bull Racing,1246.022,2023-10-21 17:35:47.829,1,,False,,False,True
1471.923,VER,1,129.904,3.0,1.0,,1470.859,39.524,51.445,38.935,1381.543,1432.988,1471.923,152.0,169.0,,245.0,False,MEDIUM,3.0,True,Red Bull Racing,1342.019,2023-10-21 17:37:23.826,1,,False,,False,False
2153.014,VER,1,,4.0,2.0,2042.911,,,43.771,36.886,,2116.128,2153.206,188.0,153.0,213.0,277.0,False,MEDIUM,1.0,True,Red Bull Racing,1471.923,2023-10-21 17:39:33.730,1,,False,,False,False
2248.195,VER,1,95.181,5.0,2.0,,,25.507,38.352,31.322,2178.521,2216.873,2248.195,231.0,186.0,209.0,320.0,True,MEDIUM,2.0,True,Red Bull Racing,2153.014,2023-10-21 17:50:54.821,1,,False,,False,True
2379.795,VER,1,131.6,6.0,2.0,,,38.445,54.148,39.007,2286.64,2340.788,2379.795,126.0,130.0,184.0,209.0,False,MEDIUM,3.0,True,Red Bull Racing,2248.195,2023-10-21 17:52:30.002,1,,False,,False,True
2505.345,VER,1,125.55,7.0,2.0,,,35.259,53.482,36.809,2415.054,2468.536,2505.345,147.0,153.0,214.0,193.0,False,MEDIUM,4.0,True,Red Bull Racing,2379.795,2023-10-21 17:54:41.602,1,,False,,False,True
2623.638,VER,1,118.293,8.0,2.0,,2621.698,25.667,52.285,40.341,2531.012,2583.297,2623.638,230.0,146.0,,224.0,False,MEDIUM,5.0,True,Red Bull Racing,2505.345,2023-10-21 17:56:47.152,1,,False,,False,False
3381.551,VER,1,,9.0,3.0,3263.311,,,47.283,39.44,,3342.122,3381.747,172.0,153.0,215.0,283.0,False,SOFT,1.0,True,Red Bull Racing,2623.638,2023-10-21 17:58:45.445,1,,False,,False,False
3476.089,VER,1,94.538,10.0,3.0,,,25.461,38.16,30.917,3407.012,3445.172,3476.089,238.0,186.0,210.0,321.0,True,SOFT,2.0,True,Red Bull Racing,3381.551,2023-10-21 18:11:23.358,1,,False,,False,True
