Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2023-11-18 04:15:23,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2023-11-18 04:17:49,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2023-11-18 04:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2023-11-18 04:47:26,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2023-11-18 04:47:27,Other,DRS DISABLED IN ZONE 1,,,,,,
2023-11-18 04:47:34,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2023-11-18 04:47:34,Other,DRS ENABLED IN ZONE 1,,,,,,
2023-11-18 04:47:41,CarEvent,CAR 20 (MAG) OFF TRACK AND CONTINUED AT TURN 5,,,,,20,
2023-11-18 04:52:41,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2023-11-18 04:52:43,Other,DRS DISABLED IN ZONE 2,,,,,,
2023-11-18 04:52:45,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2023-11-18 04:52:45,Other,DRS ENABLED IN ZONE 2,,,,,,
2023-11-18 04:52:55,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 14,,,,,77,
2023-11-18 04:53:41,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2023-11-18 04:53:44,Other,DRS DISABLED IN ZONE 1,,,,,,
2023-11-18 04:53:51,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2023-11-18 04:53:52,Other,DRS ENABLED IN ZONE 1,,,,,,
2023-11-18 04:53:53,CarEvent,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 5,,,,,2,
2023-11-18 05:09:57,Flag,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,,BLACK AND WHITE,Driver,,22,
2023-11-18 05:17:55,CarEvent,CAR 24 (ZHO) OFF TRACK AND CONTINUED AT TURN 1,,,,,24,
2023-11-18 05:18:45,CarEvent,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 12,,,,,63,
2023-11-18 05:19:17,CarEvent,CAR 3 (RIC) OFF TRACK AND CONTINUED AT TURN 12,,,,,3,
2023-11-18 05:19:29,CarEvent,CAR 1 (VER) OFF TRACK AND CONTINUED AT TURN 12,,,,,1,
2023-11-18 05:20:01,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2023-11-18 05:20:03,Other,DRS DISABLED IN ZONE 1,,,,,,
2023-11-18 05:20:13,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2023-11-18 05:20:13,Other,DRS ENABLED IN ZONE 1,,,,,,
2023-11-18 05:20:28,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 5,,,,,23,
2023-11-18 05:24:18,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2023-11-18 05:24:31,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2023-11-18 05:24:33,Other,DRS DISABLED IN ZONE 2,,,,,,
2023-11-18 05:25:07,Flag,RED FLAG,,RED,Track,,,
2023-11-18 05:25:07,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2023-11-18 05:25:07,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2023-11-18 05:25:20,Other,SESSION WILL NOT BE RESUMED,,,,,,
2023-11-18 05:25:36,Other,NO PRACTICE STARTS,,,,,,
2023-11-18 05:28:28,Flag,TRACK CLEAR,,CLEAR,Track,,,
