Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3836.965,VER,1,92.19,1.0,1.0,,,,38.769,33.004,,3804.128,3837.112,284.0,293.0,213.0,304.0,False,MEDIUM,1.0,True,Red Bull Racing,3744.519,2023-11-26 13:03:25.644,1,1.0,False,,False,False
3927.675,VER,1,90.71,2.0,1.0,,,18.377,38.691,33.642,3855.424,3894.115,3927.757,281.0,285.0,212.0,294.0,True,MEDIUM,2.0,True,Red Bull Racing,3836.965,2023-11-26 13:04:58.090,1,1.0,False,,False,True
4018.083,VER,1,90.408,3.0,1.0,,,18.549,38.725,33.134,3946.306,3985.031,4018.165,280.0,293.0,211.0,299.0,True,MEDIUM,3.0,True,Red Bull Racing,3927.675,2023-11-26 13:06:28.800,1,1.0,False,,False,True
4108.799,VER,1,90.716,4.0,1.0,,,18.562,38.81,33.344,4036.727,4075.537,4108.881,,291.0,212.0,293.0,False,MEDIUM,4.0,True,Red Bull Racing,4018.083,2023-11-26 13:07:59.208,1,1.0,False,,False,True
4199.351,VER,1,90.552,5.0,1.0,,,18.599,38.714,33.239,4127.48,4166.194,4199.433,,293.0,209.0,291.0,False,MEDIUM,5.0,True,Red Bull Racing,4108.799,2023-11-26 13:09:29.924,1,1.0,False,,False,True
4289.791,VER,1,90.44,6.0,1.0,,,18.445,38.767,33.228,4217.878,4256.645,4289.873,281.0,294.0,212.0,291.0,False,MEDIUM,6.0,True,Red Bull Racing,4199.351,2023-11-26 13:11:00.476,1,1.0,False,,False,True
4380.32,VER,1,90.529,7.0,1.0,,,18.491,38.692,33.346,4308.364,4347.056,4380.402,,294.0,210.0,294.0,False,MEDIUM,7.0,True,Red Bull Racing,4289.791,2023-11-26 13:12:30.916,1,1.0,False,,False,True
4470.836,VER,1,90.516,8.0,1.0,,,18.368,38.719,33.429,4398.77,4437.489,4470.918,282.0,293.0,209.0,294.0,False,MEDIUM,8.0,True,Red Bull Racing,4380.32,2023-11-26 13:14:01.445,1,1.0,False,,False,True
4561.468,VER,1,90.632,9.0,1.0,,,18.439,38.862,33.331,4489.357,4528.219,4561.55,,293.0,210.0,295.0,False,MEDIUM,9.0,True,Red Bull Racing,4470.836,2023-11-26 13:15:31.961,1,1.0,False,,False,True
4651.974,VER,1,90.506,10.0,1.0,,,18.414,38.75,33.342,4579.964,4618.714,4652.056,,292.0,210.0,295.0,False,MEDIUM,10.0,True,Red Bull Racing,4561.468,2023-11-26 13:17:02.593,1,1.0,False,,False,True
4742.535,VER,1,90.561,11.0,1.0,,,18.432,38.836,33.293,4670.488,4709.324,4742.617,,294.0,210.0,294.0,False,MEDIUM,11.0,True,Red Bull Racing,4651.974,2023-11-26 13:18:33.099,1,1.0,False,,False,True
4833.125,VER,1,90.59,12.0,1.0,,,18.433,38.875,33.282,4761.05,4799.925,4833.207,281.0,294.0,210.0,296.0,False,MEDIUM,12.0,True,Red Bull Racing,4742.535,2023-11-26 13:20:03.660,1,1.0,False,,False,True
4923.686,VER,1,90.561,13.0,1.0,,,18.427,38.811,33.323,4851.634,4890.445,4923.768,,297.0,210.0,296.0,False,MEDIUM,13.0,True,Red Bull Racing,4833.125,2023-11-26 13:21:34.250,1,1.0,False,,False,True
5014.333,VER,1,90.647,14.0,1.0,,,18.412,38.79,33.445,4942.18,4980.97,5014.415,,295.0,211.0,297.0,False,MEDIUM,14.0,True,Red Bull Racing,4923.686,2023-11-26 13:23:04.811,1,1.0,False,,False,True
5104.6,VER,1,90.267,15.0,1.0,,,18.168,38.814,33.285,5032.583,5071.397,5104.682,282.0,295.0,209.0,298.0,True,MEDIUM,15.0,True,Red Bull Racing,5014.333,2023-11-26 13:24:35.458,1,1.0,False,,False,True
5197.158,VER,1,92.558,16.0,1.0,,5196.112,18.117,39.027,35.414,5122.799,5161.826,5197.24,283.0,295.0,,297.0,False,MEDIUM,16.0,True,Red Bull Racing,5104.6,2023-11-26 13:26:05.725,1,1.0,False,,False,False
5307.346,VER,1,110.188,17.0,2.0,5217.721,,38.181,38.775,33.232,5235.421,5274.196,5307.428,283.0,289.0,211.0,292.0,False,HARD,1.0,True,Red Bull Racing,5197.158,2023-11-26 13:27:38.283,1,7.0,False,,False,False
5397.242,VER,1,89.896,18.0,2.0,,,18.177,38.474,33.245,5325.605,5364.079,5397.324,284.0,294.0,212.0,300.0,True,HARD,2.0,True,Red Bull Racing,5307.346,2023-11-26 13:29:28.471,1,4.0,False,,False,True
5486.628,VER,1,89.386,19.0,2.0,,,18.279,38.057,33.05,5415.603,5453.66,5486.71,287.0,301.0,212.0,323.0,True,HARD,3.0,True,Red Bull Racing,5397.242,2023-11-26 13:30:58.367,1,3.0,False,,False,True
5576.256,VER,1,89.628,20.0,2.0,,,18.203,38.358,33.067,5504.913,5543.271,5576.338,285.0,301.0,210.0,306.0,False,HARD,4.0,True,Red Bull Racing,5486.628,2023-11-26 13:32:27.753,1,3.0,False,,False,True
5665.383,VER,1,89.127,21.0,2.0,,,18.244,37.84,33.043,5594.582,5632.422,5665.465,286.0,322.0,211.0,312.0,True,HARD,5.0,True,Red Bull Racing,5576.256,2023-11-26 13:33:57.381,1,2.0,False,,False,True
5755.072,VER,1,89.689,22.0,2.0,,,18.395,38.444,32.85,5683.86,5722.304,5755.154,283.0,298.0,211.0,303.0,False,HARD,6.0,True,Red Bull Racing,5665.383,2023-11-26 13:35:26.508,1,2.0,False,,False,True
5844.706,VER,1,89.634,23.0,2.0,,,18.251,38.546,32.837,5773.405,5811.951,5844.788,284.0,297.0,211.0,297.0,False,HARD,7.0,True,Red Bull Racing,5755.072,2023-11-26 13:36:56.197,1,1.0,True,TRACK LIMITS AT TURN 1 LAP 23 ,False,True
5933.999,VER,1,89.293,24.0,2.0,,,18.149,38.385,32.759,5862.937,5901.322,5934.081,,298.0,212.0,304.0,False,HARD,8.0,True,Red Bull Racing,5844.706,2023-11-26 13:38:25.831,1,1.0,False,,False,True
6023.4,VER,1,89.401,25.0,2.0,,,18.161,38.436,32.804,5952.242,5990.678,6023.482,,302.0,212.0,301.0,False,HARD,9.0,True,Red Bull Racing,5933.999,2023-11-26 13:39:55.124,1,1.0,False,,False,True
6112.689,VER,1,89.289,26.0,2.0,,,18.151,38.435,32.703,6041.633,6080.068,6112.771,,297.0,212.0,301.0,False,HARD,10.0,True,Red Bull Racing,6023.4,2023-11-26 13:41:24.525,1,1.0,False,,False,True
6201.845,VER,1,89.156,27.0,2.0,,,18.092,38.399,32.665,6130.863,6169.262,6201.927,285.0,298.0,213.0,302.0,False,HARD,11.0,True,Red Bull Racing,6112.689,2023-11-26 13:42:53.814,1,1.0,False,,False,True
6291.062,VER,1,89.217,28.0,2.0,,,18.052,38.437,32.728,6219.979,6258.416,6291.144,286.0,295.0,211.0,297.0,False,HARD,12.0,True,Red Bull Racing,6201.845,2023-11-26 13:44:22.970,1,1.0,False,,False,True
6380.245,VER,1,89.183,29.0,2.0,,,17.953,38.469,32.761,6309.097,6347.566,6380.327,,298.0,211.0,301.0,False,HARD,13.0,True,Red Bull Racing,6291.062,2023-11-26 13:45:52.187,1,1.0,False,,False,True
6469.511,VER,1,89.266,30.0,2.0,,,18.08,38.425,32.761,6398.407,6436.832,6469.593,,295.0,212.0,301.0,False,HARD,14.0,True,Red Bull Racing,6380.245,2023-11-26 13:47:21.370,1,1.0,False,,False,True
6558.66,VER,1,89.149,31.0,2.0,,,18.014,38.411,32.724,6487.607,6526.018,6558.742,,300.0,212.0,302.0,False,HARD,15.0,True,Red Bull Racing,6469.511,2023-11-26 13:48:50.636,1,1.0,False,,False,True
6647.76,VER,1,89.1,32.0,2.0,,,17.994,38.454,32.652,6576.736,6615.19,6647.842,,298.0,212.0,302.0,True,HARD,16.0,True,Red Bull Racing,6558.66,2023-11-26 13:50:19.785,1,1.0,False,,False,True
6736.897,VER,1,89.137,33.0,2.0,,,18.0,38.435,32.702,6665.842,6704.277,6736.979,,301.0,212.0,302.0,False,HARD,17.0,True,Red Bull Racing,6647.76,2023-11-26 13:51:48.885,1,1.0,False,,False,True
6825.974,VER,1,89.077,34.0,2.0,,,17.92,38.467,32.69,6754.899,6793.366,6826.056,,300.0,213.0,303.0,True,HARD,18.0,True,Red Bull Racing,6736.897,2023-11-26 13:53:18.022,1,1.0,False,,False,True
6915.122,VER,1,89.148,35.0,2.0,,,17.929,38.526,32.693,6843.985,6882.511,6915.204,,300.0,211.0,301.0,False,HARD,19.0,True,Red Bull Racing,6825.974,2023-11-26 13:54:47.099,1,1.0,False,,False,True
7004.024,VER,1,88.902,36.0,2.0,,,17.853,38.456,32.593,6933.057,6971.513,7004.106,,298.0,212.0,299.0,True,HARD,20.0,True,Red Bull Racing,6915.122,2023-11-26 13:56:16.247,1,1.0,False,,False,True
7092.934,VER,1,88.91,37.0,2.0,,,17.837,38.463,32.61,7021.943,7060.406,7093.016,287.0,297.0,212.0,300.0,False,HARD,21.0,True,Red Bull Racing,7004.024,2023-11-26 13:57:45.149,1,1.0,False,,False,True
7182.007,VER,1,89.073,38.0,2.0,,,17.858,38.536,32.679,7110.874,7149.41,7182.089,,296.0,213.0,300.0,False,HARD,22.0,True,Red Bull Racing,7092.934,2023-11-26 13:59:14.059,1,1.0,False,,False,True
7270.856,VER,1,88.849,39.0,2.0,,,17.737,38.388,32.724,7199.826,7238.214,7270.938,,297.0,211.0,302.0,True,HARD,23.0,True,Red Bull Racing,7182.007,2023-11-26 14:00:43.132,1,1.0,False,,False,True
7359.909,VER,1,89.053,40.0,2.0,,,17.812,38.527,32.714,7288.75,7327.277,7359.991,288.0,295.0,212.0,300.0,False,HARD,24.0,True,Red Bull Racing,7270.856,2023-11-26 14:02:11.981,1,1.0,False,,False,True
7448.912,VER,1,89.003,41.0,2.0,,,17.824,38.514,32.665,7377.815,7416.329,7448.994,,297.0,211.0,301.0,False,HARD,25.0,True,Red Bull Racing,7359.909,2023-11-26 14:03:41.034,1,1.0,False,,False,True
7537.994,VER,1,89.082,42.0,2.0,,,17.811,38.492,32.779,7466.805,7505.297,7538.076,,297.0,211.0,301.0,False,HARD,26.0,True,Red Bull Racing,7448.912,2023-11-26 14:05:10.037,1,1.0,False,,False,True
7629.385,VER,1,91.391,43.0,2.0,,7628.444,17.835,38.509,35.047,7555.911,7594.42,7629.467,,296.0,,302.0,False,HARD,27.0,True,Red Bull Racing,7537.994,2023-11-26 14:06:39.119,1,1.0,False,,False,False
7737.555,VER,1,108.17,44.0,3.0,7649.615,,37.987,38.194,31.989,7667.454,7705.648,7737.637,285.0,295.0,216.0,298.0,False,HARD,1.0,True,Red Bull Racing,7629.385,2023-11-26 14:08:10.510,1,1.0,False,,False,False
7824.548,VER,1,86.993,45.0,3.0,,,17.505,37.714,31.774,7755.142,7792.856,7824.63,288.0,296.0,217.0,299.0,True,HARD,2.0,True,Red Bull Racing,7737.555,2023-11-26 14:09:58.680,1,1.0,False,,False,True
7912.45,VER,1,87.902,46.0,3.0,,,17.608,38.118,32.176,7842.238,7880.356,7912.532,,292.0,215.0,297.0,False,HARD,3.0,True,Red Bull Racing,7824.548,2023-11-26 14:11:25.673,1,1.0,False,,False,True
8000.412,VER,1,87.962,47.0,3.0,,,17.677,38.214,32.071,7930.209,7968.423,8000.494,287.0,292.0,212.0,298.0,False,HARD,4.0,True,Red Bull Racing,7912.45,2023-11-26 14:12:53.575,1,1.0,False,,False,True
8088.38,VER,1,87.968,48.0,3.0,,,17.606,38.23,32.132,8018.1,8056.33,8088.462,288.0,293.0,214.0,299.0,False,HARD,5.0,True,Red Bull Racing,8000.412,2023-11-26 14:14:21.537,1,1.0,False,,False,True
8176.281,VER,1,87.901,49.0,3.0,,,17.664,38.259,31.978,8106.126,8144.385,8176.363,,293.0,215.0,297.0,False,HARD,6.0,True,Red Bull Racing,8088.38,2023-11-26 14:15:49.505,1,1.0,False,,False,True
8264.321,VER,1,88.04,50.0,3.0,,,17.648,38.269,32.123,8194.011,8232.28,8264.403,289.0,292.0,214.0,298.0,False,HARD,7.0,True,Red Bull Racing,8176.281,2023-11-26 14:17:17.406,1,1.0,False,,False,True
8352.17,VER,1,87.849,51.0,3.0,,,17.642,38.051,32.156,8282.045,8320.096,8352.252,288.0,292.0,214.0,297.0,False,HARD,8.0,True,Red Bull Racing,8264.321,2023-11-26 14:18:45.446,1,1.0,False,,False,True
8440.021,VER,1,87.851,52.0,3.0,,,17.566,38.101,32.184,8369.818,8407.919,8440.103,289.0,293.0,214.0,298.0,False,HARD,9.0,True,Red Bull Racing,8352.17,2023-11-26 14:20:13.295,1,1.0,False,,False,True
8527.704,VER,1,87.683,53.0,3.0,,,17.591,37.751,32.341,8457.694,8495.445,8527.786,290.0,319.0,214.0,303.0,False,HARD,10.0,True,Red Bull Racing,8440.021,2023-11-26 14:21:41.146,1,1.0,False,,False,True
8615.217,VER,1,87.513,54.0,3.0,,,17.614,37.745,32.154,8545.4,8583.145,8615.299,291.0,292.0,214.0,322.0,False,HARD,11.0,True,Red Bull Racing,8527.704,2023-11-26 14:23:08.829,1,1.0,False,,False,True
8703.147,VER,1,87.93,55.0,3.0,,,17.562,38.271,32.097,8632.861,8671.132,8703.229,289.0,294.0,216.0,298.0,False,HARD,12.0,True,Red Bull Racing,8615.217,2023-11-26 14:24:36.342,1,1.0,False,,False,True
8790.874,VER,1,87.727,56.0,3.0,,,17.513,38.046,32.168,8720.742,8758.788,8790.956,290.0,295.0,213.0,299.0,False,HARD,13.0,True,Red Bull Racing,8703.147,2023-11-26 14:26:04.272,1,1.0,False,,False,True
8878.854,VER,1,87.98,57.0,3.0,,,17.598,38.129,32.253,8808.554,8846.683,8878.936,,296.0,214.0,299.0,False,HARD,14.0,True,Red Bull Racing,8790.874,2023-11-26 14:27:31.999,1,1.0,False,,False,True
8967.399,VER,1,88.545,58.0,3.0,,,17.59,38.071,32.884,8896.526,8934.597,8967.481,,300.0,203.0,303.0,False,HARD,15.0,True,Red Bull Racing,8878.854,2023-11-26 14:28:59.979,1,1.0,False,,False,True
