Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1340.98,VER,1,,1.0,1.0,1210.428,,,46.454,27.668,,1313.374,1341.019,226.0,256.0,291.0,110.0,False,SOFT,1.0,True,Red Bull Racing,1210.428,2024-03-01 16:06:46.101,1,,False,,False,False
1431.011,VER,1,90.031,2.0,1.0,,,28.787,38.58,22.664,1369.767,1408.347,1431.011,242.0,270.0,288.0,316.0,True,SOFT,2.0,True,Red Bull Racing,1340.98,2024-03-01 16:08:56.653,1,,False,,False,True
1559.737,VER,1,128.726,3.0,1.0,,1558.003,37.524,56.168,35.034,1468.535,1524.703,1559.737,153.0,168.0,,207.0,False,SOFT,3.0,True,Red Bull Racing,1431.011,2024-03-01 16:10:26.684,1,,False,,False,False
1869.934,VER,1,,4.0,2.0,1758.091,,,46.144,29.156,,1840.828,1870.171,174.0,238.0,288.0,139.0,False,SOFT,4.0,False,Red Bull Racing,1559.737,2024-03-01 16:12:35.410,1,,False,,False,False
1960.094,VER,1,90.16,5.0,2.0,,,28.822,38.767,22.571,1898.756,1937.523,1960.094,241.0,271.0,286.0,317.0,False,SOFT,5.0,False,Red Bull Racing,1869.934,2024-03-01 16:17:45.607,1,,False,,False,True
2062.949,VER,1,102.855,6.0,2.0,,2061.124,32.8,42.21,27.845,1992.894,2035.104,2062.949,217.0,252.0,,224.0,False,SOFT,6.0,False,Red Bull Racing,1960.094,2024-03-01 16:19:15.767,1,,False,,False,False
2620.016,VER,1,,7.0,3.0,2502.542,,,47.747,26.83,,2593.186,2620.109,231.0,229.0,293.0,91.0,False,SOFT,1.0,True,Red Bull Racing,2062.949,2024-03-01 16:20:58.622,1,,False,,False,False
2709.39,VER,1,89.374,8.0,3.0,,,28.509,38.387,22.478,2648.525,2686.912,2709.39,242.0,271.0,287.0,327.0,True,SOFT,2.0,True,Red Bull Racing,2620.016,2024-03-01 16:30:15.689,1,,False,,False,True
2826.263,VER,1,116.873,9.0,3.0,,2825.349,35.265,49.962,31.646,2744.655,2794.617,2826.263,210.0,187.0,,212.0,False,SOFT,3.0,True,Red Bull Racing,2709.39,2024-03-01 16:31:45.063,1,,False,,False,False
3136.553,VER,1,,10.0,4.0,3008.844,,,46.574,24.652,,3111.938,3136.589,227.0,233.0,289.0,51.0,False,SOFT,4.0,False,Red Bull Racing,2826.263,2024-03-01 16:33:41.936,1,,False,,False,False
3234.34,VER,1,97.787,11.0,4.0,,3232.588,28.759,39.048,29.98,3165.312,3204.36,3234.34,240.0,207.0,,321.0,False,SOFT,5.0,False,Red Bull Racing,3136.553,2024-03-01 16:38:52.226,1,,False,,False,False
3833.741,VER,1,,12.0,5.0,3725.966,,,47.589,24.603,,3809.229,3833.889,212.0,214.0,289.0,171.0,False,SOFT,1.0,True,Red Bull Racing,3234.34,2024-03-01 16:40:30.013,1,,False,,False,False
3923.162,VER,1,89.421,13.0,5.0,,,28.686,38.361,22.374,3862.427,3900.788,3923.162,241.0,272.0,286.0,320.0,True,SOFT,2.0,True,Red Bull Racing,3833.741,2024-03-01 16:50:29.414,1,,False,,False,True
4035.907,VER,1,112.745,14.0,5.0,,4034.256,33.465,48.172,31.108,3956.627,4004.799,4035.907,208.0,200.0,,217.0,False,SOFT,3.0,True,Red Bull Racing,3923.162,2024-03-01 16:51:58.835,1,,False,,False,False
4354.125,VER,1,,15.0,6.0,4242.41,,,46.277,32.772,,4321.357,4355.939,229.0,241.0,292.0,173.0,False,SOFT,1.0,True,Red Bull Racing,4035.907,2024-03-01 16:53:51.580,1,,False,,False,False
4443.304,VER,1,89.179,16.0,6.0,,,28.535,38.269,22.375,4382.66,4420.929,4443.304,242.0,271.0,288.0,320.0,True,SOFT,2.0,True,Red Bull Racing,4354.125,2024-03-01 16:59:09.798,1,,False,,False,True
4562.987,VER,1,119.683,17.0,6.0,,4560.132,36.239,46.101,37.343,4479.543,4525.644,4562.987,214.0,174.0,,202.0,False,SOFT,3.0,True,Red Bull Racing,4443.304,2024-03-01 17:00:38.977,1,,False,,False,False
936.837,LEC,16,,1.0,1.0,821.044,,,45.475,27.582,,909.266,937.019,219.0,240.0,285.0,73.0,False,MEDIUM,1.0,True,Ferrari,821.044,2024-03-01 16:00:16.717,1,,False,,False,False
1028.097,LEC,16,91.26,2.0,1.0,,,29.522,39.009,22.729,966.359,1005.368,1028.097,240.0,273.0,283.0,313.0,True,MEDIUM,2.0,True,Ferrari,936.837,2024-03-01 16:02:12.510,1,,False,,False,True
1140.023,LEC,16,111.926,3.0,1.0,,1138.523,35.914,47.096,28.916,1064.011,1111.107,1140.023,177.0,220.0,,235.0,False,MEDIUM,3.0,True,Ferrari,1028.097,2024-03-01 16:03:43.770,1,,False,,False,False
1396.225,LEC,16,,4.0,2.0,1271.035,,,48.77,25.253,,1370.972,1396.566,192.0,214.0,287.0,63.0,False,SOFT,1.0,True,Ferrari,1140.023,2024-03-01 16:05:35.696,1,,False,,False,False
1486.468,LEC,16,90.243,5.0,2.0,,,29.067,38.589,22.587,1425.292,1463.881,1486.468,243.0,272.0,286.0,316.0,True,SOFT,2.0,True,Ferrari,1396.225,2024-03-01 16:09:51.898,1,,False,,False,True
1595.006,LEC,16,108.538,6.0,2.0,,1593.322,34.753,45.574,28.211,1521.221,1566.795,1595.006,211.0,226.0,,263.0,False,SOFT,3.0,True,Ferrari,1486.468,2024-03-01 16:11:22.141,1,,False,,False,False
1870.595,LEC,16,,7.0,3.0,1742.879,1868.803,,48.255,36.81,,1833.785,1870.674,222.0,128.0,,66.0,False,SOFT,1.0,True,Ferrari,1595.006,2024-03-01 16:13:10.679,1,,False,,False,False
2607.187,LEC,16,,8.0,4.0,2473.333,,,45.134,26.521,,2580.787,2607.187,219.0,231.0,286.0,43.0,False,SOFT,4.0,False,Ferrari,1870.595,2024-03-01 16:17:46.268,1,,False,,False,False
2697.281,LEC,16,90.094,9.0,4.0,,,29.014,38.507,22.573,2636.201,2674.708,2697.281,242.0,273.0,287.0,316.0,True,SOFT,5.0,False,Ferrari,2607.187,2024-03-01 16:30:02.860,1,,False,,False,True
2804.511,LEC,16,107.23,10.0,4.0,,2802.798,33.625,45.185,28.42,2730.906,2776.091,2804.511,217.0,229.0,,251.0,False,SOFT,6.0,False,Ferrari,2697.281,2024-03-01 16:31:32.954,1,,False,,False,False
3123.177,LEC,16,,11.0,5.0,2992.962,,,45.592,24.639,,3098.538,3123.338,220.0,232.0,287.0,38.0,False,SOFT,1.0,True,Ferrari,2804.511,2024-03-01 16:33:20.184,1,,False,,False,False
