Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3679.63,VER,1,95.505,1.0,1.0,,,,29.707,29.83,,3649.948,3679.666,284.0,294.0,290.0,298.0,False,MEDIUM,1.0,True,Red Bull Racing,3583.836,2024-03-09 17:03:59.056,1,1.0,False,,False,False
3773.835,VER,1,94.205,2.0,1.0,,,34.72,29.628,29.857,3714.386,3744.014,3773.871,,296.0,291.0,302.0,True,MEDIUM,2.0,True,Red Bull Racing,3679.63,2024-03-09 17:05:34.850,1,1.0,False,,False,True
3867.878,VER,1,94.043,3.0,1.0,,,34.53,29.621,29.892,3808.401,3838.022,3867.914,285.0,296.0,292.0,302.0,True,MEDIUM,3.0,True,Red Bull Racing,3773.835,2024-03-09 17:07:09.055,1,1.0,False,,False,True
3961.632,VER,1,93.754,4.0,1.0,,,34.416,29.541,29.797,3902.33,3931.871,3961.668,,298.0,292.0,303.0,True,MEDIUM,4.0,True,Red Bull Racing,3867.878,2024-03-09 17:08:43.098,1,1.0,False,,False,True
4055.587,VER,1,93.955,5.0,1.0,,,34.457,29.59,29.908,3996.125,4025.715,4055.623,284.0,296.0,292.0,302.0,False,MEDIUM,5.0,True,Red Bull Racing,3961.632,2024-03-09 17:10:16.852,1,1.0,False,,False,True
4149.263,VER,1,93.676,6.0,1.0,,,34.355,29.545,29.776,4089.978,4119.523,4149.299,286.0,297.0,291.0,303.0,True,MEDIUM,6.0,True,Red Bull Racing,4055.587,2024-03-09 17:11:50.807,1,1.0,False,,False,True
4272.182,VER,1,122.919,7.0,1.0,,4271.053,34.467,41.316,47.136,4183.766,4225.082,4272.218,,123.0,,228.0,False,MEDIUM,7.0,True,Red Bull Racing,4149.263,2024-03-09 17:13:24.483,124,1.0,False,,False,False
4461.36,VER,1,,8.0,2.0,4291.721,,73.947,57.475,57.661,4346.26,4403.755,4461.399,158.0,96.0,229.0,130.0,False,HARD,1.0,True,Red Bull Racing,4272.182,2024-03-09 17:15:27.402,4,2.0,False,,False,False
4622.249,VER,1,,9.0,2.0,,,56.642,49.042,55.311,4518.035,4567.1,4622.504,183.0,131.0,276.0,141.0,False,HARD,2.0,True,Red Bull Racing,4461.36,2024-03-09 17:18:36.580,41,2.0,False,,False,False
4717.273,VER,1,95.024,10.0,2.0,,,35.648,29.514,29.862,4657.933,4687.447,4717.309,286.0,311.0,293.0,303.0,False,HARD,3.0,True,Red Bull Racing,4622.249,2024-03-09 17:21:17.469,1,2.0,False,,False,True
4810.883,VER,1,93.61,11.0,2.0,,,34.555,29.427,29.628,4751.864,4781.291,4810.919,287.0,299.0,305.0,304.0,True,HARD,4.0,True,Red Bull Racing,4717.273,2024-03-09 17:22:52.493,1,2.0,False,,False,True
4904.204,VER,1,93.321,12.0,2.0,,,34.391,29.239,29.691,4845.31,4874.549,4904.24,288.0,318.0,306.0,328.0,True,HARD,5.0,True,Red Bull Racing,4810.883,2024-03-09 17:24:26.103,1,2.0,False,,False,True
4997.348,VER,1,93.144,13.0,2.0,,,34.096,29.411,29.637,4938.336,4967.747,4997.384,286.0,298.0,292.0,302.0,True,HARD,6.0,True,Red Bull Racing,4904.204,2024-03-09 17:25:59.424,1,1.0,False,,False,True
5090.542,VER,1,93.194,14.0,2.0,,,34.303,29.274,29.617,5031.687,5060.961,5090.578,284.0,298.0,292.0,304.0,False,HARD,7.0,True,Red Bull Racing,4997.348,2024-03-09 17:27:32.568,1,1.0,False,,False,True
5184.054,VER,1,93.512,15.0,2.0,,,34.32,29.438,29.754,5124.898,5154.336,5184.09,,293.0,292.0,298.0,False,HARD,8.0,True,Red Bull Racing,5090.542,2024-03-09 17:29:05.762,1,1.0,False,,False,True
5277.246,VER,1,93.192,16.0,2.0,,,34.239,29.383,29.57,5218.329,5247.712,5277.282,287.0,297.0,292.0,302.0,False,HARD,9.0,True,Red Bull Racing,5184.054,2024-03-09 17:30:39.274,1,1.0,False,,False,True
5370.305,VER,1,93.059,17.0,2.0,,,34.134,29.333,29.592,5311.416,5340.749,5370.341,288.0,298.0,292.0,304.0,True,HARD,10.0,True,Red Bull Racing,5277.246,2024-03-09 17:32:12.466,1,1.0,False,,False,True
5463.444,VER,1,93.139,18.0,2.0,,,34.172,29.33,29.637,5404.513,5433.843,5463.48,,299.0,293.0,303.0,False,HARD,11.0,True,Red Bull Racing,5370.305,2024-03-09 17:33:45.525,1,1.0,False,,False,True
5556.579,VER,1,93.135,19.0,2.0,,,34.172,29.375,29.588,,5527.027,5556.615,289.0,298.0,292.0,302.0,False,HARD,12.0,True,Red Bull Racing,5463.444,2024-03-09 17:35:18.664,1,1.0,False,,False,True
5649.645,VER,1,93.066,20.0,2.0,,,34.155,29.384,29.527,5590.77,5620.154,5649.681,,298.0,293.0,304.0,False,HARD,13.0,True,Red Bull Racing,5556.579,2024-03-09 17:36:51.799,1,1.0,False,,False,True
5742.578,VER,1,92.933,21.0,2.0,,,34.129,29.281,29.523,5683.81,5713.091,5742.614,288.0,299.0,293.0,304.0,True,HARD,14.0,True,Red Bull Racing,5649.645,2024-03-09 17:38:24.865,1,1.0,False,,False,True
5835.558,VER,1,92.98,22.0,2.0,,,34.195,29.241,29.544,5776.809,5806.05,5835.594,,298.0,293.0,303.0,False,HARD,15.0,True,Red Bull Racing,5742.578,2024-03-09 17:39:57.798,1,1.0,False,,False,True
5928.35,VER,1,92.792,23.0,2.0,,,34.024,29.214,29.554,5869.618,5898.832,5928.386,290.0,298.0,293.0,303.0,True,HARD,16.0,True,Red Bull Racing,5835.558,2024-03-09 17:41:30.778,1,1.0,False,,False,True
6021.033,VER,1,92.683,24.0,2.0,,,33.956,29.191,29.536,5962.342,5991.533,6021.069,289.0,299.0,292.0,304.0,True,HARD,17.0,True,Red Bull Racing,5928.35,2024-03-09 17:43:03.570,1,1.0,False,,False,True
6113.818,VER,1,92.785,25.0,2.0,,,34.12,29.17,29.495,6055.189,6084.359,6113.854,,299.0,293.0,305.0,False,HARD,18.0,True,Red Bull Racing,6021.033,2024-03-09 17:44:36.253,1,1.0,False,,False,True
6206.379,VER,1,92.561,26.0,2.0,,,33.949,29.144,29.468,6147.803,6176.947,6206.415,290.0,300.0,294.0,306.0,True,HARD,19.0,True,Red Bull Racing,6113.818,2024-03-09 17:46:09.038,1,1.0,False,,False,True
