Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1076.176,VER,1,100.765,1.0,1.0,980.464,,46.124,19.167,35.474,1021.692,1040.715,1076.176,271.0,275.0,309.0,156.0,False,SOFT,1.0,True,Red Bull Racing,980.464,2024-03-23 05:01:21.852,1,,False,,False,False
1153.654,VER,1,77.478,2.0,1.0,,,26.827,17.5,33.151,1103.003,1120.503,1153.654,286.0,322.0,306.0,326.0,True,SOFT,2.0,True,Red Bull Racing,1076.176,2024-03-23 05:02:57.564,1,,False,,False,True
1308.125,VER,1,,3.0,1.0,,1259.534,37.806,26.028,90.652,1191.605,1217.513,1308.412,171.0,233.0,,257.0,False,SOFT,3.0,True,Red Bull Racing,1153.654,2024-03-23 05:04:15.042,1,,False,,False,False
1408.134,VER,1,100.009,4.0,2.0,1310.135,,38.811,23.459,37.739,1346.936,1370.395,1408.134,233.0,259.0,309.0,166.0,False,SOFT,4.0,False,Red Bull Racing,1308.125,2024-03-23 05:06:49.513,1,,False,,False,False
1485.363,VER,1,77.229,5.0,2.0,,,26.591,17.522,33.116,1434.725,1452.247,1485.363,287.0,320.0,302.0,327.0,True,SOFT,5.0,False,Red Bull Racing,1408.134,2024-03-23 05:08:29.522,1,,False,,False,True
1607.537,VER,1,122.174,6.0,2.0,,1589.04,40.614,23.071,58.489,1525.977,1549.048,1607.537,228.0,276.0,,234.0,False,SOFT,6.0,False,Red Bull Racing,1485.363,2024-03-23 05:09:46.751,1,,False,,False,False
1721.636,VER,1,114.099,7.0,3.0,1612.573,,49.307,27.059,37.733,1656.844,1683.903,1721.636,213.0,238.0,309.0,107.0,False,SOFT,7.0,False,Red Bull Racing,1607.537,2024-03-23 05:11:48.925,1,,False,,False,False
1798.455,VER,1,76.819,8.0,3.0,,,26.545,17.504,32.77,1748.181,1765.685,1798.455,287.0,319.0,306.0,326.0,True,SOFT,8.0,False,Red Bull Racing,1721.636,2024-03-23 05:13:43.024,1,,False,,False,True
2407.938,VER,1,,9.0,3.0,,1898.906,34.827,23.024,,1833.457,1856.372,,200.0,229.0,,238.0,False,SOFT,9.0,False,Red Bull Racing,1798.455,2024-03-23 05:14:59.843,1,,False,,False,False
2519.846,VER,1,111.908,10.0,4.0,2412.738,,53.277,19.875,38.756,2461.215,2481.09,2519.846,265.0,280.0,311.0,99.0,False,SOFT,1.0,True,Red Bull Racing,2407.938,2024-03-23 05:25:09.326,1,,False,,False,False
2596.233,VER,1,76.387,11.0,4.0,,,26.477,17.428,32.482,2546.323,2563.751,2596.233,289.0,321.0,308.0,327.0,True,SOFT,2.0,True,Red Bull Racing,2519.846,2024-03-23 05:27:01.234,1,,False,,False,True
2711.119,VER,1,114.886,12.0,4.0,,2700.592,44.116,20.521,50.249,2640.349,2660.87,2711.119,245.0,282.0,,245.0,False,SOFT,3.0,True,Red Bull Racing,2596.233,2024-03-23 05:28:17.621,1,,False,,False,False
2816.436,VER,1,105.317,13.0,5.0,2713.093,,41.262,23.856,40.199,2752.381,2776.237,2816.436,213.0,249.0,309.0,166.0,False,SOFT,4.0,False,Red Bull Racing,2711.119,2024-03-23 05:30:12.507,1,,False,,False,False
2896.465,VER,1,80.029,14.0,5.0,,,26.505,17.456,36.068,2842.941,2860.397,2896.465,288.0,319.0,199.0,325.0,False,SOFT,5.0,False,Red Bull Racing,2816.436,2024-03-23 05:31:57.824,1,,False,,False,True
3848.071,VER,1,,15.0,5.0,,2995.411,36.285,23.362,,2932.76,2956.156,,171.0,268.0,,144.0,False,SOFT,6.0,False,Red Bull Racing,2896.465,2024-03-23 05:33:17.853,1,,False,,False,False
3956.871,VER,1,108.8,16.0,6.0,3853.16,,48.78,22.169,37.851,3896.851,3919.02,3956.871,254.0,254.0,310.0,122.0,False,SOFT,1.0,True,Red Bull Racing,3848.071,2024-03-23 05:49:09.459,1,,False,,False,False
4032.919,VER,1,76.048,17.0,6.0,,,26.278,17.361,32.409,3983.149,4000.51,4032.919,288.0,320.0,306.0,326.0,True,SOFT,2.0,True,Red Bull Racing,3956.871,2024-03-23 05:50:58.259,1,,False,,False,True
4292.145,VER,1,,18.0,6.0,,4120.606,31.065,20.001,,4064.025,4084.065,,257.0,277.0,,239.0,False,SOFT,3.0,True,Red Bull Racing,4032.919,2024-03-23 05:52:14.307,1,,False,,False,False
4394.458,VER,1,102.313,19.0,7.0,4294.369,,39.867,22.789,39.657,4332.012,4354.801,4394.458,263.0,240.0,310.0,175.0,False,SOFT,1.0,True,Red Bull Racing,4292.145,2024-03-23 05:56:33.533,1,,False,,False,False
4470.373,VER,1,75.915,20.0,7.0,,,26.262,17.315,32.338,4420.72,4438.035,4470.373,288.0,320.0,305.0,326.0,True,SOFT,2.0,True,Red Bull Racing,4394.458,2024-03-23 05:58:15.846,1,,False,,False,True
4574.408,VER,1,,21.0,7.0,,4574.408,35.851,22.759,,4506.408,4529.043,,215.0,253.0,,239.0,False,SOFT,3.0,True,Red Bull Racing,4470.373,2024-03-23 05:59:31.761,1,,False,,False,False
1157.216,SAI,55,107.981,1.0,1.0,1052.857,,45.713,19.54,42.728,1095.112,1114.573,1157.216,193.0,298.0,305.0,104.0,False,SOFT,1.0,True,Ferrari,1052.857,2024-03-23 05:02:34.245,1,,False,,False,False
1234.505,SAI,55,77.289,2.0,1.0,,,26.948,17.648,32.693,1184.164,1201.812,1234.505,286.0,317.0,299.0,322.0,True,SOFT,2.0,True,Ferrari,1157.216,2024-03-23 05:04:18.604,1,,False,,False,True
1342.896,SAI,55,108.391,3.0,1.0,,,39.444,23.607,45.34,1273.949,1297.556,1342.896,225.0,230.0,165.0,189.0,False,SOFT,3.0,True,Ferrari,1234.505,2024-03-23 05:05:35.893,1,,False,,False,True
1446.765,SAI,55,103.869,4.0,1.0,,,40.544,23.097,40.228,1383.44,1406.537,1446.765,247.0,262.0,305.0,192.0,False,SOFT,4.0,True,Ferrari,1342.896,2024-03-23 05:07:24.284,1,,False,,False,True
