Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1107.768,STR,18,,1.0,1.0,982.836,,,32.329,51.839,,1055.983,1107.771,257.0,260.0,266.0,295.0,False,MEDIUM,1.0,True,Aston Martin,982.836,2024-04-19 07:32:48.153,1,,False,,False,False
1204.729,STR,18,96.961,2.0,1.0,,,25.262,28.697,43.002,1133.03,1161.727,1204.729,284.0,277.0,263.0,318.0,True,MEDIUM,2.0,True,Aston Martin,1107.768,2024-04-19 07:34:53.085,1,,False,,False,True
1338.472,STR,18,133.743,3.0,1.0,,,35.892,40.339,57.512,1240.621,1280.96,1338.472,216.0,242.0,267.0,296.0,False,MEDIUM,3.0,True,Aston Martin,1204.729,2024-04-19 07:36:30.046,1,,False,,False,True
1435.671,STR,18,97.199,4.0,1.0,,,25.447,28.732,43.02,1363.919,1392.651,1435.671,285.0,278.0,265.0,320.0,False,MEDIUM,4.0,True,Aston Martin,1338.472,2024-04-19 07:38:43.789,1,,False,,False,True
1563.236,STR,18,127.565,5.0,1.0,,1561.316,30.325,34.031,63.209,1465.996,1500.027,1563.236,215.0,134.0,,238.0,False,MEDIUM,5.0,True,Aston Martin,1435.671,2024-04-19 07:40:20.988,1,,False,,False,False
2404.232,STR,18,,6.0,2.0,2287.538,,,30.56,47.544,,2356.709,2404.315,272.0,265.0,267.0,301.0,False,MEDIUM,1.0,True,Aston Martin,1563.236,2024-04-19 07:42:28.553,12,,False,,False,False
2500.909,STR,18,96.677,7.0,2.0,,,25.184,28.603,42.89,2429.416,2458.019,2500.909,283.0,280.0,266.0,318.0,True,MEDIUM,2.0,True,Aston Martin,2404.232,2024-04-19 07:56:29.549,1,,False,,False,True
2627.467,STR,18,126.558,8.0,2.0,,2625.754,32.807,36.95,56.801,2533.716,2570.666,2627.467,205.0,229.0,,269.0,False,MEDIUM,3.0,True,Aston Martin,2500.909,2024-04-19 07:58:06.226,1,,False,,False,False
1041.574,PIA,81,,1.0,1.0,919.345,,,33.458,54.153,,987.484,1041.574,257.0,258.0,265.0,295.0,False,MEDIUM,1.0,True,McLaren,919.345,2024-04-19 07:31:44.662,1,,False,,False,False
1138.79,PIA,81,97.216,2.0,1.0,,,25.31,28.731,43.175,1066.884,1095.615,1138.79,284.0,278.0,264.0,311.0,True,MEDIUM,2.0,True,McLaren,1041.574,2024-04-19 07:33:46.891,1,,False,,False,True
1269.9,PIA,81,131.11,3.0,1.0,,,35.827,42.164,53.119,1174.617,1216.781,1269.9,233.0,225.0,265.0,267.0,False,MEDIUM,3.0,True,McLaren,1138.79,2024-04-19 07:35:24.107,1,,False,,False,True
1384.858,PIA,81,114.958,4.0,1.0,,,25.547,28.741,60.67,1295.447,1324.188,1384.858,283.0,252.0,212.0,207.0,False,MEDIUM,4.0,True,McLaren,1269.9,2024-04-19 07:37:35.217,1,,False,,False,True
1513.937,PIA,81,129.079,5.0,1.0,,,36.278,36.238,56.563,1421.136,1457.374,1513.937,256.0,249.0,263.0,258.0,False,MEDIUM,5.0,True,McLaren,1384.858,2024-04-19 07:39:30.175,1,,False,,False,True
1610.479,PIA,81,96.542,6.0,1.0,,,25.143,28.663,42.736,1539.08,1567.743,1610.479,282.0,280.0,268.0,313.0,True,MEDIUM,6.0,True,McLaren,1513.937,2024-04-19 07:41:39.254,1,,False,,False,True
1732.835,PIA,81,122.356,7.0,1.0,,1731.172,28.789,35.289,58.278,1639.268,1674.557,1732.835,242.0,250.0,,203.0,False,MEDIUM,7.0,True,McLaren,1610.479,2024-04-19 07:43:15.796,12,,False,,False,False
2386.985,PIA,81,,8.0,2.0,2274.174,,,32.0,48.192,,2338.841,2386.985,267.0,261.0,268.0,295.0,False,MEDIUM,1.0,True,McLaren,1732.835,2024-04-19 07:45:18.152,21,,False,,False,False
2482.838,PIA,81,95.853,9.0,2.0,,,24.949,28.41,42.494,2411.934,2440.344,2482.838,282.0,280.0,267.0,312.0,True,MEDIUM,2.0,True,McLaren,2386.985,2024-04-19 07:56:12.302,1,,False,,False,True
2619.992,PIA,81,137.154,10.0,2.0,,2618.247,36.111,39.883,61.16,2518.949,2558.832,2619.992,178.0,201.0,,224.0,False,MEDIUM,3.0,True,McLaren,2482.838,2024-04-19 07:57:48.155,1,,False,,False,False
3411.09,PIA,81,,11.0,3.0,3280.688,,,40.356,56.489,,3354.63,3411.172,245.0,243.0,240.0,282.0,False,INTERMEDIATE,1.0,True,McLaren,2619.992,2024-04-19 08:00:05.309,12,,False,,False,False
3533.688,PIA,81,122.598,12.0,3.0,,,30.815,37.151,54.632,3441.905,3479.056,3533.688,272.0,258.0,245.0,287.0,True,INTERMEDIATE,2.0,True,McLaren,3411.09,2024-04-19 08:13:16.407,1,,False,,False,True
3655.026,PIA,81,121.338,13.0,3.0,,,30.578,36.641,54.119,3564.266,3600.907,3655.026,271.0,259.0,244.0,285.0,True,INTERMEDIATE,3.0,True,McLaren,3533.688,2024-04-19 08:15:19.005,1,,False,,False,True
3776.016,PIA,81,120.99,14.0,3.0,,,30.152,36.388,54.45,3685.178,3721.566,3776.016,272.0,258.0,243.0,286.0,True,INTERMEDIATE,4.0,True,McLaren,3655.026,2024-04-19 08:17:20.343,1,,False,,False,True
3919.441,PIA,81,,15.0,3.0,,3919.441,38.173,41.415,,3814.283,3855.605,,179.0,217.0,,270.0,False,INTERMEDIATE,5.0,True,McLaren,3776.016,2024-04-19 08:19:21.333,1,,False,,False,False
1114.278,VER,1,,1.0,1.0,996.451,,,31.285,48.549,,1065.788,1114.437,268.0,268.0,265.0,266.0,False,MEDIUM,1.0,True,Red Bull Racing,996.451,2024-04-19 07:33:01.768,1,,False,,False,False
1210.734,VER,1,96.456,2.0,1.0,,,25.288,28.369,42.799,1139.566,1167.935,1210.734,284.0,278.0,263.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,1114.278,2024-04-19 07:34:59.595,1,,False,,False,True
1341.598,VER,1,130.864,3.0,1.0,,,40.032,36.382,54.45,1250.766,1287.148,1341.598,130.0,212.0,225.0,257.0,False,MEDIUM,3.0,True,Red Bull Racing,1210.734,2024-04-19 07:36:36.051,1,,False,,False,True
1477.071,VER,1,135.473,4.0,1.0,,1474.761,33.654,39.256,62.563,1375.252,1414.508,1477.071,189.0,176.0,,234.0,False,MEDIUM,4.0,True,Red Bull Racing,1341.598,2024-04-19 07:38:46.915,1,,False,,False,False
2474.747,VER,1,,5.0,2.0,2366.354,,,32.385,48.119,,2426.634,2474.828,270.0,139.0,267.0,272.0,False,MEDIUM,1.0,True,Red Bull Racing,1477.071,2024-04-19 07:41:02.388,12,,False,,False,False
2570.353,VER,1,95.606,6.0,2.0,,,24.931,28.024,42.651,2499.678,2527.702,2570.353,283.0,279.0,265.0,318.0,True,MEDIUM,2.0,True,Red Bull Racing,2474.747,2024-04-19 07:57:40.064,1,,False,,False,True
2701.78,VER,1,131.427,7.0,2.0,,2700.053,31.202,37.894,62.331,2601.555,2639.449,2701.78,192.0,180.0,,210.0,False,MEDIUM,3.0,True,Red Bull Racing,2570.353,2024-04-19 07:59:15.670,1,,False,,False,False
