Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
30.397,20.3,32.0,1006.2,False,28.9,0,0.0
90.388,20.3,32.0,1006.2,False,28.7,99,0.0
150.405,20.3,32.0,1006.1,False,28.7,114,0.4
210.42,20.3,32.0,1006.2,False,28.7,128,0.6
270.42,20.3,32.0,1006.2,False,28.7,128,0.6
330.437,20.2,32.0,1006.1,False,28.7,153,1.4
390.451,20.2,32.0,1006.2,False,28.6,125,1.0
450.453,20.1,33.0,1006.2,False,28.6,103,0.8
510.455,20.1,33.0,1006.2,False,28.7,213,0.7
570.47,20.1,33.0,1006.2,False,28.7,213,0.7
630.475,20.1,33.0,1006.3,False,28.6,0,0.5
690.471,20.1,34.0,1006.3,False,28.7,184,0.0
750.473,20.0,33.0,1006.4,False,28.7,81,0.7
810.473,20.1,34.0,1006.5,False,28.5,286,0.6
870.471,20.1,34.0,1006.5,False,28.5,45,0.5
930.479,20.0,34.0,1006.5,False,28.5,123,0.6
990.474,20.0,34.0,1006.4,False,28.4,149,0.7
1050.474,20.0,34.0,1006.4,False,28.5,122,1.3
1110.476,20.0,35.0,1006.3,False,28.4,111,1.6
1170.476,20.0,35.0,1006.3,False,28.3,135,0.9
1230.482,20.0,35.0,1006.3,False,28.3,119,1.2
1290.479,20.0,35.0,1006.2,False,28.4,218,1.0
1350.477,20.0,35.0,1006.2,False,28.4,0,0.0
1410.482,20.0,35.0,1006.2,False,28.4,131,0.5
1470.493,20.0,36.0,1006.2,False,28.3,97,0.8
1530.481,20.0,35.0,1006.1,False,28.2,110,1.0
1590.481,20.0,36.0,1006.2,False,28.2,139,1.3
1650.483,20.0,36.0,1006.3,False,28.2,118,1.4
1710.481,20.0,36.0,1006.3,False,28.2,97,1.2
1770.489,20.0,36.0,1006.3,False,28.2,112,1.4
1830.513,20.0,36.0,1006.4,False,28.1,121,0.6
1890.53,20.0,36.0,1006.3,False,28.0,176,1.1
1950.525,20.0,36.0,1006.4,False,28.1,171,0.4
2010.555,19.9,36.0,1006.4,False,28.1,137,0.4
2070.55,20.0,36.0,1006.3,False,27.9,156,1.0
2130.568,19.9,37.0,1006.2,True,27.8,0,0.3
2190.591,19.9,37.0,1006.4,True,27.8,0,0.0
2250.581,19.9,38.0,1006.3,True,27.8,0,0.5
2310.583,19.8,37.0,1006.3,False,27.7,131,0.4
2370.583,19.8,38.0,1006.2,True,27.7,119,1.2
2430.583,19.8,37.0,1006.2,True,27.7,113,1.5
2490.587,19.8,37.0,1006.2,True,27.4,113,2.1
2550.585,19.7,38.0,1006.2,True,27.4,142,0.8
2610.594,19.7,38.0,1006.1,False,27.4,113,1.4
2670.585,19.7,37.0,1006.1,True,27.4,141,1.2
2730.602,19.7,38.0,1006.1,True,27.4,184,0.8
2790.675,19.7,38.0,1006.1,True,27.1,172,0.5
2850.681,19.7,39.0,1006.2,True,26.7,268,0.6
2910.632,19.6,40.0,1006.2,True,26.3,254,1.1
2970.661,19.6,43.0,1006.2,True,25.6,88,0.8
3030.67,19.4,42.0,1006.1,True,25.3,118,1.2
3090.671,19.2,44.0,1006.1,True,25.1,125,1.3
3150.689,19.1,45.0,1006.1,True,24.7,0,1.3
3210.676,18.9,47.0,1006.0,True,24.7,209,0.4
3270.673,18.7,49.0,1006.1,True,24.6,135,0.0
3330.674,18.6,52.0,1006.2,True,24.6,208,0.8
3390.673,18.4,50.0,1006.4,True,24.4,103,0.9
3450.673,18.3,51.0,1006.3,True,24.1,80,0.6
3510.673,18.2,52.0,1006.3,True,24.0,0,0.3
3570.705,18.0,55.0,1006.2,True,23.6,63,0.0
3630.707,17.9,58.0,1006.2,True,23.6,99,0.5
3690.713,17.7,57.0,1006.2,True,23.5,112,0.5
3750.724,17.5,55.0,1006.2,True,23.3,103,1.3
3810.723,17.3,57.0,1006.1,True,23.2,120,1.5
3870.734,17.2,57.0,1006.2,True,22.9,127,1.0
3930.726,17.0,59.0,1006.1,True,22.5,104,0.8
3990.74,16.9,63.0,1006.2,True,21.8,100,1.3
4050.757,16.7,64.0,1006.3,True,21.8,0,0.7
4110.757,16.5,64.0,1006.3,True,22.2,261,0.3
4170.761,16.1,65.0,1006.4,True,22.6,249,0.9
