Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1101.93,VER,1,,1.0,1.0,977.385,,,44.047,36.745,,1065.353,1101.93,178.0,180.0,284.0,167.0,False,MEDIUM,1.0,True,Red Bull Racing,977.385,2024-05-03 20:31:48.858,1,,False,,False,False
1190.531,VER,1,88.601,2.0,1.0,,,29.497,33.914,25.19,1131.427,1165.341,1190.531,218.0,192.0,285.0,342.0,True,MEDIUM,2.0,True,Red Bull Racing,1101.93,2024-05-03 20:33:53.403,1,,False,,False,True
1312.961,VER,1,122.43,3.0,1.0,,,46.074,43.092,33.264,1236.605,1279.697,1312.961,178.0,155.0,246.0,159.0,False,MEDIUM,3.0,True,Red Bull Racing,1190.531,2024-05-03 20:35:22.004,1,,False,,False,True
1429.557,VER,1,116.596,4.0,1.0,,,43.439,45.589,27.568,1356.4,1401.989,1429.557,179.0,174.0,284.0,266.0,False,MEDIUM,4.0,True,Red Bull Racing,1312.961,2024-05-03 20:37:24.434,1,,False,,False,True
1517.751,VER,1,88.194,5.0,1.0,,,29.522,33.623,25.049,1459.079,1492.702,1517.751,219.0,191.0,284.0,340.0,True,MEDIUM,5.0,True,Red Bull Racing,1429.557,2024-05-03 20:39:21.030,1,,False,,False,True
1638.792,VER,1,121.041,6.0,1.0,,1633.151,39.913,45.446,35.682,1557.664,1603.11,1638.792,192.0,166.0,,187.0,False,MEDIUM,6.0,True,Red Bull Racing,1517.751,2024-05-03 20:40:49.224,1,,False,,False,False
2483.632,VER,1,,7.0,2.0,2377.932,,,41.061,30.363,,2453.272,2483.798,200.0,178.0,284.0,250.0,False,MEDIUM,1.0,True,Red Bull Racing,1638.792,2024-05-03 20:42:50.265,1,,False,,False,False
2571.633,VER,1,88.001,8.0,2.0,,,29.279,33.719,25.003,2512.911,2546.63,2571.633,221.0,191.0,285.0,339.0,True,MEDIUM,2.0,True,Red Bull Racing,2483.632,2024-05-03 20:56:55.105,1,,False,,False,True
2693.774,VER,1,122.141,9.0,2.0,,2687.955,41.007,44.035,37.099,2612.64,2656.675,2693.774,175.0,170.0,,201.0,False,MEDIUM,3.0,True,Red Bull Racing,2571.633,2024-05-03 20:58:23.106,1,,False,,False,False
3421.352,VER,1,,10.0,3.0,3295.485,,,47.11,32.124,,3389.369,3421.352,191.0,143.0,284.0,231.0,False,SOFT,1.0,True,Red Bull Racing,2693.774,2024-05-03 21:00:25.247,1,,False,,False,False
3508.993,VER,1,87.641,11.0,3.0,,,29.036,33.644,24.961,3450.388,3484.032,3508.993,219.0,191.0,284.0,337.0,True,SOFT,2.0,True,Red Bull Racing,3421.352,2024-05-03 21:12:32.825,1,,False,,False,True
3625.679,VER,1,,12.0,3.0,,3625.679,37.657,45.546,,3546.874,3592.363,,184.0,170.0,,172.0,False,SOFT,3.0,True,Red Bull Racing,3508.993,2024-05-03 21:14:00.466,1,,False,,False,False
1108.385,PIA,81,,1.0,1.0,984.433,,,44.746,32.849,,1075.55,1108.385,163.0,104.0,283.0,120.0,False,MEDIUM,1.0,True,McLaren,984.433,2024-05-03 20:31:55.906,1,,False,,False,False
