Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1202.812,VER,1,,1.0,1.0,1098.9,,,44.953,33.258,,1169.656,1202.883,242.0,182.0,288.0,235.0,False,MEDIUM,1.0,True,Red Bull Racing,1098.9,2024-06-22 10:34:37.315,1,,False,,False,False
1277.049,VER,1,74.237,2.0,1.0,,,22.082,29.742,22.413,1224.894,1254.636,1277.049,287.0,307.0,289.0,317.0,True,MEDIUM,2.0,True,Red Bull Racing,1202.812,2024-06-22 10:36:21.227,1,,False,,False,True
1411.465,VER,1,134.416,3.0,1.0,,,39.712,54.28,40.424,1316.761,1371.041,1411.465,128.0,148.0,138.0,169.0,False,MEDIUM,3.0,True,Red Bull Racing,1277.049,2024-06-22 10:37:35.464,1,,False,,False,True
1535.35,VER,1,123.885,4.0,1.0,,,44.107,51.216,28.562,1455.572,1506.788,1535.35,150.0,232.0,289.0,152.0,False,MEDIUM,4.0,True,Red Bull Racing,1411.465,2024-06-22 10:39:49.880,1,,False,,False,True
1609.692,VER,1,74.342,5.0,1.0,,,22.081,29.765,22.496,1557.431,1587.196,1609.692,287.0,308.0,291.0,322.0,False,MEDIUM,5.0,True,Red Bull Racing,1535.35,2024-06-22 10:41:53.765,1,,False,,False,True
1698.836,VER,1,89.144,6.0,1.0,,1696.057,26.514,33.975,28.655,1636.206,1670.181,1698.836,227.0,226.0,,256.0,False,MEDIUM,6.0,True,Red Bull Racing,1609.692,2024-06-22 10:43:08.107,1,,False,,False,False
2300.029,VER,1,,7.0,2.0,2200.413,,,32.479,29.669,,2270.497,2300.059,253.0,255.0,274.0,234.0,False,MEDIUM,7.0,False,Red Bull Racing,1698.836,2024-06-22 10:44:37.251,1,,False,,False,False
2380.748,VER,1,80.719,8.0,2.0,,,24.064,32.423,24.232,2324.093,2356.516,2380.748,257.0,257.0,274.0,302.0,False,MEDIUM,8.0,False,Red Bull Racing,2300.029,2024-06-22 10:54:38.444,1,,False,,False,True
2461.286,VER,1,80.538,9.0,2.0,,,24.059,32.296,24.183,2404.807,2437.103,2461.286,258.0,257.0,273.0,,False,MEDIUM,9.0,False,Red Bull Racing,2380.748,2024-06-22 10:55:59.163,1,,False,,False,True
2542.098,VER,1,80.812,10.0,2.0,,,24.168,32.272,24.372,2485.454,2517.726,2542.098,259.0,260.0,275.0,300.0,False,MEDIUM,10.0,False,Red Bull Racing,2461.286,2024-06-22 10:57:19.701,1,,False,,False,True
