Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
888.685,VER,1,,1.0,1.0,802.886,,,41.204,23.217,,865.537,889.474,169.0,199.0,284.0,205.0,False,SOFT,4.0,False,Red Bull Racing,802.886,2024-06-29 14:00:04.014,1,,False,,False,False
954.739,VER,1,66.054,2.0,1.0,,,16.579,29.671,19.804,905.264,934.935,954.739,320.0,242.0,287.0,316.0,True,SOFT,5.0,False,Red Bull Racing,888.685,2024-06-29 14:01:29.813,1,,False,,False,True
1056.828,VER,1,102.089,3.0,1.0,,1033.602,20.547,34.725,46.817,975.286,1010.011,1056.828,172.0,225.0,,253.0,False,SOFT,6.0,False,Red Bull Racing,954.739,2024-06-29 14:02:35.867,1,,False,,False,False
1276.857,VER,1,,4.0,2.0,1193.125,,,40.276,23.685,,1253.213,1276.998,215.0,182.0,286.0,220.0,False,SOFT,4.0,False,Red Bull Racing,1056.828,2024-06-29 14:04:17.956,1,,False,,False,False
1342.193,VER,1,65.336,5.0,2.0,,,16.421,29.316,19.599,1293.278,1322.594,1342.193,322.0,244.0,285.0,316.0,True,SOFT,5.0,False,Red Bull Racing,1276.857,2024-06-29 14:07:57.985,1,,False,,False,True
1426.169,VER,1,83.976,6.0,2.0,,1422.831,19.789,35.606,28.581,1361.982,1397.588,1426.169,190.0,209.0,,229.0,False,SOFT,6.0,False,Red Bull Racing,1342.193,2024-06-29 14:09:03.321,1,,False,,False,False
2599.391,VER,1,,7.0,3.0,2513.789,,,40.122,22.728,,2576.671,2599.391,228.0,164.0,289.0,215.0,False,SOFT,1.0,True,Red Bull Racing,1426.169,2024-06-29 14:10:27.297,1,,False,,False,False
2663.968,VER,1,64.577,8.0,3.0,,,16.266,28.931,19.38,2615.657,2644.588,2663.968,322.0,251.0,287.0,318.0,True,SOFT,2.0,True,Red Bull Racing,2599.391,2024-06-29 14:30:00.519,1,,False,,False,True
2752.242,VER,1,88.274,9.0,3.0,,2748.985,22.813,37.522,27.939,2686.781,2724.303,2752.242,235.0,226.0,,235.0,False,SOFT,3.0,True,Red Bull Racing,2663.968,2024-06-29 14:31:05.096,1,,False,,False,False
3125.394,VER,1,,10.0,4.0,3024.403,,,39.58,23.182,,3102.232,3125.664,234.0,198.0,289.0,227.0,False,SOFT,1.0,True,Red Bull Racing,2752.242,2024-06-29 14:32:33.370,1,,False,,False,False
3189.863,VER,1,64.469,11.0,4.0,,,16.262,28.852,19.355,3141.656,3170.508,3189.863,322.0,249.0,288.0,318.0,True,SOFT,2.0,True,Red Bull Racing,3125.394,2024-06-29 14:38:46.522,1,,False,,False,True
3275.153,VER,1,85.29,12.0,4.0,,3272.327,20.245,35.521,29.524,3210.108,3245.629,3275.153,226.0,201.0,,241.0,False,SOFT,3.0,True,Red Bull Racing,3189.863,2024-06-29 14:39:50.991,1,,False,,False,False
3891.267,VER,1,,13.0,5.0,3792.193,,,39.236,25.959,,3865.399,3891.267,251.0,210.0,291.0,243.0,False,SOFT,1.0,True,Red Bull Racing,3275.153,2024-06-29 14:41:16.281,1,,False,,False,False
3955.693,VER,1,64.426,14.0,5.0,,,16.31,28.784,19.332,3907.577,3936.361,3955.693,322.0,248.0,286.0,318.0,True,SOFT,2.0,True,Red Bull Racing,3891.267,2024-06-29 14:51:32.395,1,,False,,False,True
4036.91,VER,1,81.217,15.0,5.0,,4033.566,19.087,34.354,27.776,3974.78,4009.134,4036.91,248.0,209.0,,238.0,False,SOFT,3.0,True,Red Bull Racing,3955.693,2024-06-29 14:52:36.821,1,,False,,False,False
4308.058,VER,1,,16.0,6.0,4214.387,,,40.344,22.425,,4285.795,4308.159,240.0,204.0,290.0,251.0,False,SOFT,1.0,True,Red Bull Racing,4036.91,2024-06-29 14:53:58.038,1,,False,,False,False
4372.372,VER,1,64.314,17.0,6.0,,,16.254,28.791,19.269,4324.312,4353.103,4372.372,323.0,249.0,288.0,319.0,True,SOFT,2.0,True,Red Bull Racing,4308.058,2024-06-29 14:58:29.186,1,,False,,False,True
4468.502,VER,1,96.13,18.0,6.0,,4462.851,21.544,41.006,33.58,4393.916,4434.922,4468.502,233.0,221.0,,160.0,False,SOFT,3.0,True,Red Bull Racing,4372.372,2024-06-29 14:59:33.500,1,,False,,False,False
968.264,NOR,4,,1.0,1.0,873.494,,,38.834,21.752,,946.576,968.264,244.0,202.0,285.0,261.0,False,SOFT,4.0,False,McLaren,873.494,2024-06-29 14:01:14.622,1,,False,,False,False
1034.174,NOR,4,65.91,2.0,1.0,,,16.51,29.579,19.821,984.774,1014.353,1034.174,317.0,244.0,284.0,314.0,True,SOFT,5.0,False,McLaren,968.264,2024-06-29 14:02:49.392,1,,False,,False,True
1121.942,NOR,4,87.768,3.0,1.0,,1118.575,22.348,36.415,29.005,1056.522,1092.937,1121.942,209.0,204.0,,230.0,False,SOFT,6.0,False,McLaren,1034.174,2024-06-29 14:03:55.302,1,,False,,False,False
1438.568,NOR,4,,4.0,2.0,1345.492,,,39.794,22.912,,1415.657,1438.817,182.0,202.0,286.0,144.0,False,SOFT,1.0,True,McLaren,1121.942,2024-06-29 14:05:23.070,1,,False,,False,False
1504.018,NOR,4,65.45,5.0,2.0,,,16.356,29.369,19.725,1454.924,1484.293,1504.018,322.0,243.0,281.0,315.0,True,SOFT,2.0,True,McLaren,1438.568,2024-06-29 14:10:39.696,1,,False,,False,True
1600.302,NOR,4,96.284,6.0,2.0,,1594.954,21.462,38.74,36.082,1525.48,1564.22,1600.302,201.0,174.0,,202.0,False,SOFT,3.0,True,McLaren,1504.018,2024-06-29 14:11:45.146,1,,False,,False,False
1717.311,NOR,4,117.009,7.0,3.0,1623.568,,55.413,39.321,22.275,1655.715,1695.036,1717.311,209.0,201.0,285.0,172.0,False,SOFT,4.0,False,McLaren,1600.302,2024-06-29 14:13:21.430,1,,False,,False,False
1782.913,NOR,4,65.602,8.0,3.0,,,16.446,29.432,19.724,1733.757,1763.189,1782.913,320.0,245.0,286.0,317.0,False,SOFT,5.0,False,McLaren,1717.311,2024-06-29 14:15:18.439,1,,False,,False,True
1888.752,NOR,4,105.839,9.0,3.0,,1867.197,21.601,37.233,47.005,1804.514,1841.747,1888.752,177.0,208.0,,235.0,False,SOFT,6.0,False,McLaren,1782.913,2024-06-29 14:16:24.041,1,,False,,False,False
2668.008,NOR,4,,10.0,4.0,2570.222,,,42.605,21.282,,2646.726,2668.118,248.0,227.0,287.0,240.0,False,SOFT,1.0,True,McLaren,1888.752,2024-06-29 14:18:09.880,1,,False,,False,False
2733.111,NOR,4,65.103,11.0,4.0,,,16.388,29.194,19.521,2684.396,2713.59,2733.111,319.0,247.0,284.0,315.0,True,SOFT,2.0,True,McLaren,2668.008,2024-06-29 14:31:09.136,1,,False,,False,True
2818.76,NOR,4,85.649,12.0,4.0,,2815.438,19.173,36.764,29.712,2752.284,2789.048,2818.76,224.0,181.0,,230.0,False,SOFT,3.0,True,McLaren,2733.111,2024-06-29 14:32:14.239,1,,False,,False,False
3186.647,NOR,4,,13.0,5.0,3079.243,,,41.116,22.486,,3164.281,3186.915,267.0,174.0,287.0,255.0,False,SOFT,4.0,False,McLaren,2818.76,2024-06-29 14:33:39.888,1,,False,,False,False
3261.923,NOR,4,75.276,14.0,5.0,,3258.566,16.375,29.55,29.351,3203.022,3232.572,3261.923,319.0,247.0,,315.0,False,SOFT,5.0,False,McLaren,3186.647,2024-06-29 14:39:47.775,1,,False,,False,False
3897.01,NOR,4,,15.0,6.0,3806.373,,,41.336,22.339,,3874.792,3897.171,225.0,203.0,287.0,175.0,False,SOFT,1.0,True,McLaren,3261.923,2024-06-29 14:41:03.051,1,,False,,False,False
3961.797,NOR,4,64.787,16.0,6.0,,,16.251,29.033,19.503,3913.261,3942.294,3961.797,322.0,248.0,285.0,316.0,True,SOFT,2.0,True,McLaren,3897.01,2024-06-29 14:51:38.138,1,,False,,False,True
4048.726,NOR,4,86.929,17.0,6.0,,4045.35,19.282,37.29,30.357,3981.079,4018.369,4048.726,215.0,191.0,,210.0,False,SOFT,3.0,True,McLaren,3961.797,2024-06-29 14:52:42.925,1,,False,,False,False
4352.052,NOR,4,,18.0,7.0,4258.646,,,39.238,23.17,,4329.043,4352.288,204.0,208.0,284.0,220.0,False,SOFT,1.0,True,McLaren,4048.726,2024-06-29 14:54:09.854,1,,False,,False,False
4416.77,NOR,4,64.718,19.0,7.0,,,16.377,28.847,19.494,4368.429,4397.276,4416.77,318.0,248.0,283.0,316.0,True,SOFT,2.0,True,McLaren,4352.052,2024-06-29 14:59:13.180,1,,False,,False,True
4506.388,NOR,4,89.618,20.0,7.0,,4501.832,20.494,36.463,32.661,4437.264,4473.727,4506.388,239.0,185.0,,209.0,False,SOFT,3.0,True,McLaren,4416.77,2024-06-29 15:00:17.898,1,,False,,False,False
1184.202,RUS,63,,1.0,1.0,1096.882,,,39.666,26.749,,1157.623,1184.468,286.0,174.0,283.0,284.0,False,SOFT,4.0,False,Mercedes,1096.882,2024-06-29 14:04:58.010,1,,False,,False,False
