Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2981.953,VER,1,,1.0,1.0,,,,31.187,21.081,,2960.899,2982.142,297.0,234.0,273.0,293.0,False,MEDIUM,6.0,False,Red Bull Racing,2909.599,2024-06-29 10:06:04.325,1,1.0,False,,False,False
3051.075,VER,1,69.122,2.0,1.0,,,17.572,30.882,20.668,2999.549,3030.431,3051.099,292.0,237.0,274.0,295.0,True,MEDIUM,7.0,False,Red Bull Racing,2981.953,2024-06-29 10:07:16.679,1,1.0,False,,False,True
3120.376,VER,1,69.301,3.0,1.0,,,17.517,31.251,20.533,3068.616,3099.867,3120.4,290.0,238.0,275.0,302.0,False,MEDIUM,8.0,False,Red Bull Racing,3051.075,2024-06-29 10:08:25.801,1,1.0,False,,False,True
3189.472,VER,1,69.096,4.0,1.0,,,17.484,31.039,20.573,3137.884,3168.923,3189.496,288.0,240.0,275.0,290.0,True,MEDIUM,9.0,False,Red Bull Racing,3120.376,2024-06-29 10:09:35.102,1,1.0,False,,False,True
3259.374,VER,1,69.902,5.0,1.0,,,17.481,31.94,20.481,3206.977,3238.917,3259.398,287.0,234.0,275.0,314.0,False,MEDIUM,10.0,False,Red Bull Racing,3189.472,2024-06-29 10:10:44.198,1,1.0,False,,False,True
3328.433,VER,1,69.059,6.0,1.0,,,17.56,30.861,20.638,3276.958,3307.819,3328.457,,237.0,273.0,291.0,True,MEDIUM,11.0,False,Red Bull Racing,3259.374,2024-06-29 10:11:54.100,1,1.0,False,,False,True
3397.495,VER,1,69.062,7.0,1.0,,,17.531,30.873,20.658,3345.988,3376.861,3397.519,293.0,238.0,273.0,297.0,False,MEDIUM,12.0,False,Red Bull Racing,3328.433,2024-06-29 10:13:03.159,1,1.0,False,,False,True
3466.508,VER,1,69.013,8.0,1.0,,,17.665,30.793,20.555,3415.184,3445.977,3466.532,288.0,239.0,274.0,293.0,True,MEDIUM,13.0,False,Red Bull Racing,3397.495,2024-06-29 10:14:12.221,1,1.0,False,,False,True
3535.567,VER,1,69.059,9.0,1.0,,,17.591,30.845,20.623,3484.123,3514.968,3535.591,291.0,235.0,274.0,296.0,False,MEDIUM,14.0,False,Red Bull Racing,3466.508,2024-06-29 10:15:21.234,1,1.0,False,,False,True
3604.733,VER,1,69.166,10.0,1.0,,,17.618,30.87,20.678,3553.209,3584.079,3604.757,288.0,236.0,274.0,294.0,False,MEDIUM,15.0,False,Red Bull Racing,3535.567,2024-06-29 10:16:30.293,1,1.0,False,,False,True
3674.305,VER,1,69.572,11.0,1.0,,,17.567,31.134,20.871,3622.324,3653.458,3674.329,,232.0,273.0,299.0,False,MEDIUM,16.0,False,Red Bull Racing,3604.733,2024-06-29 10:17:39.459,1,1.0,False,,False,True
3743.88,VER,1,69.575,12.0,1.0,,,17.591,31.203,20.781,3691.92,3723.123,3743.904,289.0,234.0,275.0,299.0,False,MEDIUM,17.0,False,Red Bull Racing,3674.305,2024-06-29 10:18:49.031,1,1.0,False,,False,True
3813.423,VER,1,69.543,13.0,1.0,,,17.569,31.179,20.795,3761.473,3792.652,3813.447,291.0,234.0,275.0,298.0,False,MEDIUM,18.0,False,Red Bull Racing,3743.88,2024-06-29 10:19:58.606,1,1.0,False,,False,True
3883.05,VER,1,69.627,14.0,1.0,,,17.625,31.156,20.846,3831.072,3862.228,3883.074,292.0,234.0,275.0,299.0,False,MEDIUM,19.0,False,Red Bull Racing,3813.423,2024-06-29 10:21:08.149,1,1.0,False,,False,True
3952.55,VER,1,69.5,15.0,1.0,,,17.609,31.028,20.863,3900.683,3931.711,3952.574,289.0,236.0,274.0,298.0,False,MEDIUM,20.0,False,Red Bull Racing,3883.05,2024-06-29 10:22:17.776,1,1.0,False,,False,True
4022.351,VER,1,69.801,16.0,1.0,,,17.552,31.302,20.947,3970.126,4001.428,4022.375,293.0,233.0,275.0,295.0,False,MEDIUM,21.0,False,Red Bull Racing,3952.55,2024-06-29 10:23:27.276,1,1.0,False,,False,True
4091.93,VER,1,69.579,17.0,1.0,,,17.52,31.19,20.869,4039.895,4071.085,4091.954,294.0,233.0,275.0,294.0,False,MEDIUM,22.0,False,Red Bull Racing,4022.351,2024-06-29 10:24:37.077,1,1.0,False,,False,True
4161.63,VER,1,69.7,18.0,1.0,,,17.583,31.258,20.859,4109.537,4140.795,4161.654,292.0,231.0,273.0,296.0,False,MEDIUM,23.0,False,Red Bull Racing,4091.93,2024-06-29 10:25:46.656,1,1.0,False,,False,True
4231.279,VER,1,69.649,19.0,1.0,,,17.595,31.245,20.809,4179.249,4210.494,4231.303,290.0,233.0,274.0,294.0,False,MEDIUM,24.0,False,Red Bull Racing,4161.63,2024-06-29 10:26:56.356,1,1.0,False,,False,True
4301.26,VER,1,69.981,20.0,1.0,,,17.613,31.38,20.988,4248.916,4280.296,4301.284,292.0,232.0,272.0,293.0,False,MEDIUM,25.0,False,Red Bull Racing,4231.279,2024-06-29 10:28:06.005,1,1.0,False,,False,True
