Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
919.601,RUS,63,,1.0,1.0,810.333,,,43.698,31.1,,888.654,919.647,286.0,237.0,236.0,256.0,False,INTERMEDIATE,1.0,True,Mercedes,810.333,2024-07-06 14:00:43.342,1,,False,,False,False
1017.401,RUS,63,97.8,2.0,1.0,,,30.831,39.784,27.185,950.432,990.216,1017.401,291.0,246.0,232.0,298.0,True,INTERMEDIATE,2.0,True,Mercedes,919.601,2024-07-06 14:02:32.610,1,,False,,False,True
1144.796,RUS,63,127.395,3.0,1.0,,,42.237,53.886,31.272,1059.638,1113.524,1144.796,215.0,179.0,236.0,278.0,False,INTERMEDIATE,3.0,True,Mercedes,1017.401,2024-07-06 14:04:10.410,1,,False,,False,True
1242.011,RUS,63,97.215,4.0,1.0,,,30.704,39.456,27.055,1175.5,1214.956,1242.011,293.0,247.0,230.0,299.0,True,INTERMEDIATE,4.0,True,Mercedes,1144.796,2024-07-06 14:06:17.805,1,,False,,False,True
1349.979,RUS,63,107.968,5.0,1.0,,1344.033,35.889,44.201,27.878,1277.9,1322.101,1349.979,267.0,230.0,,283.0,False,INTERMEDIATE,5.0,True,Mercedes,1242.011,2024-07-06 14:07:55.020,1,,False,,False,False
1984.674,RUS,63,,6.0,2.0,1384.104,1504.455,,,,,,,,,,,False,SOFT,1.0,True,Mercedes,1349.979,2024-07-06 14:09:42.988,125,,False,,False,False
2092.47,RUS,63,,7.0,3.0,1984.674,,,42.067,28.051,,2064.477,2092.631,283.0,230.0,241.0,272.0,False,SOFT,1.0,True,Mercedes,1984.674,2024-07-06 14:20:17.683,1,,False,,False,False
2189.463,RUS,63,96.993,8.0,3.0,,,29.055,42.133,25.805,2121.525,2163.658,2189.463,,254.0,248.0,294.0,False,SOFT,2.0,True,Mercedes,2092.47,2024-07-06 14:22:05.479,1,,True,TRACK LIMITS AT TURN 9 LAP 9 ,False,True
2282.103,RUS,63,92.64,9.0,3.0,,,29.677,37.805,25.158,2219.14,2256.945,2282.103,288.0,257.0,249.0,297.0,True,SOFT,3.0,True,Mercedes,2189.463,2024-07-06 14:23:42.472,1,,False,,False,True
2372.209,RUS,63,90.106,10.0,3.0,,,28.97,36.277,24.859,2311.073,2347.35,2372.209,291.0,262.0,251.0,300.0,True,SOFT,4.0,True,Mercedes,2282.103,2024-07-06 14:25:15.112,1,,False,,False,True
