Time,Status,Message
0.0,1,AllClear
1349.034,2,Yellow
1358.642,1,AllClear
1629.36,5,Red
1856.458,1,AllClear
1885.957,2,Yellow
1887.673,1,AllClear
2239.831,2,Yellow
2264.146,1,AllClear
2327.016,2,Yellow
2330.063,1,AllClear
2498.254,2,Yellow
2509.496,5,Red
2860.174,1,AllClear
3066.685,2,Yellow
3071.764,1,AllClear
3372.377,2,Yellow
3386.953,5,Red
3744.064,1,AllClear
4045.278,2,Yellow
4045.716,1,AllClear
4046.241,2,Yellow
4057.373,1,AllClear
4255.958,2,Yellow
4265.025,1,AllClear
4295.757,2,Yellow
4296.777,1,AllClear
5103.759,2,Yellow
5261.215,1,AllClear
5263.228,2,Yellow
5310.654,1,AllClear
5312.713,2,Yellow
