Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
954.656,VER,1,,1.0,1.0,827.996,,,51.803,39.706,,915.107,954.757,281.0,221.0,248.0,,False,MEDIUM,1.0,True,Red Bull Racing,827.996,2024-09-20 09:31:11.798,1,,False,,False,False
1051.306,VER,1,96.65,2.0,1.0,,,28.546,41.034,27.07,983.202,1024.236,1051.306,304.0,271.0,240.0,294.0,True,MEDIUM,2.0,True,Red Bull Racing,954.656,2024-09-20 09:33:18.458,1,,False,,False,True
1219.677,VER,1,,3.0,1.0,,,49.647,71.486,47.247,1101.231,1172.71,1219.677,157.0,113.0,250.0,181.0,False,MEDIUM,3.0,True,Red Bull Racing,1051.306,2024-09-20 09:34:55.108,1,,False,,False,False
1314.094,VER,1,94.417,4.0,1.0,,,28.018,39.846,26.553,1247.695,1287.541,1314.094,307.0,271.0,246.0,296.0,True,MEDIUM,4.0,True,Red Bull Racing,1219.677,2024-09-20 09:37:43.479,12,,False,,False,True
1477.837,VER,1,,5.0,1.0,,,47.185,69.684,46.837,1361.475,1431.188,1477.917,196.0,164.0,165.0,184.0,False,MEDIUM,5.0,True,Red Bull Racing,1314.094,2024-09-20 09:39:17.896,1,,False,,False,False
1622.583,VER,1,144.746,6.0,1.0,,,41.58,55.723,47.443,1519.417,1575.14,1622.583,182.0,234.0,252.0,183.0,False,MEDIUM,6.0,True,Red Bull Racing,1477.837,2024-09-20 09:42:01.639,1,,False,,False,True
1739.061,VER,1,116.478,7.0,1.0,,1731.268,27.728,39.347,49.403,1650.311,1689.658,1739.061,307.0,273.0,,297.0,False,MEDIUM,7.0,True,Red Bull Racing,1622.583,2024-09-20 09:44:26.385,12,,False,,False,False
2402.715,VER,1,,8.0,2.0,2266.286,,,62.947,32.499,,2370.455,2402.863,239.0,217.0,255.0,,False,SOFT,1.0,True,Red Bull Racing,1739.061,2024-09-20 09:46:22.863,1,,False,,False,False
2495.096,VER,1,92.381,9.0,2.0,,,27.379,38.783,26.219,2430.094,2468.877,2495.096,306.0,273.0,248.0,298.0,True,SOFT,2.0,True,Red Bull Racing,2402.715,2024-09-20 09:57:26.517,1,,False,,False,True
2657.158,VER,1,,10.0,2.0,,2649.276,51.422,69.165,41.269,2546.787,2616.074,2657.158,120.0,179.0,,192.0,False,SOFT,3.0,True,Red Bull Racing,2495.096,2024-09-20 09:58:58.898,1,,False,,False,False
