Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
21.707,22.8,27.0,783.2,False,42.9,267,0.9
81.717,22.9,27.0,783.3,False,42.7,292,1.9
141.733,22.9,26.0,783.3,False,42.6,274,2.5
201.734,22.8,27.0,783.3,False,42.5,324,1.8
261.736,22.8,28.0,783.3,False,42.2,277,1.9
321.75,22.7,27.0,783.3,False,42.1,278,1.0
381.767,22.8,28.0,783.2,False,42.1,308,2.2
441.769,22.9,28.0,783.3,False,42.4,297,2.8
501.769,22.8,27.0,783.2,False,42.4,238,2.7
561.773,22.7,28.0,783.3,False,42.3,314,2.4
621.775,22.7,28.0,783.2,False,42.2,239,0.8
681.772,22.6,28.0,783.2,False,41.9,285,1.0
741.773,22.6,28.0,783.2,False,41.9,268,0.9
801.773,22.7,28.0,783.3,False,41.9,275,1.1
861.775,22.7,28.0,783.2,False,41.9,275,1.4
921.774,22.8,28.0,783.3,False,41.8,279,1.1
981.775,22.9,28.0,783.2,False,41.8,309,1.2
1041.775,23.0,28.0,783.3,False,41.8,197,1.0
1101.777,23.0,28.0,783.3,False,41.6,117,0.7
1161.783,22.9,27.0,783.3,False,41.6,309,2.6
1221.795,22.9,24.0,783.2,False,41.6,269,2.2
1281.809,23.0,24.0,783.3,False,41.6,267,2.8
1341.813,23.0,24.0,783.2,False,41.4,276,2.2
1401.83,23.0,24.0,783.3,False,41.0,287,2.4
1461.83,23.0,24.0,783.3,False,41.0,333,1.1
1521.853,23.0,24.0,783.3,False,41.0,239,1.5
1581.841,23.0,23.0,783.2,False,40.8,304,1.0
1641.836,23.0,23.0,783.3,False,41.0,354,1.1
1701.838,22.9,23.0,783.3,False,41.0,266,0.9
1761.862,22.9,23.0,783.3,False,40.9,271,1.4
1821.865,22.9,23.0,783.4,False,40.8,317,1.0
1881.882,22.8,23.0,783.3,False,40.7,5,1.6
1941.886,22.8,23.0,783.3,False,40.8,293,1.1
2001.884,23.0,23.0,783.3,False,40.6,307,1.1
2061.895,22.9,23.0,783.3,False,40.6,283,1.9
2121.89,23.0,22.0,783.4,False,40.7,276,1.9
2181.915,23.0,21.0,783.3,False,40.7,256,1.0
2241.919,23.0,20.0,783.3,False,40.6,48,1.2
2301.916,23.0,19.0,783.3,False,40.5,294,0.8
2361.919,23.0,19.0,783.3,False,40.5,48,0.5
2421.919,23.0,20.0,783.3,False,40.4,304,0.5
2481.926,23.0,22.0,783.3,False,40.4,332,1.0
2541.92,22.9,23.0,783.4,False,40.2,0,1.4
2601.942,22.9,24.0,783.3,False,40.3,215,1.0
2661.923,22.8,25.0,783.3,False,39.9,190,1.2
2721.923,22.7,25.0,783.4,False,39.8,60,0.5
2781.919,22.6,26.0,783.4,False,39.6,31,1.8
2841.925,22.6,26.0,783.3,False,39.5,269,1.2
2901.926,22.7,26.0,783.3,False,39.5,286,1.2
2961.928,22.7,26.0,783.3,False,39.3,251,1.1
3021.927,22.6,26.0,783.3,False,39.2,289,1.1
3081.928,22.7,26.0,783.3,False,39.0,330,1.6
3141.924,22.8,26.0,783.3,False,38.9,243,0.7
3201.93,22.8,27.0,783.4,False,38.8,264,0.7
3261.934,22.9,27.0,783.4,False,38.6,293,1.2
3321.942,23.0,27.0,783.3,False,38.5,227,0.7
3381.935,23.0,27.0,783.2,False,38.1,168,0.6
3441.935,22.9,27.0,783.3,False,38.0,0,0.6
3501.934,22.9,27.0,783.3,False,37.5,310,0.0
3561.934,22.9,28.0,783.4,False,37.3,308,0.0
3621.935,22.9,28.0,783.3,False,37.4,249,0.5
3681.937,22.9,28.0,783.3,False,37.4,341,0.9
3741.941,22.8,27.0,783.3,False,37.1,312,0.8
3801.939,22.9,27.0,783.4,False,36.9,248,0.3
3861.938,22.8,28.0,783.3,False,36.8,319,1.0
3921.938,22.7,28.0,783.3,False,36.7,256,1.8
3981.943,22.6,28.0,783.3,False,36.8,265,1.0
4041.942,22.6,28.0,783.3,False,36.6,281,1.4
4101.943,22.6,28.0,783.3,False,36.4,273,1.6
4161.941,22.6,28.0,783.3,False,36.4,261,1.2
4221.943,22.6,29.0,783.3,False,36.3,298,1.5
4281.943,22.7,28.0,783.2,False,36.3,113,1.8
4341.945,22.7,28.0,783.3,False,36.0,152,1.2
4401.947,22.7,29.0,783.4,False,35.9,161,2.2
4461.947,22.7,29.0,783.3,False,35.2,358,0.8
4521.956,22.8,29.0,783.3,False,35.1,5,0.4
4581.947,22.8,29.0,783.3,False,35.1,271,0.4
4641.949,22.9,28.0,783.3,False,34.7,263,1.3
4701.949,22.9,29.0,783.3,False,34.5,279,2.1
4761.949,22.9,29.0,783.4,False,34.5,257,2.1
4821.951,22.8,29.0,783.4,False,34.5,258,2.3
4881.951,22.8,29.0,783.2,False,34.5,39,1.2
4941.952,22.8,29.0,783.4,False,34.2,273,0.8
5001.952,22.6,29.0,783.4,False,34.1,290,1.2
5061.953,22.7,29.0,783.3,False,34.0,251,1.8
5121.952,22.7,30.0,783.4,False,33.7,255,0.9
5181.951,22.7,30.0,783.4,False,33.6,271,1.0
5241.953,22.6,31.0,783.4,False,33.6,261,1.6
5301.953,22.6,31.0,783.4,False,33.5,307,1.4
5361.956,22.6,31.0,783.4,False,33.3,275,1.9
5421.961,22.6,31.0,783.5,False,33.2,298,2.2
5481.956,22.5,32.0,783.3,False,33.2,288,3.1
5541.957,22.5,32.0,783.5,False,33.1,260,2.4
5601.957,22.6,32.0,783.5,False,33.0,274,1.3
5661.959,22.6,32.0,783.5,False,32.9,278,1.0
5721.958,22.6,32.0,783.5,False,32.9,279,1.3
5781.96,22.6,32.0,783.5,False,32.8,323,1.6
5841.959,22.6,32.0,783.5,False,32.7,330,1.8
5901.962,22.5,32.0,783.5,False,32.4,290,1.5
5961.961,22.6,33.0,783.5,False,32.4,348,1.7
6021.962,22.6,33.0,783.5,False,32.3,317,2.3
6081.963,22.5,33.0,783.5,False,32.2,240,2.1
6141.965,22.5,33.0,783.5,False,32.0,306,2.0
6201.966,22.4,33.0,783.6,False,31.9,305,2.4
6261.965,22.4,33.0,783.5,False,31.8,323,1.5
6321.966,22.3,34.0,783.6,False,31.7,295,1.9
6381.967,22.2,34.0,783.6,False,31.5,330,2.9
6441.967,22.2,34.0,783.6,False,31.5,282,2.5
6501.969,22.1,34.0,783.6,False,31.3,308,2.6
