Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3468.995,SAI,55,107.224,1.0,1.0,,,,41.495,33.841,,3435.318,3469.11,227.0,135.0,193.0,310.0,False,MEDIUM,1.0,True,Ferrari,3361.523,2024-10-27 20:03:34.674,124,2.0,False,,False,False
3606.932,SAI,55,137.937,2.0,1.0,,,61.514,46.266,30.157,3530.541,3576.807,3606.964,100.0,176.0,208.0,194.0,True,MEDIUM,2.0,True,Ferrari,3468.995,2024-10-27 20:05:22.146,4,2.0,False,,False,False
3740.703,SAI,55,133.771,3.0,1.0,,,56.743,47.358,29.67,3663.707,3711.065,3740.735,130.0,178.0,200.0,142.0,True,MEDIUM,3.0,True,Ferrari,3606.932,2024-10-27 20:07:40.083,4,2.0,False,,False,False
3870.746,SAI,55,130.043,4.0,1.0,,,52.782,46.662,30.599,3793.517,3840.179,3870.778,122.0,235.0,195.0,122.0,True,MEDIUM,4.0,True,Ferrari,3740.703,2024-10-27 20:09:53.854,4,2.0,False,,False,False
4000.671,SAI,55,129.925,5.0,1.0,,,53.462,46.644,29.819,3924.24,3970.884,4000.703,147.0,217.0,197.0,158.0,True,MEDIUM,5.0,True,Ferrari,3870.746,2024-10-27 20:12:03.897,4,2.0,False,,False,False
4124.505,SAI,55,123.834,6.0,1.0,,,39.596,45.875,38.363,4040.299,4086.174,4124.537,202.0,189.0,249.0,236.0,True,MEDIUM,6.0,True,Ferrari,4000.671,2024-10-27 20:14:13.822,41,2.0,False,,False,False
4206.335,SAI,55,81.83,7.0,1.0,,,29.087,32.01,20.733,4153.624,4185.634,4206.367,276.0,281.0,248.0,329.0,True,MEDIUM,7.0,True,Ferrari,4124.505,2024-10-27 20:16:17.656,1,2.0,False,,False,True
4287.619,SAI,55,81.284,8.0,1.0,,,28.895,31.701,20.688,4235.262,4266.963,4287.651,290.0,287.0,247.0,328.0,True,MEDIUM,8.0,True,Ferrari,4206.335,2024-10-27 20:17:39.486,1,2.0,False,,False,True
4370.112,SAI,55,82.493,9.0,1.0,,,29.146,31.928,21.419,4316.797,4348.725,4370.144,305.0,281.0,248.0,349.0,False,MEDIUM,9.0,True,Ferrari,4287.619,2024-10-27 20:19:00.770,1,1.0,False,,False,True
4452.55,SAI,55,82.438,10.0,1.0,,,29.324,32.102,21.012,4399.468,4431.57,4452.582,278.0,280.0,247.0,325.0,False,MEDIUM,10.0,True,Ferrari,4370.112,2024-10-27 20:20:23.263,1,1.0,False,,False,True
4534.397,SAI,55,81.847,11.0,1.0,,,28.985,31.92,20.942,4481.567,4513.487,4534.429,287.0,280.0,247.0,324.0,False,MEDIUM,11.0,True,Ferrari,4452.55,2024-10-27 20:21:45.701,1,1.0,False,,False,True
4615.912,SAI,55,81.515,12.0,1.0,,,28.823,31.839,20.853,4563.252,4595.091,4615.944,288.0,281.0,249.0,325.0,False,MEDIUM,12.0,True,Ferrari,4534.397,2024-10-27 20:23:07.548,1,1.0,False,,False,True
4697.627,SAI,55,81.715,13.0,1.0,,,28.874,31.883,20.958,4644.818,4676.701,4697.659,296.0,280.0,247.0,326.0,False,MEDIUM,13.0,True,Ferrari,4615.912,2024-10-27 20:24:29.063,1,1.0,False,,False,True
4779.102,SAI,55,81.475,14.0,1.0,,,28.768,31.854,20.853,4726.427,4758.281,4779.134,292.0,279.0,247.0,,False,MEDIUM,14.0,True,Ferrari,4697.627,2024-10-27 20:25:50.778,1,1.0,False,,False,True
4860.618,SAI,55,81.516,15.0,1.0,,,28.727,31.823,20.966,4807.861,4839.684,4860.65,295.0,280.0,247.0,328.0,False,MEDIUM,15.0,True,Ferrari,4779.102,2024-10-27 20:27:12.253,1,1.0,False,,False,True
4942.208,SAI,55,81.59,16.0,1.0,,,28.701,31.876,21.013,4889.351,4921.227,4942.24,291.0,281.0,247.0,,False,MEDIUM,16.0,True,Ferrari,4860.618,2024-10-27 20:28:33.769,1,1.0,False,,False,True
5024.22,SAI,55,82.012,17.0,1.0,,,28.9,31.961,21.151,4971.14,5003.101,5024.252,,280.0,247.0,,False,MEDIUM,17.0,True,Ferrari,4942.208,2024-10-27 20:29:55.359,1,1.0,False,,False,True
5105.985,SAI,55,81.765,18.0,1.0,,,28.807,31.934,21.024,5053.059,5084.993,5106.017,293.0,281.0,247.0,,False,MEDIUM,18.0,True,Ferrari,5024.22,2024-10-27 20:31:17.371,1,1.0,False,,False,True
5187.7,SAI,55,81.715,19.0,1.0,,,28.811,31.924,20.98,5134.828,5166.752,5187.732,290.0,281.0,247.0,326.0,False,MEDIUM,19.0,True,Ferrari,5105.985,2024-10-27 20:32:39.136,1,1.0,False,,False,True
5269.489,SAI,55,81.789,20.0,1.0,,,28.957,31.824,21.008,5216.689,5248.513,5269.521,291.0,281.0,247.0,325.0,False,MEDIUM,20.0,True,Ferrari,5187.7,2024-10-27 20:34:00.851,1,1.0,False,,False,True
