Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
49.65,18.1,55.0,786.5,False,33.1,311,2.3
109.66,18.2,55.0,786.5,False,32.8,324,2.6
169.677,18.1,55.0,786.5,False,32.8,324,2.4
229.68,18.1,56.0,786.4,False,32.9,329,1.8
289.679,18.1,55.0,786.4,False,32.9,322,2.5
349.679,18.1,54.0,786.4,False,32.9,328,2.5
409.679,18.1,55.0,786.3,False,32.8,313,2.6
469.679,18.0,55.0,786.3,False,32.7,324,2.5
529.685,18.1,55.0,786.3,False,33.0,321,2.0
589.682,18.2,55.0,786.3,False,32.5,287,2.5
649.681,18.3,55.0,786.2,False,32.5,285,1.7
709.682,18.3,54.0,786.3,False,32.5,310,1.2
769.688,18.4,54.0,786.2,False,32.9,341,2.1
829.682,18.4,54.0,786.2,False,33.1,315,1.4
889.679,18.5,54.0,786.2,False,33.1,303,1.5
949.685,18.6,54.0,786.2,False,33.1,281,3.6
1009.688,18.7,54.0,786.2,False,32.9,298,2.5
1069.705,18.8,54.0,786.3,False,32.8,294,2.7
1129.719,18.7,54.0,786.1,False,32.8,340,3.2
1189.734,18.7,55.0,786.1,False,32.7,303,1.5
1249.736,18.8,54.0,786.1,False,32.8,303,2.2
1309.753,18.8,55.0,786.1,False,32.9,299,1.5
1369.768,18.9,54.0,786.0,False,33.7,280,1.5
1429.786,19.0,53.0,786.0,False,34.2,319,3.0
1489.785,19.1,53.0,786.0,False,35.5,296,2.5
1549.786,19.2,53.0,786.0,False,36.0,318,2.1
1609.79,19.3,52.0,786.1,False,36.3,337,1.8
1669.803,19.4,52.0,785.9,False,35.8,352,1.8
1729.822,19.4,52.0,785.9,False,36.5,334,1.8
1789.82,19.5,52.0,785.9,False,37.1,320,1.0
1849.822,19.5,51.0,785.9,False,37.3,313,1.5
1909.823,19.6,52.0,785.9,False,38.2,283,2.8
1969.824,19.6,52.0,785.9,False,38.2,166,1.1
2029.826,19.7,51.0,785.8,False,38.3,105,1.2
2089.823,19.7,50.0,785.9,False,38.7,296,1.5
2149.826,19.8,51.0,785.9,False,39.3,304,1.7
2209.825,19.8,51.0,785.7,False,39.2,331,1.8
2269.827,19.8,51.0,785.8,False,38.8,329,1.3
2329.828,19.8,52.0,785.8,False,38.8,330,1.6
2389.827,19.8,51.0,785.8,False,39.6,294,2.3
2449.828,19.8,51.0,785.6,False,39.9,262,3.2
2509.829,19.8,51.0,785.8,False,40.0,295,2.3
2569.831,19.8,51.0,785.8,False,40.0,273,2.4
2629.84,19.7,51.0,785.8,False,39.0,287,2.4
2689.832,19.6,52.0,785.7,False,38.6,288,2.1
2749.833,19.6,52.0,785.7,False,38.6,247,1.5
2809.834,19.6,52.0,785.6,False,38.4,49,0.8
2869.834,19.6,52.0,785.6,False,38.4,170,1.0
2929.836,19.6,52.0,785.5,False,37.8,357,1.2
2989.835,19.8,52.0,785.5,False,37.8,350,1.2
3049.838,19.7,52.0,785.5,False,37.9,329,2.1
3109.836,19.7,51.0,785.5,False,37.7,322,2.7
3169.839,19.7,51.0,785.5,False,37.4,334,2.5
3229.861,19.5,51.0,785.6,False,36.9,329,2.2
3289.875,19.5,52.0,785.4,False,36.7,310,1.5
3349.874,19.7,51.0,785.5,False,36.9,330,1.3
3409.887,19.8,50.0,785.5,False,37.0,282,1.3
3469.888,19.9,50.0,785.5,False,37.0,325,0.9
3529.893,19.9,50.0,785.4,False,36.7,293,2.4
3589.889,20.0,50.0,785.4,False,36.6,318,2.9
3649.89,20.0,50.0,785.4,False,36.2,329,2.9
3709.89,20.0,50.0,785.5,False,36.1,291,2.7
3769.892,19.9,51.0,785.2,False,36.0,323,2.2
3829.891,20.0,52.0,785.3,False,36.1,52,0.9
3889.892,20.0,52.0,785.3,False,36.1,301,0.6
3949.894,20.0,51.0,785.3,False,36.0,289,1.0
4009.894,20.0,50.0,785.3,False,35.7,293,1.3
4069.894,20.1,51.0,785.3,False,35.7,301,2.5
4129.919,20.1,51.0,785.3,False,36.2,315,2.0
4189.927,20.2,51.0,785.3,False,37.2,298,1.7
4249.942,20.3,50.0,785.3,False,37.7,301,2.9
4309.962,20.4,51.0,785.2,False,36.5,273,2.8
4369.983,20.2,51.0,785.2,False,36.5,246,2.4
4429.982,20.1,50.0,785.2,False,36.6,267,1.8
4489.977,20.1,50.0,785.1,False,36.9,276,1.5
4549.996,20.2,51.0,785.2,False,37.0,330,1.2
4610.01,20.2,50.0,785.2,False,36.7,308,1.5
4670.026,20.1,50.0,785.3,False,36.5,321,3.6
4730.042,20.1,50.0,785.2,False,35.6,271,1.8
4790.043,20.1,50.0,785.1,False,34.8,299,2.3
4850.046,20.1,51.0,785.2,False,34.8,321,1.4
4910.049,20.0,51.0,785.1,False,34.8,307,1.9
4970.047,20.0,51.0,785.1,False,34.7,331,3.2
5030.062,20.1,51.0,785.1,False,35.6,316,2.3
5090.079,20.3,50.0,785.0,False,36.6,336,2.6
5150.082,20.4,49.0,784.9,False,37.3,325,2.3
5210.108,20.5,49.0,785.0,False,37.4,332,2.1
5270.084,20.5,49.0,785.0,False,37.8,345,2.4
5330.083,20.4,49.0,785.0,False,37.8,314,2.1
5390.097,20.5,49.0,784.9,False,37.8,289,2.1
5450.115,20.6,49.0,785.0,False,38.0,308,2.2
5510.116,20.8,49.0,785.0,False,38.1,282,1.3
5570.116,20.9,48.0,784.9,False,38.6,278,2.7
5630.117,21.0,48.0,784.9,False,38.6,337,2.5
5690.117,21.0,48.0,785.1,False,38.4,296,2.6
5750.138,21.0,48.0,784.9,False,38.7,280,2.4
5810.139,21.0,48.0,785.0,False,39.0,276,2.1
5870.12,21.1,49.0,784.9,False,39.3,259,1.2
5930.123,21.0,49.0,784.9,False,39.3,269,1.5
5990.125,21.0,49.0,784.8,False,39.5,304,0.9
6050.124,21.0,48.0,784.9,False,39.5,332,1.3
6110.121,21.1,48.0,784.8,False,39.7,281,0.8
6170.127,21.0,48.0,784.8,False,39.7,0,1.1
6230.127,21.1,47.0,784.8,False,40.0,280,1.3
6290.128,21.1,47.0,784.7,False,40.2,274,2.0
6350.128,21.2,47.0,784.7,False,40.2,274,2.0
6410.132,21.1,47.0,784.7,False,40.2,274,2.0
6470.145,21.0,47.0,784.7,False,39.9,286,2.0
6530.13,21.1,47.0,784.8,False,39.7,280,1.9
6590.132,21.2,47.0,784.9,False,39.6,334,1.7
6650.131,21.2,47.0,784.9,False,39.5,280,2.4
6710.13,21.1,47.0,784.8,False,38.4,269,2.2
6770.131,21.0,48.0,784.8,False,37.8,295,1.6
6830.132,20.9,48.0,784.7,False,38.2,281,2.5
6890.135,20.9,49.0,784.8,False,38.1,283,1.0
6950.134,20.8,48.0,784.7,False,38.5,316,1.5
7010.137,20.7,48.0,784.7,False,38.1,296,2.1
