Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1115.097,NOR,4,,1.0,1.0,988.622,,,40.836,17.032,,1098.236,1115.248,236.0,233.0,322.0,,False,MEDIUM,1.0,True,McLaren,988.622,2024-11-01 18:31:28.631,1,,False,,False,False
1185.769,NOR,4,70.672,2.0,1.0,,,18.312,35.964,16.396,1133.409,1169.373,1185.769,328.0,266.0,324.0,327.0,True,MEDIUM,2.0,True,McLaren,1115.097,2024-11-01 18:33:35.106,1,,False,,False,True
1285.998,NOR,4,100.229,3.0,1.0,,1283.109,30.583,46.103,23.543,1216.352,1262.455,1285.998,229.0,191.0,,271.0,False,MEDIUM,3.0,True,McLaren,1185.769,2024-11-01 18:34:45.778,1,,False,,False,False
1603.366,NOR,4,,4.0,2.0,1458.73,,,48.111,17.217,,1586.149,1603.586,237.0,154.0,325.0,,False,MEDIUM,4.0,False,McLaren,1285.998,2024-11-01 18:36:26.007,1,,False,,False,False
1672.843,NOR,4,69.477,5.0,2.0,,,18.031,35.283,16.163,1621.397,1656.68,1672.843,328.0,267.0,323.0,329.0,True,MEDIUM,5.0,False,McLaren,1603.366,2024-11-01 18:41:43.375,1,,False,,False,True
1765.774,NOR,4,92.931,6.0,2.0,,1762.769,22.15,44.786,25.995,1694.993,1739.779,1765.774,229.0,178.0,,251.0,False,MEDIUM,6.0,False,McLaren,1672.843,2024-11-01 18:42:52.852,1,,False,,False,False
2166.893,NOR,4,,7.0,3.0,2066.2,,,49.147,16.941,,2149.952,2166.999,264.0,221.0,322.0,,False,MEDIUM,1.0,True,McLaren,1765.774,2024-11-01 18:44:25.783,1,,False,,False,False
2235.956,NOR,4,69.063,8.0,3.0,,,17.994,34.991,16.078,2184.887,2219.878,2235.956,328.0,268.0,320.0,326.0,True,MEDIUM,2.0,True,McLaren,2166.893,2024-11-01 18:51:06.902,1,,False,,False,True
2328.792,NOR,4,92.836,9.0,3.0,,2325.813,21.681,47.342,23.813,2257.637,2304.979,2328.792,231.0,199.0,,274.0,False,MEDIUM,3.0,True,McLaren,2235.956,2024-11-01 18:52:15.965,1,,False,,False,False
3159.505,NOR,4,,10.0,4.0,3076.402,,,39.028,17.018,,3142.573,3159.557,265.0,200.0,320.0,,False,SOFT,1.0,True,McLaren,2328.792,2024-11-01 18:53:48.801,1,,False,,False,False
3228.433,NOR,4,68.928,11.0,4.0,,,17.793,35.006,16.129,3177.298,3212.304,3228.433,327.0,269.0,322.0,325.0,True,SOFT,2.0,True,McLaren,3159.505,2024-11-01 19:07:39.514,1,,False,,False,True
3327.03,NOR,4,98.597,12.0,4.0,,3323.99,26.156,47.986,24.455,3254.589,3302.575,3327.03,190.0,165.0,,259.0,False,SOFT,3.0,True,McLaren,3228.433,2024-11-01 19:08:48.442,1,,False,,False,False
3469.222,NOR,4,142.192,13.0,5.0,3356.717,,78.755,46.6,16.837,3405.785,3452.385,3469.222,130.0,240.0,322.0,,False,SOFT,4.0,False,McLaren,3327.03,2024-11-01 19:10:27.039,1,,False,,False,False
3546.322,NOR,4,77.1,14.0,5.0,,3542.678,17.896,35.111,24.093,3487.118,3522.229,3546.322,328.0,266.0,,325.0,False,SOFT,5.0,False,McLaren,3469.222,2024-11-01 19:12:49.231,1,,False,,False,False
1079.93,RUS,63,,1.0,1.0,973.147,,,47.991,17.061,,1062.869,1079.994,260.0,246.0,324.0,,False,MEDIUM,1.0,True,Mercedes,973.147,2024-11-01 18:31:13.156,1,,False,,False,False
1150.8,RUS,63,70.87,2.0,1.0,,,18.355,36.111,16.404,1098.285,1134.396,1150.8,327.0,266.0,324.0,328.0,True,MEDIUM,2.0,True,Mercedes,1079.93,2024-11-01 18:32:59.939,1,,False,,False,True
1252.575,RUS,63,101.775,3.0,1.0,,1249.506,26.577,52.137,23.061,1177.377,1229.514,1252.575,253.0,231.0,,240.0,False,MEDIUM,3.0,True,Mercedes,1150.8,2024-11-01 18:34:10.809,1,,False,,False,False
1472.792,RUS,63,,4.0,2.0,1390.804,,,44.399,17.082,,1455.769,1473.069,251.0,243.0,318.0,,False,MEDIUM,4.0,False,Mercedes,1252.575,2024-11-01 18:35:52.584,1,,False,,False,False
1543.271,RUS,63,70.479,5.0,2.0,,,18.233,35.824,16.422,1491.025,1526.849,1543.271,328.0,268.0,319.0,323.0,True,MEDIUM,5.0,False,Mercedes,1472.792,2024-11-01 18:39:32.801,1,,False,,False,True
1651.307,RUS,63,108.036,6.0,2.0,,1648.448,28.35,54.367,25.319,1571.621,1625.988,1651.307,189.0,108.0,,161.0,False,MEDIUM,6.0,False,Mercedes,1543.271,2024-11-01 18:40:43.280,1,,False,,False,False
2118.212,RUS,63,,7.0,3.0,2043.412,,,39.107,16.933,,2101.307,2118.212,288.0,253.0,319.0,,False,MEDIUM,1.0,True,Mercedes,1651.307,2024-11-01 18:42:31.316,1,,False,,False,False
2187.895,RUS,63,69.683,8.0,3.0,,,18.126,35.364,16.193,2136.338,2171.702,2187.895,326.0,268.0,323.0,322.0,True,MEDIUM,2.0,True,Mercedes,2118.212,2024-11-01 18:50:18.221,1,,False,,False,True
2286.313,RUS,63,98.418,9.0,3.0,,2283.033,24.4,49.786,24.232,2212.295,2262.081,2286.313,249.0,192.0,,266.0,False,MEDIUM,3.0,True,Mercedes,2187.895,2024-11-01 18:51:27.904,1,,False,,False,False
2559.327,RUS,63,,10.0,4.0,2462.914,,,45.307,17.111,,2542.216,2559.598,255.0,233.0,321.0,,False,MEDIUM,4.0,False,Mercedes,2286.313,2024-11-01 18:53:06.322,1,,False,,False,False
2629.196,RUS,63,69.869,11.0,4.0,,,18.08,35.58,16.209,2577.407,2612.987,2629.196,326.0,269.0,325.0,326.0,False,MEDIUM,5.0,False,Mercedes,2559.327,2024-11-01 18:57:39.336,1,,False,,False,True
2728.808,RUS,63,99.612,12.0,4.0,,2725.857,27.88,47.297,24.435,2657.076,2704.373,2728.808,237.0,211.0,,230.0,False,MEDIUM,6.0,False,Mercedes,2629.196,2024-11-01 18:58:49.205,1,,False,,False,False
3499.099,RUS,63,,13.0,5.0,3405.06,,,48.395,16.938,,3482.217,3499.312,283.0,246.0,321.0,,False,SOFT,1.0,True,Mercedes,2728.808,2024-11-01 19:00:28.817,1,,False,,False,False
3568.542,RUS,63,69.443,14.0,5.0,,,17.97,35.236,16.237,3517.069,3552.305,3568.542,327.0,269.0,322.0,325.0,True,SOFT,2.0,True,Mercedes,3499.099,2024-11-01 19:13:19.108,1,,False,,False,True
3673.178,RUS,63,,15.0,5.0,,3673.178,29.678,49.294,,3598.298,3647.549,,191.0,204.0,,235.0,False,SOFT,3.0,True,Mercedes,3568.542,2024-11-01 19:14:28.551,1,,False,,False,False
1168.008,BEA,50,,1.0,1.0,1044.715,,,43.461,19.46,,1148.548,1168.01,249.0,117.0,321.0,,False,MEDIUM,1.0,True,Haas F1 Team,1044.715,2024-11-01 18:32:24.724,1,,False,,False,False
