Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1108.718,VER,1,,1.0,1.0,995.0,,,37.927,45.472,,1063.429,1108.81,158.0,190.0,291.0,265.0,False,SOFT,1.0,True,Red Bull Racing,995.0,2024-11-22 02:31:44.424,1,,False,,False,False
1212.957,VER,1,104.239,2.0,1.0,,,29.864,35.208,39.167,1138.582,1173.79,1212.957,172.0,199.0,300.0,305.0,True,SOFT,2.0,True,Red Bull Racing,1108.718,2024-11-22 02:33:38.142,12,,False,,False,True
1337.241,VER,1,124.284,3.0,1.0,,,41.238,39.354,43.692,1254.195,1293.549,1337.241,152.0,196.0,309.0,223.0,False,SOFT,3.0,True,Red Bull Racing,1212.957,2024-11-22 02:35:22.381,1,,False,,False,True
1438.907,VER,1,101.666,4.0,1.0,,,29.086,34.056,38.524,1366.327,1400.383,1438.907,177.0,202.0,310.0,314.0,True,SOFT,4.0,True,Red Bull Racing,1337.241,2024-11-22 02:37:26.665,12,,False,,False,True
1571.855,VER,1,132.948,5.0,1.0,,,40.409,49.177,43.362,1479.316,1528.493,1571.855,142.0,159.0,309.0,248.0,False,SOFT,5.0,True,Red Bull Racing,1438.907,2024-11-22 02:39:08.331,1,,False,,False,True
1671.362,VER,1,99.507,6.0,1.0,,,28.061,33.444,38.002,1599.916,1633.36,1671.362,181.0,203.0,311.0,309.0,True,SOFT,6.0,True,Red Bull Racing,1571.855,2024-11-22 02:41:21.279,1,,False,,False,True
1799.415,VER,1,128.053,7.0,1.0,,,39.736,43.935,44.382,1711.098,1755.033,1799.415,131.0,189.0,310.0,262.0,False,SOFT,7.0,True,Red Bull Racing,1671.362,2024-11-22 02:43:00.786,12,,False,,False,True
1915.66,VER,1,116.245,8.0,1.0,,,27.503,43.444,45.298,1826.918,1870.362,1915.66,178.0,130.0,310.0,115.0,False,SOFT,8.0,True,Red Bull Racing,1799.415,2024-11-22 02:45:08.839,1,,False,,False,True
2026.656,VER,1,110.996,9.0,1.0,,,27.551,33.088,50.357,1943.211,1976.299,2026.656,179.0,205.0,217.0,338.0,False,SOFT,9.0,True,Red Bull Racing,1915.66,2024-11-22 02:47:05.084,12,,False,,False,True
2165.747,VER,1,139.091,10.0,1.0,,,42.866,53.292,42.933,2069.522,2122.814,2165.747,100.0,154.0,309.0,247.0,False,SOFT,10.0,True,Red Bull Racing,2026.656,2024-11-22 02:48:56.080,1,,False,,False,True
