Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
935.063,RUS,63,,1.0,1.0,812.787,932.011,,41.36,47.547,,887.516,935.162,140.0,186.0,,210.0,False,MEDIUM,1.0,True,Mercedes,812.787,2024-11-23 06:00:03.153,1,,False,,False,False
1137.735,RUS,63,,2.0,2.0,1027.922,,,37.296,43.971,,1093.851,1137.735,165.0,202.0,320.0,258.0,False,SOFT,1.0,True,Mercedes,935.063,2024-11-23 06:02:05.429,1,,False,,False,False
1232.08,RUS,63,94.345,3.0,2.0,,,26.817,31.499,36.029,1164.552,1196.051,1232.08,184.0,214.0,320.0,341.0,True,SOFT,2.0,True,Mercedes,1137.735,2024-11-23 06:05:28.101,1,,False,,False,True
1357.762,RUS,63,125.682,4.0,2.0,,,41.304,43.891,40.487,1273.384,1317.275,1357.762,124.0,164.0,305.0,256.0,False,SOFT,3.0,True,Mercedes,1232.08,2024-11-23 06:07:02.446,1,,False,,False,True
1472.246,RUS,63,114.484,5.0,2.0,,,32.893,41.018,40.573,1390.655,1431.673,1472.246,150.0,101.0,319.0,283.0,False,SOFT,4.0,True,Mercedes,1357.762,2024-11-23 06:09:08.128,1,,False,,False,True
1565.609,RUS,63,93.363,6.0,2.0,,,26.232,31.273,35.858,1498.478,1529.751,1565.609,187.0,213.0,322.0,342.0,True,SOFT,5.0,True,Mercedes,1472.246,2024-11-23 06:11:02.612,1,,False,,False,True
1693.544,RUS,63,127.935,7.0,2.0,,,42.002,40.745,45.188,1607.611,1648.356,1693.544,118.0,162.0,248.0,248.0,False,SOFT,6.0,True,Mercedes,1565.609,2024-11-23 06:12:35.975,1,,False,,False,True
1805.341,RUS,63,111.797,8.0,2.0,,,36.617,36.83,38.35,1730.161,1766.991,1805.341,163.0,205.0,318.0,273.0,False,SOFT,7.0,True,Mercedes,1693.544,2024-11-23 06:14:43.910,1,,False,,False,True
1898.527,RUS,63,93.186,9.0,2.0,,,26.192,31.155,35.839,1831.533,1862.688,1898.527,188.0,213.0,321.0,342.0,True,SOFT,8.0,True,Mercedes,1805.341,2024-11-23 06:16:35.707,12,,False,,False,True
2014.86,RUS,63,116.333,10.0,2.0,,2011.797,33.095,37.282,45.956,1931.622,1968.904,2014.86,148.0,187.0,,234.0,False,SOFT,9.0,True,Mercedes,1898.527,2024-11-23 06:18:08.893,1,,False,,False,False
