Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2742.261,PIA,81,,1.0,1.0,,,,29.338,25.369,,2716.939,2742.393,231.0,283.0,273.0,243.0,False,MEDIUM,6.0,False,McLaren,2653.204,2024-11-30 14:03:27.543,1,2.0,False,,False,False
2828.243,PIA,81,85.982,2.0,1.0,,,32.133,29.102,24.747,2774.441,2803.543,2828.29,239.0,284.0,278.0,294.0,True,MEDIUM,7.0,False,McLaren,2742.261,2024-11-30 14:04:56.600,1,2.0,False,,False,True
2914.133,PIA,81,85.89,3.0,1.0,,,31.966,29.017,24.907,2860.256,2889.273,2914.18,237.0,285.0,274.0,296.0,True,MEDIUM,8.0,False,McLaren,2828.243,2024-11-30 14:06:22.582,1,2.0,False,,False,True
3000.251,PIA,81,86.118,4.0,1.0,,,32.071,29.148,24.899,2946.251,2975.399,3000.298,238.0,285.0,278.0,,False,MEDIUM,9.0,False,McLaren,2914.133,2024-11-30 14:07:48.472,1,2.0,False,,False,True
3086.408,PIA,81,86.157,5.0,1.0,,,31.891,29.289,24.977,3032.189,3061.478,3086.455,,285.0,279.0,316.0,False,MEDIUM,10.0,False,McLaren,3000.251,2024-11-30 14:09:14.590,1,2.0,False,,False,True
3172.095,PIA,81,85.687,6.0,1.0,,,31.7,29.138,24.849,3118.155,3147.293,3172.142,235.0,286.0,278.0,315.0,True,MEDIUM,11.0,False,McLaren,3086.408,2024-11-30 14:10:40.747,1,2.0,False,,False,True
3257.909,PIA,81,85.814,7.0,1.0,,,31.873,29.21,24.731,3204.015,3233.225,3257.956,236.0,286.0,277.0,316.0,False,MEDIUM,12.0,False,McLaren,3172.095,2024-11-30 14:12:06.434,1,2.0,False,,False,True
3343.504,PIA,81,85.595,8.0,1.0,,,31.696,29.17,24.729,3289.652,3318.822,3343.551,240.0,285.0,277.0,315.0,True,MEDIUM,13.0,False,McLaren,3257.909,2024-11-30 14:13:32.248,1,2.0,False,,False,True
3428.922,PIA,81,85.418,9.0,1.0,,,31.706,29.014,24.698,3375.257,3404.271,3428.969,233.0,287.0,279.0,320.0,True,MEDIUM,14.0,False,McLaren,3343.504,2024-11-30 14:14:57.843,1,2.0,False,,False,True
3514.076,PIA,81,85.154,10.0,1.0,,,31.556,29.099,24.499,3460.525,3489.624,3514.123,238.0,287.0,280.0,316.0,True,MEDIUM,15.0,False,McLaren,3428.922,2024-11-30 14:16:23.261,1,2.0,False,,False,True
3599.057,PIA,81,84.981,11.0,1.0,,,31.435,29.038,24.508,3545.558,3574.596,3599.104,,286.0,279.0,320.0,True,MEDIUM,16.0,False,McLaren,3514.076,2024-11-30 14:17:48.415,1,2.0,False,,False,True
3683.856,PIA,81,84.799,12.0,1.0,,,31.262,29.022,24.515,3630.366,3659.388,3683.903,240.0,287.0,279.0,318.0,True,MEDIUM,17.0,False,McLaren,3599.057,2024-11-30 14:19:13.396,1,2.0,False,,False,True
3768.475,PIA,81,84.619,13.0,1.0,,,31.208,28.852,24.559,3715.111,3743.963,3768.522,238.0,287.0,278.0,320.0,True,MEDIUM,18.0,False,McLaren,3683.856,2024-11-30 14:20:38.195,1,2.0,False,,False,True
3853.302,PIA,81,84.827,14.0,1.0,,,31.66,28.825,24.342,3800.182,3829.007,3853.349,240.0,286.0,280.0,300.0,False,MEDIUM,19.0,False,McLaren,3768.475,2024-11-30 14:22:02.814,1,2.0,False,,False,True
3937.98,PIA,81,84.678,15.0,1.0,,,31.345,28.922,24.411,3884.694,3913.616,3938.027,234.0,286.0,280.0,312.0,False,MEDIUM,20.0,False,McLaren,3853.302,2024-11-30 14:23:27.641,1,2.0,False,,False,True
4022.55,PIA,81,84.57,16.0,1.0,,,31.303,28.808,24.459,3969.33,3998.138,4022.597,238.0,287.0,280.0,315.0,True,MEDIUM,21.0,False,McLaren,3937.98,2024-11-30 14:24:52.319,1,2.0,False,,False,True
4107.044,PIA,81,84.494,17.0,1.0,,,31.086,28.952,24.456,4053.683,4082.635,4107.091,,287.0,280.0,313.0,True,MEDIUM,22.0,False,McLaren,4022.55,2024-11-30 14:26:16.889,1,2.0,False,,False,True
4191.498,PIA,81,84.454,18.0,1.0,,,31.204,28.838,24.412,4138.295,4167.133,4191.545,239.0,287.0,280.0,300.0,False,MEDIUM,23.0,False,McLaren,4107.044,2024-11-30 14:27:41.383,1,2.0,True,TRACK LIMITS AT TURN 7 LAP 18 ,False,True
4276.492,PIA,81,84.994,19.0,1.0,,,31.493,28.8,24.701,4223.038,4251.838,4276.539,,287.0,276.0,302.0,False,MEDIUM,24.0,False,McLaren,4191.498,2024-11-30 14:29:05.837,1,1.0,False,,False,True
2741.167,NOR,4,,1.0,1.0,,,,28.975,25.659,,2715.669,2741.257,232.0,283.0,270.0,236.0,False,MEDIUM,6.0,False,McLaren,2653.204,2024-11-30 14:03:27.543,1,1.0,False,,False,False
2827.128,NOR,4,85.961,2.0,1.0,,,31.925,29.161,24.875,2773.128,2802.289,2827.164,243.0,284.0,273.0,289.0,True,MEDIUM,7.0,False,McLaren,2741.167,2024-11-30 14:04:55.506,1,1.0,False,,False,True
2913.139,NOR,4,86.011,3.0,1.0,,,31.932,28.895,25.184,2859.096,2887.991,2913.175,238.0,286.0,271.0,290.0,False,MEDIUM,8.0,False,McLaren,2827.128,2024-11-30 14:06:21.467,1,1.0,False,,False,True
2999.476,NOR,4,86.337,4.0,1.0,,,31.872,29.041,25.424,2945.047,2974.088,2999.512,240.0,286.0,271.0,,False,MEDIUM,9.0,False,McLaren,2913.139,2024-11-30 14:07:47.478,1,1.0,False,,False,True
3085.579,NOR,4,86.103,5.0,1.0,,,31.802,29.018,25.283,3031.314,3060.332,3085.615,,285.0,273.0,289.0,False,MEDIUM,10.0,False,McLaren,2999.476,2024-11-30 14:09:13.815,1,1.0,False,,False,True
3171.356,NOR,4,85.777,6.0,1.0,,,31.757,28.874,25.146,3117.372,3146.246,3171.392,238.0,286.0,273.0,291.0,True,MEDIUM,11.0,False,McLaren,3085.579,2024-11-30 14:10:39.918,1,1.0,False,,False,True
3257.149,NOR,4,85.793,7.0,1.0,,,31.885,28.983,24.925,3203.277,3232.26,3257.185,,285.0,272.0,290.0,False,MEDIUM,12.0,False,McLaren,3171.356,2024-11-30 14:12:05.695,1,1.0,False,,False,True
3342.677,NOR,4,85.528,8.0,1.0,,,31.613,28.997,24.918,3288.798,3317.795,3342.713,240.0,285.0,273.0,291.0,True,MEDIUM,13.0,False,McLaren,3257.149,2024-11-30 14:13:31.488,1,1.0,False,,False,True
3428.175,NOR,4,85.498,9.0,1.0,,,31.607,29.064,24.827,3374.32,3403.384,3428.211,241.0,286.0,274.0,293.0,True,MEDIUM,14.0,False,McLaren,3342.677,2024-11-30 14:14:57.016,1,1.0,False,,False,True
3513.242,NOR,4,85.067,10.0,1.0,,,31.574,28.794,24.699,3459.785,3488.579,3513.278,240.0,286.0,275.0,292.0,True,MEDIUM,15.0,False,McLaren,3428.175,2024-11-30 14:16:22.514,1,1.0,False,,False,True
3598.158,NOR,4,84.916,11.0,1.0,,,31.462,28.814,24.64,3544.74,3573.554,3598.194,,286.0,275.0,293.0,True,MEDIUM,16.0,False,McLaren,3513.242,2024-11-30 14:17:47.581,1,1.0,False,,False,True
3682.902,NOR,4,84.744,12.0,1.0,,,31.436,28.722,24.586,3629.63,3658.352,3682.938,239.0,286.0,275.0,290.0,True,MEDIUM,17.0,False,McLaren,3598.158,2024-11-30 14:19:12.497,1,1.0,False,,False,True
