Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
894.587,VER,1,,1.0,1.0,801.343,,,30.364,26.476,,868.158,894.595,232.0,279.0,281.0,125.0,False,MEDIUM,1.0,True,Red Bull Racing,801.343,2024-11-29 17:31:22.977,1,,False,,False,False
977.878,VER,1,83.291,2.0,1.0,,,30.898,28.094,24.299,925.485,953.579,977.878,245.0,289.0,280.0,321.0,True,MEDIUM,2.0,True,Red Bull Racing,894.587,2024-11-29 17:32:56.221,1,,False,,False,True
1095.191,VER,1,117.313,3.0,1.0,,,49.089,34.563,33.661,1026.967,1061.53,1095.191,201.0,137.0,282.0,160.0,False,MEDIUM,3.0,True,Red Bull Racing,977.878,2024-11-29 17:34:19.512,1,,False,,False,True
1177.771,VER,1,82.58,4.0,1.0,,,30.592,27.906,24.082,1125.783,1153.689,1177.771,248.0,290.0,281.0,325.0,True,MEDIUM,4.0,True,Red Bull Racing,1095.191,2024-11-29 17:36:16.825,1,,False,,False,True
1294.07,VER,1,116.299,5.0,1.0,,,49.02,37.253,30.026,1226.791,1264.044,1294.07,185.0,260.0,253.0,189.0,False,MEDIUM,5.0,True,Red Bull Racing,1177.771,2024-11-29 17:37:39.405,1,,False,,False,True
1425.947,VER,1,131.877,6.0,1.0,,,44.627,33.76,53.49,1338.697,1372.457,1425.947,206.0,270.0,281.0,181.0,False,MEDIUM,6.0,True,Red Bull Racing,1294.07,2024-11-29 17:39:35.704,1,,False,,False,True
1507.98,VER,1,82.033,7.0,1.0,,,30.348,27.757,23.928,1456.295,1484.052,1507.98,250.0,290.0,278.0,325.0,True,MEDIUM,7.0,True,Red Bull Racing,1425.947,2024-11-29 17:41:47.581,1,,False,,False,True
1613.455,VER,1,105.475,8.0,1.0,,1609.256,37.37,32.822,35.283,1545.35,1578.172,1613.455,204.0,262.0,,207.0,False,MEDIUM,8.0,True,Red Bull Racing,1507.98,2024-11-29 17:43:09.614,1,,False,,False,False
1966.311,VER,1,,9.0,2.0,1871.732,,,30.304,26.312,,1940.191,1966.311,232.0,270.0,282.0,88.0,False,MEDIUM,1.0,True,Red Bull Racing,1613.455,2024-11-29 17:44:55.089,1,,False,,False,False
2048.499,VER,1,82.188,10.0,2.0,,,30.492,27.683,24.013,1996.803,2024.486,2048.499,250.0,290.0,282.0,321.0,True,MEDIUM,2.0,True,Red Bull Racing,1966.311,2024-11-29 17:50:47.945,1,,False,,False,True
2161.711,VER,1,113.212,11.0,2.0,,,46.756,37.792,28.664,2095.255,2133.047,2161.711,186.0,171.0,282.0,170.0,False,MEDIUM,3.0,True,Red Bull Racing,2048.499,2024-11-29 17:52:10.133,1,,False,,False,True
2243.761,VER,1,82.05,12.0,2.0,,,30.302,27.785,23.963,2192.013,2219.798,2243.761,249.0,291.0,279.0,322.0,True,MEDIUM,4.0,True,Red Bull Racing,2161.711,2024-11-29 17:54:03.345,1,,False,,False,True
2356.929,VER,1,113.168,13.0,2.0,,,47.534,36.767,28.867,2291.295,2328.062,2356.929,178.0,237.0,283.0,178.0,False,MEDIUM,5.0,True,Red Bull Racing,2243.761,2024-11-29 17:55:25.395,1,,False,,False,True
2438.713,VER,1,81.784,14.0,2.0,,,30.356,27.633,23.795,2387.285,2414.918,2438.713,251.0,291.0,281.0,321.0,True,MEDIUM,6.0,True,Red Bull Racing,2356.929,2024-11-29 17:57:18.563,1,,False,,False,True
2550.643,VER,1,111.93,15.0,2.0,,2546.577,40.309,34.487,37.134,2479.022,2513.509,2550.643,187.0,232.0,,192.0,False,MEDIUM,7.0,True,Red Bull Racing,2438.713,2024-11-29 17:58:40.347,1,,False,,False,False
3004.27,VER,1,,16.0,3.0,2909.277,,,31.026,29.741,,2974.546,3004.43,220.0,272.0,254.0,152.0,False,SOFT,1.0,True,Red Bull Racing,2550.643,2024-11-29 18:00:32.277,1,,False,,False,False
3100.754,VER,1,96.484,17.0,3.0,,,35.099,33.744,27.641,3039.369,3073.113,3100.754,129.0,271.0,283.0,293.0,True,SOFT,2.0,True,Red Bull Racing,3004.27,2024-11-29 18:08:05.904,1,,False,,False,True
3182.069,VER,1,81.315,18.0,3.0,,,30.068,27.518,23.729,3130.822,3158.34,3182.069,252.0,290.0,276.0,321.0,True,SOFT,3.0,True,Red Bull Racing,3100.754,2024-11-29 18:09:42.388,1,,False,,False,True
3297.657,VER,1,115.588,19.0,3.0,,,50.55,35.892,29.146,3232.619,3268.511,3297.657,165.0,259.0,283.0,137.0,False,SOFT,4.0,True,Red Bull Racing,3182.069,2024-11-29 18:11:03.703,1,,False,,False,True
3378.978,VER,1,81.321,20.0,3.0,,,30.033,27.576,23.712,3327.69,3355.266,3378.978,254.0,290.0,274.0,320.0,False,SOFT,5.0,True,Red Bull Racing,3297.657,2024-11-29 18:12:59.291,1,,False,,False,True
3487.717,VER,1,,21.0,3.0,,3487.717,41.059,33.644,,3420.136,3453.763,,192.0,214.0,,194.0,False,SOFT,6.0,True,Red Bull Racing,3378.978,2024-11-29 18:14:20.612,1,,False,,False,False
960.188,NOR,4,,1.0,1.0,867.176,,,30.327,27.132,,933.146,960.243,221.0,266.0,280.0,96.0,False,MEDIUM,1.0,True,McLaren,867.176,2024-11-29 17:32:28.810,1,,False,,False,False
1042.973,NOR,4,82.785,2.0,1.0,,,30.636,27.838,24.311,990.824,1018.662,1042.973,247.0,288.0,279.0,319.0,True,MEDIUM,2.0,True,McLaren,960.188,2024-11-29 17:34:01.822,1,,False,,False,True
