Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1055.279,VER,1,,1.0,1.0,924.518,,,39.685,54.887,,1000.547,1055.279,268.0,252.0,261.0,162.0,False,MEDIUM,1.0,True,Red Bull Racing,924.518,2025-03-21 03:30:56.866,1,,False,,False,False
1150.662,VER,1,95.383,2.0,1.0,,,25.654,28.71,41.019,1080.933,1109.643,1150.662,276.0,266.0,262.0,334.0,True,MEDIUM,2.0,True,Red Bull Racing,1055.279,2025-03-21 03:33:07.627,1,,False,,False,True
1308.93,VER,1,,3.0,1.0,,,45.485,52.177,60.698,1196.29,1248.474,1308.973,130.0,177.0,264.0,223.0,False,MEDIUM,3.0,True,Red Bull Racing,1150.662,2025-03-21 03:34:43.010,1,,False,,False,False
1402.879,VER,1,93.949,4.0,1.0,,,25.098,28.246,40.605,1334.028,1362.274,1402.879,274.0,270.0,258.0,331.0,True,MEDIUM,4.0,True,Red Bull Racing,1308.93,2025-03-21 03:37:21.278,1,,False,,False,True
1543.094,VER,1,140.215,5.0,1.0,,,35.952,43.337,60.926,1438.831,1482.168,1543.094,152.0,179.0,176.0,214.0,False,MEDIUM,5.0,True,Red Bull Racing,1402.879,2025-03-21 03:38:55.227,1,,False,,False,True
1678.44,VER,1,135.346,6.0,1.0,,,39.218,41.417,54.711,1582.312,1623.729,1678.44,172.0,145.0,266.0,234.0,False,MEDIUM,6.0,True,Red Bull Racing,1543.094,2025-03-21 03:41:15.442,1,,False,,False,True
1771.724,VER,1,93.284,7.0,1.0,,,24.844,28.164,40.276,1703.284,1731.448,1771.724,275.0,269.0,266.0,334.0,True,MEDIUM,7.0,True,Red Bull Racing,1678.44,2025-03-21 03:43:30.788,1,,False,,False,True
1888.081,VER,1,116.357,8.0,1.0,,1886.343,29.769,34.733,51.855,1801.493,1836.226,1888.081,221.0,226.0,,293.0,False,MEDIUM,8.0,True,Red Bull Racing,1771.724,2025-03-21 03:45:04.072,1,,False,,False,False
2565.177,VER,1,,9.0,2.0,2454.778,,,30.254,42.754,,2522.455,2565.928,266.0,264.0,251.0,312.0,False,MEDIUM,9.0,False,Red Bull Racing,1888.081,2025-03-21 03:47:00.429,1,,False,,False,False
2663.03,VER,1,97.853,10.0,2.0,,,26.288,29.417,42.148,2591.465,2620.882,2663.03,273.0,264.0,254.0,312.0,False,MEDIUM,10.0,False,Red Bull Racing,2565.177,2025-03-21 03:58:17.525,1,,False,,False,True
2760.786,VER,1,97.756,11.0,2.0,,,26.474,29.38,41.902,2689.504,2718.884,2760.786,271.0,267.0,255.0,316.0,False,MEDIUM,11.0,False,Red Bull Racing,2663.03,2025-03-21 03:59:55.378,1,,False,,False,True
2858.111,VER,1,97.325,12.0,2.0,,,26.288,29.335,41.702,2787.074,2816.409,2858.111,268.0,264.0,255.0,321.0,False,MEDIUM,12.0,False,Red Bull Racing,2760.786,2025-03-21 04:01:33.134,1,,False,,False,True
2956.481,VER,1,98.37,13.0,2.0,,,26.326,29.636,42.408,2884.437,2914.073,2956.481,267.0,261.0,255.0,318.0,False,MEDIUM,13.0,False,Red Bull Racing,2858.111,2025-03-21 04:03:10.459,1,,False,,False,True
3054.423,VER,1,97.942,14.0,2.0,,,26.163,29.592,42.187,2982.644,3012.236,3054.423,268.0,261.0,257.0,312.0,False,MEDIUM,14.0,False,Red Bull Racing,2956.481,2025-03-21 04:04:48.829,1,,False,,False,True
3152.689,VER,1,98.266,15.0,2.0,,,26.371,29.838,42.057,3080.794,3110.632,3152.689,271.0,262.0,254.0,316.0,False,MEDIUM,15.0,False,Red Bull Racing,3054.423,2025-03-21 04:06:26.771,1,,False,,False,True
3251.778,VER,1,99.089,16.0,2.0,,,26.497,30.195,42.397,3179.186,3209.381,3251.778,272.0,262.0,254.0,311.0,False,MEDIUM,16.0,False,Red Bull Racing,3152.689,2025-03-21 04:08:05.037,1,,False,,False,True
