Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1025.058,PIA,81,,1.0,1.0,903.151,,,35.62,53.33,,971.813,1025.125,247.0,256.0,273.0,307.0,False,SOFT,6.0,False,McLaren,903.151,2025-03-22 07:02:08.658,12,,False,,False,False
1116.649,PIA,81,91.591,2.0,1.0,,,24.176,27.442,39.973,1049.234,1076.676,1116.649,282.0,276.0,268.0,330.0,True,SOFT,7.0,False,McLaren,1025.058,2025-03-22 07:04:10.565,21,,False,,False,True
1228.126,PIA,81,111.477,3.0,1.0,,1226.329,29.205,31.339,50.933,1145.854,1177.193,1228.126,235.0,246.0,,286.0,False,SOFT,8.0,False,McLaren,1116.649,2025-03-22 07:05:42.156,1,,False,,False,False
1451.638,PIA,81,,4.0,2.0,1338.298,,,31.668,51.759,,1399.908,1451.795,265.0,257.0,272.0,313.0,False,SOFT,1.0,True,McLaren,1228.126,2025-03-22 07:07:33.633,1,,False,,False,False
1543.565,PIA,81,91.927,5.0,2.0,,,24.252,27.538,40.137,1475.89,1503.428,1543.565,283.0,277.0,270.0,328.0,False,SOFT,2.0,True,McLaren,1451.638,2025-03-22 07:11:17.145,1,,False,,False,True
1674.052,PIA,81,130.487,6.0,2.0,,,36.243,39.914,54.33,1579.808,1619.722,1674.052,184.0,214.0,99.0,292.0,False,SOFT,3.0,True,McLaren,1543.565,2025-03-22 07:12:49.072,1,,False,,False,True
1806.578,PIA,81,132.526,7.0,2.0,,,37.431,39.997,55.098,1711.483,1751.48,1806.578,182.0,236.0,274.0,299.0,False,SOFT,4.0,True,McLaren,1674.052,2025-03-22 07:14:59.559,1,,False,,False,True
1905.612,PIA,81,99.034,8.0,2.0,,1903.888,24.079,27.44,47.515,1830.657,1858.097,1905.612,283.0,278.0,,327.0,False,SOFT,5.0,True,McLaren,1806.578,2025-03-22 07:17:12.085,1,,False,,False,False
2535.963,PIA,81,,9.0,3.0,2425.245,,,31.971,50.157,,2485.883,2536.091,257.0,251.0,264.0,308.0,False,SOFT,1.0,True,McLaren,1905.612,2025-03-22 07:18:51.119,12,,False,,False,False
2627.163,PIA,81,91.2,10.0,3.0,,,24.219,27.341,39.64,2560.182,2587.523,2627.163,285.0,279.0,271.0,328.0,True,SOFT,2.0,True,McLaren,2535.963,2025-03-22 07:29:21.470,1,,False,,False,True
2745.064,PIA,81,117.901,11.0,3.0,,2743.388,31.052,33.18,53.669,2658.215,2691.395,2745.064,234.0,230.0,,270.0,False,SOFT,3.0,True,McLaren,2627.163,2025-03-22 07:30:52.670,1,,False,,False,False
3021.987,PIA,81,,12.0,4.0,2901.266,,,34.238,49.562,,2972.591,3022.237,261.0,240.0,275.0,307.0,False,SOFT,4.0,False,McLaren,2745.064,2025-03-22 07:32:50.571,1,,False,,False,False
3113.232,PIA,81,91.245,13.0,4.0,,,24.103,27.315,39.827,3046.09,3073.405,3113.232,285.0,278.0,274.0,330.0,False,SOFT,5.0,False,McLaren,3021.987,2025-03-22 07:37:27.494,1,,False,,False,True
3229.502,PIA,81,116.27,14.0,4.0,,3227.7,30.327,32.984,52.959,3143.559,3176.543,3229.502,237.0,246.0,,262.0,False,SOFT,6.0,False,McLaren,3113.232,2025-03-22 07:38:58.739,1,,False,,False,False
3812.813,PIA,81,,15.0,5.0,3698.595,,,33.257,47.655,,3765.252,3812.813,263.0,255.0,273.0,306.0,False,SOFT,1.0,True,McLaren,3229.502,2025-03-22 07:40:55.009,12,,False,,False,False
