Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
8.782,26.1,14.0,1015.5,False,41.0,196,1.6
68.782,26.1,13.0,1015.5,False,41.1,248,1.8
128.783,26.1,12.0,1015.4,False,41.0,251,2.9
188.777,26.2,12.0,1015.4,False,40.8,242,3.9
248.774,26.1,13.0,1015.4,False,40.6,245,4.3
308.787,26.1,12.0,1015.4,False,40.5,244,4.0
368.794,26.1,12.0,1015.4,False,40.4,259,3.8
428.794,26.1,12.0,1015.4,False,40.4,245,2.8
488.815,26.1,12.0,1015.4,False,40.4,218,2.5
548.834,26.1,13.0,1015.3,False,40.2,238,2.1
608.831,26.1,12.0,1015.3,False,40.2,235,1.7
668.833,26.0,13.0,1015.4,False,40.2,233,2.2
728.828,26.1,13.0,1015.3,False,40.2,235,2.1
788.827,26.1,13.0,1015.3,False,40.1,234,2.2
848.829,26.1,13.0,1015.2,False,40.1,233,3.7
908.854,26.1,13.0,1015.3,False,39.8,194,2.8
968.853,26.0,13.0,1015.3,False,39.8,234,1.2
1028.86,25.9,14.0,1015.3,False,39.8,207,1.6
1088.948,26.0,14.0,1015.2,False,39.9,71,1.0
1148.89,26.1,14.0,1015.3,False,39.8,210,1.6
1208.907,26.2,14.0,1015.2,False,39.7,192,1.0
1269.033,26.1,14.0,1015.2,False,39.6,234,1.5
1328.938,26.1,14.0,1015.1,False,39.6,267,2.4
1388.939,26.2,14.0,1015.2,False,39.7,248,2.0
1448.939,26.3,15.0,1015.2,False,39.8,285,1.5
1508.937,26.3,15.0,1015.1,False,39.8,272,1.0
1568.95,26.4,15.0,1015.1,False,39.6,273,1.2
1628.966,26.4,15.0,1015.3,False,39.6,266,1.8
1688.96,26.5,14.0,1015.3,False,39.6,234,2.9
1748.973,26.4,14.0,1015.3,False,39.5,259,3.5
1808.968,26.4,13.0,1015.4,False,39.3,287,3.5
1868.966,26.4,14.0,1015.3,False,39.2,264,3.4
1928.975,26.3,13.0,1015.2,False,39.1,264,2.9
1988.984,26.3,13.0,1015.3,False,39.3,257,1.9
2048.98,26.2,13.0,1015.2,False,39.1,265,2.1
2108.991,26.2,14.0,1015.1,False,39.1,236,1.8
2168.989,26.3,13.0,1015.2,False,38.9,262,2.3
2228.995,26.5,13.0,1015.1,False,38.8,231,1.9
2289.028,26.3,13.0,1015.2,False,38.7,252,2.3
2349.018,26.2,14.0,1015.2,False,38.7,245,2.5
2409.026,26.1,14.0,1015.2,False,38.6,267,2.5
2469.013,26.1,14.0,1015.2,False,38.5,261,2.6
2529.038,26.0,14.0,1015.1,False,38.5,265,1.8
2589.101,26.1,14.0,1015.1,False,38.5,168,2.8
2649.047,26.0,14.0,1015.1,False,38.5,108,1.5
2709.045,26.0,14.0,1015.2,False,38.3,283,2.2
2769.062,26.0,14.0,1015.1,False,38.3,251,1.6
2829.054,26.1,14.0,1015.0,False,38.3,226,0.9
2889.07,26.2,14.0,1015.1,False,38.3,244,1.7
2949.055,26.3,14.0,1015.0,False,38.1,241,2.7
3009.065,26.3,13.0,1015.0,False,38.0,240,2.7
3069.098,26.2,14.0,1015.1,False,37.9,258,2.5
3129.102,26.2,14.0,1015.1,False,37.9,265,1.7
3189.107,26.2,14.0,1014.9,False,37.9,264,2.5
3249.109,26.1,14.0,1014.9,False,37.9,270,3.0
3309.104,26.2,14.0,1015.0,False,37.7,290,2.3
3369.122,26.2,14.0,1015.0,False,37.6,247,2.3
3429.117,26.1,15.0,1015.0,False,37.5,251,3.4
3489.108,26.1,14.0,1015.0,False,37.3,257,3.8
3549.115,26.0,14.0,1015.0,False,37.2,244,3.1
3609.123,26.0,14.0,1015.0,False,37.2,226,2.7
3669.126,25.9,15.0,1015.0,False,37.2,249,2.8
3729.131,26.0,15.0,1015.0,False,37.2,276,2.2
3789.143,26.0,14.0,1014.9,False,37.1,238,2.9
3849.157,26.0,15.0,1014.9,False,37.0,232,2.2
3909.158,26.0,15.0,1014.9,False,37.0,227,1.3
3969.174,26.0,15.0,1014.9,False,36.8,264,0.9
4029.165,26.0,15.0,1015.0,False,36.7,212,1.5
4089.187,26.0,15.0,1014.9,False,36.7,248,1.8
4149.214,26.0,14.0,1015.0,False,36.6,260,2.1
4209.209,26.0,15.0,1014.9,False,36.6,241,2.5
4269.195,26.1,15.0,1015.0,False,36.6,266,2.3
4329.198,26.1,15.0,1015.0,False,36.4,248,2.3
4389.198,26.0,15.0,1015.0,False,36.2,248,1.4
4449.197,26.0,15.0,1015.0,False,36.2,254,2.4
4509.209,26.0,14.0,1015.1,False,36.2,233,2.4
4569.199,26.0,14.0,1014.9,False,36.1,252,2.6
