Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2810.347,HAM,44,,1.0,1.0,,,,28.492,41.109,,2769.327,2810.556,280.0,273.0,258.0,309.0,False,MEDIUM,7.0,False,Ferrari,2713.457,2025-03-22 03:03:44.623,1,1.0,False,,False,False
2905.746,HAM,44,95.399,2.0,1.0,,,25.591,28.731,41.077,2836.014,2864.745,2905.822,,275.0,260.0,312.0,True,MEDIUM,8.0,False,Ferrari,2810.347,2025-03-22 03:05:21.513,1,1.0,False,,False,True
3001.897,HAM,44,96.151,3.0,1.0,,,25.832,29.044,41.275,2931.654,2960.698,3001.973,276.0,271.0,262.0,310.0,False,MEDIUM,9.0,False,Ferrari,2905.746,2025-03-22 03:06:56.912,1,1.0,False,,False,True
3097.961,HAM,44,96.064,4.0,1.0,,,25.776,29.077,41.211,3027.749,3056.826,3098.037,278.0,271.0,261.0,309.0,False,MEDIUM,10.0,False,Ferrari,3001.897,2025-03-22 03:08:33.063,1,1.0,False,,False,True
3194.645,HAM,44,96.684,5.0,1.0,,,25.952,29.259,41.473,3123.989,3153.248,3194.721,276.0,270.0,261.0,309.0,False,MEDIUM,11.0,False,Ferrari,3097.961,2025-03-22 03:10:09.127,1,1.0,False,,False,True
3290.994,HAM,44,96.349,6.0,1.0,,,25.9,28.936,41.513,3220.621,3249.557,3291.07,281.0,275.0,261.0,313.0,False,MEDIUM,12.0,False,Ferrari,3194.645,2025-03-22 03:11:45.811,1,1.0,False,,False,True
3387.611,HAM,44,96.617,7.0,1.0,,,25.957,29.346,41.314,3317.027,3346.373,3387.687,279.0,273.0,263.0,310.0,False,MEDIUM,13.0,False,Ferrari,3290.994,2025-03-22 03:13:22.160,1,1.0,False,,False,True
3483.614,HAM,44,96.003,8.0,1.0,,,25.656,29.046,41.301,3413.343,3442.389,3483.69,283.0,277.0,262.0,312.0,False,MEDIUM,14.0,False,Ferrari,3387.611,2025-03-22 03:14:58.777,1,1.0,False,,False,True
3580.555,HAM,44,96.941,9.0,1.0,,,26.129,29.158,41.654,3509.819,3538.977,3580.631,281.0,274.0,261.0,312.0,False,MEDIUM,15.0,False,Ferrari,3483.614,2025-03-22 03:16:34.780,1,1.0,False,,False,True
3677.427,HAM,44,96.872,10.0,1.0,,,25.914,29.19,41.768,3606.545,3635.735,3677.503,280.0,273.0,262.0,313.0,False,MEDIUM,16.0,False,Ferrari,3580.555,2025-03-22 03:18:11.721,1,1.0,False,,False,True
3774.129,HAM,44,96.702,11.0,1.0,,,25.995,29.07,41.637,3703.498,3732.568,3774.205,283.0,274.0,262.0,314.0,False,MEDIUM,17.0,False,Ferrari,3677.427,2025-03-22 03:19:48.593,1,1.0,False,,False,True
3871.055,HAM,44,96.926,12.0,1.0,,,26.0,29.191,41.735,3800.205,3829.396,3871.131,280.0,273.0,262.0,309.0,False,MEDIUM,18.0,False,Ferrari,3774.129,2025-03-22 03:21:25.295,1,1.0,False,,False,True
