Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1016.537,VER,1,,1.0,1.0,909.698,,,48.538,20.841,,995.918,1016.637,272.0,262.0,270.0,224.0,False,HARD,1.0,True,Red Bull Racing,909.698,2025-04-05 02:30:10.724,1,,False,,False,False
1106.934,VER,1,90.397,2.0,1.0,,,31.575,40.778,18.044,1048.112,1088.89,1106.934,285.0,292.0,268.0,291.0,True,HARD,2.0,True,Red Bull Racing,1016.537,2025-04-05 02:31:57.563,1,,False,,False,True
1274.339,VER,1,,3.0,1.0,,,60.856,79.358,27.037,1168.057,1247.307,1274.339,126.0,187.0,269.0,179.0,False,HARD,3.0,True,Red Bull Racing,1106.934,2025-04-05 02:33:27.960,1,,False,,False,False
1809.689,VER,1,,4.0,1.0,,1405.934,,,,,,,,,,,False,HARD,4.0,True,Red Bull Racing,1274.339,2025-04-05 02:36:15.365,15,,False,,False,False
1970.039,VER,1,,5.0,2.0,1809.689,,,42.949,22.417,,1947.862,1970.081,272.0,289.0,254.0,290.0,False,HARD,5.0,False,Red Bull Racing,1809.689,2025-04-05 02:45:10.715,1,,False,,False,False
2064.343,VER,1,94.304,6.0,2.0,,,33.698,42.235,18.371,2003.737,2045.972,2064.343,278.0,290.0,258.0,288.0,False,HARD,6.0,False,Red Bull Racing,1970.039,2025-04-05 02:47:51.065,1,,False,,False,True
2158.777,VER,1,94.434,7.0,2.0,,,33.657,42.388,18.389,2098.0,2140.388,2158.777,275.0,289.0,258.0,287.0,False,HARD,7.0,False,Red Bull Racing,2064.343,2025-04-05 02:49:25.369,1,,False,,False,True
2252.716,VER,1,93.939,8.0,2.0,,,33.34,42.352,18.247,2192.117,2234.469,2252.716,276.0,290.0,257.0,288.0,False,HARD,8.0,False,Red Bull Racing,2158.777,2025-04-05 02:50:59.803,1,,False,,False,True
2346.809,VER,1,94.093,9.0,2.0,,,33.534,42.35,18.209,2286.25,2328.6,2346.809,,289.0,258.0,287.0,False,HARD,9.0,False,Red Bull Racing,2252.716,2025-04-05 02:52:33.742,1,,False,,False,True
2440.975,VER,1,94.166,10.0,2.0,,,33.173,42.383,18.61,2379.982,2422.365,2440.975,,288.0,258.0,289.0,False,HARD,10.0,False,Red Bull Racing,2346.809,2025-04-05 02:54:07.835,1,,False,,False,True
2534.898,VER,1,93.923,11.0,2.0,,,33.061,42.577,18.285,2474.036,2516.613,2534.898,280.0,291.0,259.0,291.0,False,HARD,11.0,False,Red Bull Racing,2440.975,2025-04-05 02:55:42.001,1,,False,,False,True
2632.79,VER,1,97.892,12.0,2.0,,,33.432,42.731,21.729,2568.33,2611.061,2632.79,279.0,292.0,260.0,235.0,False,HARD,12.0,False,Red Bull Racing,2534.898,2025-04-05 02:57:15.924,1,,False,,False,True
2726.341,VER,1,93.551,13.0,2.0,,,32.965,42.37,18.216,2665.755,2708.125,2726.341,278.0,292.0,260.0,291.0,False,HARD,13.0,False,Red Bull Racing,2632.79,2025-04-05 02:58:53.816,1,,False,,False,True
2820.223,VER,1,93.882,14.0,2.0,,,33.09,42.493,18.299,2759.431,2801.924,2820.223,277.0,292.0,261.0,291.0,False,HARD,14.0,False,Red Bull Racing,2726.341,2025-04-05 03:00:27.367,1,,False,,False,True
2919.317,VER,1,99.094,15.0,2.0,,2918.073,34.077,42.933,22.084,2854.3,2897.233,2919.317,279.0,290.0,,278.0,False,HARD,15.0,False,Red Bull Racing,2820.223,2025-04-05 03:02:01.249,1,,False,,False,False
3553.503,VER,1,,16.0,3.0,3430.499,,,60.261,19.251,,3534.359,3553.594,235.0,257.0,271.0,268.0,False,SOFT,1.0,True,Red Bull Racing,2919.317,2025-04-05 03:03:40.343,1,,False,,False,False
3642.188,VER,1,88.685,17.0,3.0,,,30.801,40.172,17.712,3584.304,3624.476,3642.188,285.0,292.0,269.0,290.0,True,SOFT,2.0,True,Red Bull Racing,3553.503,2025-04-05 03:14:14.529,1,,False,,False,True
3813.533,VER,1,,18.0,3.0,,3812.08,63.105,76.071,32.09,3705.564,3781.471,3813.533,107.0,151.0,,147.0,False,SOFT,3.0,True,Red Bull Racing,3642.188,2025-04-05 03:15:43.214,1,,False,,False,False
3981.285,VER,1,,19.0,4.0,3838.159,,82.423,62.725,22.7,3896.097,3958.722,3981.285,129.0,155.0,270.0,171.0,False,SOFT,4.0,False,Red Bull Racing,3813.533,2025-04-05 03:18:34.559,1,,False,,False,False
4069.782,VER,1,88.497,20.0,4.0,,,30.756,40.226,17.515,4012.041,4052.267,4069.782,285.0,295.0,268.0,291.0,True,SOFT,5.0,False,Red Bull Racing,3981.285,2025-04-05 03:21:22.311,1,,False,,False,True
