Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1925.825,VER,1,,1.0,1.0,1817.948,,,35.057,32.666,,1893.377,1925.885,247.0,214.0,303.0,306.0,False,SOFT,1.0,True,Red Bull Racing,1817.948,2025-04-19 13:46:18.738,1,,False,,False,False
2014.902,VER,1,89.077,2.0,1.0,,,32.528,28.022,28.527,1958.353,1986.375,2014.902,293.0,331.0,306.0,335.0,True,SOFT,2.0,True,Red Bull Racing,1925.825,2025-04-19 13:48:06.615,1,,False,,False,True
2161.058,VER,1,146.156,3.0,1.0,,2159.896,52.627,47.269,46.26,2067.529,2114.798,2161.058,175.0,177.0,,203.0,False,SOFT,3.0,True,Red Bull Racing,2014.902,2025-04-19 13:49:35.692,1,,False,,False,False
2657.238,VER,1,,4.0,2.0,2535.325,,,38.47,38.025,,2619.44,2657.362,248.0,283.0,304.0,250.0,False,SOFT,4.0,False,Red Bull Racing,2161.058,2025-04-19 13:52:01.848,1,,False,,False,False
2745.985,VER,1,88.747,5.0,2.0,,,32.335,27.971,28.441,2689.573,2717.544,2745.985,295.0,332.0,304.0,334.0,True,SOFT,5.0,False,Red Bull Racing,2657.238,2025-04-19 14:00:18.028,1,,False,,False,True
2853.771,VER,1,107.786,6.0,2.0,,2852.676,39.715,31.961,36.11,2785.7,2817.661,2853.771,263.0,224.0,,256.0,False,SOFT,6.0,False,Red Bull Racing,2745.985,2025-04-19 14:01:46.775,1,,False,,False,False
3419.998,VER,1,,7.0,3.0,3301.496,,,33.759,39.114,,3380.893,3419.998,237.0,253.0,304.0,150.0,False,SOFT,1.0,True,Red Bull Racing,2853.771,2025-04-19 14:03:34.561,1,,False,,False,False
3508.411,VER,1,88.413,8.0,3.0,,,32.077,27.942,28.394,3452.075,3480.017,3508.411,293.0,331.0,305.0,334.0,True,SOFT,2.0,True,Red Bull Racing,3419.998,2025-04-19 14:13:00.788,1,,False,,False,True
3661.942,VER,1,,9.0,3.0,,3660.722,51.514,49.464,52.629,3559.931,3609.427,3661.942,154.0,147.0,,158.0,False,SOFT,3.0,True,Red Bull Racing,3508.411,2025-04-19 14:14:29.201,1,,False,,False,False
4328.155,VER,1,,10.0,4.0,4206.501,,,33.619,38.554,,4289.816,4328.226,252.0,293.0,306.0,238.0,False,SOFT,4.0,False,Red Bull Racing,3661.942,2025-04-19 14:17:02.732,12,,False,,False,False
4416.489,VER,1,88.334,11.0,4.0,,,32.147,27.875,28.312,4360.302,4388.177,4416.489,294.0,332.0,310.0,337.0,True,SOFT,5.0,False,Red Bull Racing,4328.155,2025-04-19 14:28:08.945,1,,False,,False,True
4551.941,VER,1,135.452,12.0,4.0,,,48.046,43.114,44.292,4464.535,4507.649,4551.941,188.0,178.0,205.0,188.0,False,SOFT,6.0,False,Red Bull Racing,4416.489,2025-04-19 14:29:37.279,1,,False,,False,True
4688.951,VER,1,137.01,13.0,4.0,,,51.332,37.829,47.849,4603.273,4641.102,4688.951,190.0,253.0,78.0,286.0,False,SOFT,7.0,False,Red Bull Racing,4551.941,2025-04-19 14:31:52.731,1,,False,,False,True
4827.729,VER,1,138.778,14.0,4.0,,4825.351,69.432,31.767,37.579,4758.383,4790.15,4827.729,280.0,252.0,,265.0,False,SOFT,8.0,False,Red Bull Racing,4688.951,2025-04-19 14:34:09.741,1,,False,,False,False
1771.477,NOR,4,,1.0,1.0,1628.803,,,35.935,42.725,,1729.147,1771.588,244.0,147.0,302.0,313.0,False,SOFT,1.0,True,McLaren,1628.803,2025-04-19 13:43:09.593,1,,False,,False,False
1860.68,NOR,4,89.203,2.0,1.0,,,32.74,28.044,28.419,1804.217,1832.261,1860.68,292.0,323.0,301.0,328.0,True,SOFT,2.0,True,McLaren,1771.477,2025-04-19 13:45:32.267,1,,False,,False,True
2020.08,NOR,4,,3.0,1.0,,,57.792,54.062,47.438,1919.264,1972.683,2020.159,147.0,177.0,200.0,156.0,False,SOFT,3.0,True,McLaren,1860.68,2025-04-19 13:47:01.470,1,,False,,False,False
2160.646,NOR,4,140.566,4.0,1.0,,,57.172,48.139,35.255,2077.252,2125.391,2160.646,154.0,285.0,304.0,286.0,False,SOFT,4.0,True,McLaren,2020.08,2025-04-19 13:49:40.870,1,,False,,False,True
2249.409,NOR,4,88.763,5.0,1.0,,,32.197,28.144,28.422,2192.843,2220.987,2249.409,292.0,326.0,303.0,331.0,True,SOFT,5.0,True,McLaren,2160.646,2025-04-19 13:52:01.436,1,,False,,False,True
2413.949,NOR,4,,6.0,1.0,,,60.087,53.103,51.488,2309.647,2362.742,2414.11,118.0,147.0,163.0,164.0,False,SOFT,6.0,True,McLaren,2249.409,2025-04-19 13:53:30.199,1,,False,,False,False
2556.482,NOR,4,142.533,7.0,1.0,,,60.836,47.7,33.997,2474.785,2522.485,2556.482,116.0,232.0,302.0,299.0,False,SOFT,7.0,True,McLaren,2413.949,2025-04-19 13:56:14.739,1,,False,,False,True
2645.159,NOR,4,88.677,8.0,1.0,,,32.14,27.996,28.541,2588.622,2616.618,2645.159,293.0,326.0,300.0,329.0,True,SOFT,8.0,True,McLaren,2556.482,2025-04-19 13:58:37.272,1,,False,,False,True
2762.092,NOR,4,116.933,9.0,1.0,,2761.051,44.371,34.043,38.519,2689.53,2723.573,2762.092,198.0,235.0,,231.0,False,SOFT,9.0,True,McLaren,2645.159,2025-04-19 14:00:05.949,1,,False,,False,False
3374.752,NOR,4,,10.0,2.0,3263.057,,,34.245,37.761,,3337.257,3374.752,262.0,301.0,307.0,250.0,False,SOFT,1.0,True,McLaren,2762.092,2025-04-19 14:02:02.882,1,,False,,False,False
3462.423,NOR,4,87.671,11.0,2.0,,,31.854,27.863,27.954,3406.606,3434.469,3462.423,296.0,327.0,308.0,334.0,True,SOFT,2.0,True,McLaren,3374.752,2025-04-19 14:12:15.542,1,,False,,False,True
3600.554,NOR,4,138.131,12.0,2.0,,3599.468,46.945,46.47,44.716,3509.368,3555.838,3600.554,200.0,186.0,,201.0,False,SOFT,3.0,True,McLaren,3462.423,2025-04-19 14:13:43.213,1,,False,,False,False
3889.878,NOR,4,,13.0,3.0,3768.472,,,41.371,31.98,,3858.126,3890.088,236.0,271.0,307.0,264.0,False,SOFT,4.0,False,McLaren,3600.554,2025-04-19 14:16:01.344,1,,False,,False,False
3977.367,NOR,4,87.489,14.0,3.0,,,31.769,27.67,28.05,3921.647,3949.317,3977.367,294.0,326.0,306.0,332.0,True,SOFT,5.0,False,McLaren,3889.878,2025-04-19 14:20:50.668,12,,False,,False,True
4082.35,NOR,4,104.983,15.0,3.0,,4081.264,37.959,32.093,34.931,4015.326,4047.419,4082.35,266.0,236.0,,249.0,False,SOFT,6.0,False,McLaren,3977.367,2025-04-19 14:22:18.157,1,,False,,False,False
4531.064,NOR,4,,16.0,4.0,4406.338,,,37.668,35.608,,4495.507,4531.064,229.0,216.0,249.0,218.0,False,SOFT,7.0,False,McLaren,4082.35,2025-04-19 14:24:03.140,1,,False,,False,False
4671.773,NOR,4,140.709,17.0,4.0,,,46.661,38.672,55.376,4577.725,4616.397,4671.773,242.0,174.0,47.0,236.0,False,SOFT,8.0,False,McLaren,4531.064,2025-04-19 14:31:31.854,1,,False,,False,True
4826.366,NOR,4,,18.0,4.0,,4824.46,77.173,32.904,44.447,4749.137,4781.919,4826.46,261.0,259.0,,240.0,False,SOFT,9.0,False,McLaren,4671.773,2025-04-19 14:33:52.563,1,,False,,False,False
974.032,BOR,5,,1.0,1.0,857.394,,,33.072,33.665,,940.5,974.086,261.0,304.0,297.0,178.0,False,MEDIUM,1.0,True,Kick Sauber,857.394,2025-04-19 13:30:18.184,1,,False,,False,False
1066.192,BOR,5,92.16,2.0,1.0,,,33.954,28.864,29.342,1007.986,1036.85,1066.192,287.0,328.0,299.0,330.0,True,MEDIUM,2.0,True,Kick Sauber,974.032,2025-04-19 13:32:14.822,1,,False,,False,True
1241.074,BOR,5,,3.0,1.0,,,56.718,65.903,52.309,1123.093,1189.032,1241.198,145.0,101.0,302.0,211.0,False,MEDIUM,3.0,True,Kick Sauber,1066.192,2025-04-19 13:33:46.982,1,,False,,False,False
1332.08,BOR,5,91.006,4.0,1.0,,,33.293,28.515,29.198,1274.367,1302.882,1332.08,293.0,332.0,305.0,337.0,True,MEDIUM,4.0,True,Kick Sauber,1241.074,2025-04-19 13:36:41.864,1,,False,,False,True
1509.678,BOR,5,,5.0,1.0,,,54.821,61.544,61.143,1387.13,1448.609,1509.678,178.0,77.0,298.0,181.0,False,MEDIUM,5.0,True,Kick Sauber,1332.08,2025-04-19 13:38:12.870,1,,False,,False,False
1600.738,BOR,5,91.06,6.0,1.0,,,33.401,28.68,28.979,1543.079,1571.759,1600.738,291.0,327.0,301.0,332.0,False,MEDIUM,6.0,True,Kick Sauber,1509.678,2025-04-19 13:41:10.468,1,,False,,False,True
1764.93,BOR,5,,7.0,1.0,,,55.596,54.239,54.329,1656.441,1710.719,1765.01,128.0,130.0,296.0,133.0,False,MEDIUM,7.0,True,Kick Sauber,1600.738,2025-04-19 13:42:41.528,1,,False,,False,False
1855.971,BOR,5,91.041,8.0,1.0,,,33.361,28.496,29.184,1798.291,1826.787,1855.971,294.0,316.0,296.0,317.0,False,MEDIUM,8.0,True,Kick Sauber,1764.93,2025-04-19 13:45:25.720,1,,False,,False,True
1961.245,BOR,5,105.274,9.0,1.0,,1960.12,39.227,31.878,34.169,1895.198,1927.076,1961.245,267.0,294.0,,297.0,False,MEDIUM,9.0,True,Kick Sauber,1855.971,2025-04-19 13:46:56.761,1,,False,,False,False
2639.905,BOR,5,,10.0,2.0,2526.55,,,31.139,29.934,,2610.093,2640.034,280.0,300.0,292.0,305.0,False,MEDIUM,10.0,False,Kick Sauber,1961.245,2025-04-19 13:48:42.035,1,,False,,False,False
2733.401,BOR,5,93.496,11.0,2.0,,,34.013,29.284,30.199,2673.918,2703.202,2733.401,287.0,307.0,295.0,311.0,False,MEDIUM,11.0,False,Kick Sauber,2639.905,2025-04-19 14:00:00.695,1,,False,,False,True
2826.457,BOR,5,93.056,12.0,2.0,,,34.21,29.313,29.533,2767.611,2796.924,2826.457,288.0,308.0,296.0,311.0,False,MEDIUM,12.0,False,Kick Sauber,2733.401,2025-04-19 14:01:34.191,1,,False,,False,True
2919.756,BOR,5,93.299,13.0,2.0,,,34.279,29.477,29.543,2860.736,2890.213,2919.756,,310.0,297.0,313.0,False,MEDIUM,13.0,False,Kick Sauber,2826.457,2025-04-19 14:03:07.247,1,,False,,False,True
3013.542,BOR,5,93.786,14.0,2.0,,,34.644,29.503,29.639,2954.4,2983.903,3013.542,286.0,306.0,294.0,320.0,False,MEDIUM,14.0,False,Kick Sauber,2919.756,2025-04-19 14:04:40.546,1,,False,,False,True
3107.466,BOR,5,93.924,15.0,2.0,,,34.458,29.526,29.94,3048.0,3077.526,3107.466,,303.0,293.0,308.0,False,MEDIUM,15.0,False,Kick Sauber,3013.542,2025-04-19 14:06:14.332,1,,False,,False,True
3205.141,BOR,5,97.675,16.0,2.0,,3203.969,34.501,29.486,33.688,3141.967,3171.453,3205.141,283.0,304.0,,307.0,False,MEDIUM,16.0,False,Kick Sauber,3107.466,2025-04-19 14:07:48.256,1,,False,,False,False
3925.686,BOR,5,,17.0,3.0,3807.092,,,38.746,38.941,,3886.825,3925.721,262.0,178.0,306.0,229.0,False,SOFT,1.0,True,Kick Sauber,3205.141,2025-04-19 14:09:25.931,12,,False,,False,False
4018.639,BOR,5,92.953,18.0,3.0,,,33.505,29.035,30.413,3959.191,3988.226,4018.639,280.0,333.0,297.0,308.0,False,SOFT,2.0,True,Kick Sauber,3925.686,2025-04-19 14:21:26.476,1,,False,,False,True
4185.101,BOR,5,,19.0,3.0,,4183.968,60.97,52.337,53.139,4079.718,4132.018,4185.101,140.0,145.0,,196.0,False,SOFT,3.0,True,Kick Sauber,4018.639,2025-04-19 14:22:59.429,1,,False,,False,False
4338.948,BOR,5,,20.0,4.0,4199.283,,66.802,44.241,42.883,4251.906,4296.167,4339.041,173.0,164.0,307.0,217.0,False,SOFT,4.0,False,Kick Sauber,4185.101,2025-04-19 14:25:45.891,1,,False,,False,False
4428.358,BOR,5,89.41,21.0,4.0,,,32.665,28.238,28.507,4371.613,4399.851,4428.358,291.0,332.0,309.0,338.0,True,SOFT,5.0,False,Kick Sauber,4338.948,2025-04-19 14:28:19.738,1,,False,,False,True
4548.645,BOR,5,120.287,22.0,4.0,,,48.464,32.876,38.947,4476.822,4509.698,4548.645,260.0,246.0,273.0,194.0,False,SOFT,6.0,False,Kick Sauber,4428.358,2025-04-19 14:29:49.148,1,,False,,False,True
4691.64,BOR,5,142.995,23.0,4.0,,,53.856,38.916,50.223,4602.501,4641.417,4691.64,174.0,244.0,53.0,291.0,False,SOFT,7.0,False,Kick Sauber,4548.645,2025-04-19 14:31:49.435,1,,False,,False,True
4832.47,BOR,5,140.83,24.0,4.0,,4830.047,67.448,31.854,41.528,4759.088,4790.942,4832.47,289.0,281.0,,230.0,False,SOFT,8.0,False,Kick Sauber,4691.64,2025-04-19 14:34:12.430,1,,False,,False,False
