Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1113.783,VER,1,,1.0,1.0,1004.78,,,33.289,34.175,,1079.652,1113.783,265.0,290.0,311.0,292.0,False,SOFT,1.0,True,Red Bull Racing,1004.78,2025-04-19 17:03:28.419,1,,False,,False,False
1201.931,VER,1,88.148,2.0,1.0,,,31.97,27.841,28.337,1145.753,1173.594,1201.931,296.0,329.0,300.0,333.0,True,SOFT,2.0,True,Red Bull Racing,1113.783,2025-04-19 17:05:17.422,1,,False,,False,True
1326.413,VER,1,124.482,3.0,1.0,,1324.701,48.533,36.018,39.931,1250.464,1286.482,1326.413,245.0,243.0,,218.0,False,SOFT,3.0,True,Red Bull Racing,1201.931,2025-04-19 17:06:45.570,1,,False,,False,False
1733.329,VER,1,,4.0,2.0,1609.564,,,34.241,32.161,,1701.168,1733.613,237.0,282.0,309.0,306.0,False,SOFT,4.0,False,Red Bull Racing,1326.413,2025-04-19 17:08:50.052,1,,False,,False,False
1821.107,VER,1,87.778,5.0,2.0,,,31.874,27.813,28.091,1765.203,1793.016,1821.107,295.0,330.0,310.0,335.0,True,SOFT,5.0,False,Red Bull Racing,1733.329,2025-04-19 17:15:36.968,1,,False,,False,True
1946.653,VER,1,125.546,6.0,2.0,,1945.557,47.654,36.141,41.751,1868.761,1904.902,1946.653,184.0,214.0,,220.0,False,SOFT,6.0,False,Red Bull Racing,1821.107,2025-04-19 17:17:04.746,12,,False,,False,False
2542.838,VER,1,,7.0,3.0,2418.129,,,35.899,31.912,,2511.013,2542.838,269.0,301.0,312.0,309.0,False,SOFT,1.0,True,Red Bull Racing,1946.653,2025-04-19 17:19:10.292,12,,False,,False,False
2630.367,VER,1,87.529,8.0,3.0,,,31.71,27.726,28.093,2574.548,2602.274,2630.367,296.0,330.0,311.0,336.0,True,SOFT,2.0,True,Red Bull Racing,2542.838,2025-04-19 17:29:06.477,1,,False,,False,True
2754.201,VER,1,123.834,9.0,3.0,,2753.092,44.202,38.83,40.802,2674.569,2713.399,2754.201,221.0,201.0,,247.0,False,SOFT,3.0,True,Red Bull Racing,2630.367,2025-04-19 17:30:34.006,1,,False,,False,False
3157.446,VER,1,,10.0,4.0,3039.147,,,36.041,33.181,,3124.288,3157.644,244.0,280.0,311.0,178.0,False,SOFT,4.0,False,Red Bull Racing,2754.201,2025-04-19 17:32:37.840,1,,False,,False,False
3245.386,VER,1,87.94,11.0,4.0,,,32.054,27.764,28.122,3189.5,3217.264,3245.386,298.0,330.0,311.0,338.0,False,SOFT,5.0,False,Red Bull Racing,3157.446,2025-04-19 17:39:21.085,1,,False,,False,True
3353.713,VER,1,108.327,12.0,4.0,,3352.624,37.136,31.699,39.492,3282.522,3314.221,3353.713,263.0,231.0,,260.0,False,SOFT,6.0,False,Red Bull Racing,3245.386,2025-04-19 17:40:49.025,1,,False,,False,False
4475.658,VER,1,,13.0,5.0,3762.428,4051.62,,35.734,,,3858.563,,254.0,306.0,,313.0,False,SOFT,1.0,True,Red Bull Racing,3353.713,2025-04-19 17:42:37.352,125,,False,,False,False
4590.903,VER,1,,14.0,6.0,4475.658,,,33.009,34.615,,4556.362,4590.903,278.0,273.0,310.0,291.0,False,SOFT,2.0,False,Red Bull Racing,4475.658,2025-04-19 18:01:19.297,1,,False,,False,False
4678.462,VER,1,87.559,15.0,6.0,,,31.829,27.714,28.016,4622.732,4650.446,4678.462,295.0,330.0,309.0,333.0,True,SOFT,3.0,False,Red Bull Racing,4590.903,2025-04-19 18:03:14.542,1,,False,,False,True
