Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1051.205,VER,1,,1.0,1.0,928.494,,,46.209,31.232,,1020.365,1051.37,160.0,85.0,280.0,274.0,False,MEDIUM,1.0,True,Red Bull Racing,928.494,2025-05-02 16:31:13.545,1,,False,,False,False
1141.013,VER,1,89.808,2.0,1.0,,,29.673,34.493,25.642,1080.878,1115.371,1141.013,217.0,184.0,282.0,335.0,True,MEDIUM,2.0,True,Red Bull Racing,1051.205,2025-05-02 16:33:16.256,1,,False,,False,True
1297.052,VER,1,,3.0,1.0,,,61.153,65.314,29.518,1202.45,1267.736,1297.195,94.0,112.0,280.0,288.0,False,MEDIUM,3.0,True,Red Bull Racing,1141.013,2025-05-02 16:34:46.064,1,,False,,False,False
1385.686,VER,1,88.634,4.0,1.0,,,29.307,33.832,25.495,1326.359,1360.191,1385.686,219.0,186.0,280.0,335.0,True,MEDIUM,4.0,True,Red Bull Racing,1297.052,2025-05-02 16:37:22.103,1,,False,,False,True
1544.894,VER,1,,5.0,1.0,,1539.404,57.417,63.026,38.755,1443.277,1506.293,1544.894,97.0,120.0,,191.0,False,MEDIUM,5.0,True,Red Bull Racing,1385.686,2025-05-02 16:38:50.737,1,,False,,False,False
1684.497,VER,1,139.603,6.0,2.0,1563.879,,62.522,45.901,31.18,1607.416,1653.317,1684.497,150.0,150.0,281.0,260.0,False,MEDIUM,6.0,False,Red Bull Racing,1544.894,2025-05-02 16:41:29.945,1,,False,,False,False
1773.103,VER,1,88.606,7.0,2.0,,,29.149,33.874,25.583,1713.646,1747.52,1773.103,218.0,186.0,282.0,332.0,True,MEDIUM,7.0,False,Red Bull Racing,1684.497,2025-05-02 16:43:49.548,1,,False,,False,True
1884.389,VER,1,111.286,8.0,2.0,,1878.878,39.39,38.813,33.083,1812.493,1851.306,1884.389,191.0,179.0,,233.0,False,MEDIUM,8.0,False,Red Bull Racing,1773.103,2025-05-02 16:45:18.154,1,,False,,False,False
2787.861,VER,1,,9.0,3.0,2685.235,,,35.118,28.527,,2759.383,2787.904,212.0,183.0,274.0,201.0,False,MEDIUM,9.0,False,Red Bull Racing,1884.389,2025-05-02 16:47:09.440,1,,False,,False,False
2879.83,VER,1,91.969,10.0,3.0,,,30.684,35.089,26.196,2818.545,2853.634,2879.83,207.0,183.0,274.0,301.0,False,MEDIUM,10.0,False,Red Bull Racing,2787.861,2025-05-02 17:02:12.912,1,,False,,False,True
2971.683,VER,1,91.853,11.0,3.0,,,30.726,35.094,26.033,2910.556,2945.65,2971.683,209.0,182.0,277.0,335.0,False,MEDIUM,11.0,False,Red Bull Racing,2879.83,2025-05-02 17:03:44.881,1,,False,,False,True
3064.21,VER,1,92.527,12.0,3.0,,,30.957,35.415,26.155,3002.64,3038.055,3064.21,208.0,182.0,276.0,309.0,False,MEDIUM,12.0,False,Red Bull Racing,2971.683,2025-05-02 17:05:16.734,1,,False,,False,True
3156.608,VER,1,92.398,13.0,3.0,,,30.816,35.482,26.1,3095.026,3130.508,3156.608,207.0,182.0,275.0,311.0,False,MEDIUM,13.0,False,Red Bull Racing,3064.21,2025-05-02 17:06:49.261,1,,False,,False,True
3249.046,VER,1,92.438,14.0,3.0,,,31.102,35.266,26.07,3187.71,3222.976,3249.046,,183.0,275.0,308.0,False,MEDIUM,14.0,False,Red Bull Racing,3156.608,2025-05-02 17:08:21.659,1,,False,,False,True
3341.148,VER,1,92.102,15.0,3.0,,,30.918,35.186,25.998,3279.964,3315.15,3341.148,208.0,184.0,277.0,310.0,False,MEDIUM,15.0,False,Red Bull Racing,3249.046,2025-05-02 17:09:54.097,1,,False,,False,True
3433.078,VER,1,91.93,16.0,3.0,,,30.85,35.037,26.043,3371.998,3407.035,3433.078,209.0,184.0,277.0,312.0,False,MEDIUM,16.0,False,Red Bull Racing,3341.148,2025-05-02 17:11:26.199,1,,False,,False,True
3533.319,VER,1,100.241,17.0,3.0,,3527.83,31.006,35.355,33.88,3464.084,3499.439,3533.319,206.0,182.0,,217.0,False,MEDIUM,17.0,False,Red Bull Racing,3433.078,2025-05-02 17:12:58.129,1,,False,,False,False
3936.059,VER,1,,18.0,4.0,3818.705,,,46.913,30.816,,3905.507,3936.197,148.0,136.0,285.0,273.0,False,SOFT,1.0,True,Red Bull Racing,3533.319,2025-05-02 17:14:38.370,12,,False,,False,False
4023.617,VER,1,87.558,19.0,4.0,,,28.857,33.586,25.115,3964.916,3998.502,4023.617,221.0,189.0,284.0,336.0,True,SOFT,2.0,True,Red Bull Racing,3936.059,2025-05-02 17:21:21.110,1,,False,,False,True
4195.104,VER,1,,20.0,4.0,,4195.104,59.462,68.096,,4083.288,4151.403,,104.0,125.0,,132.0,False,SOFT,3.0,True,Red Bull Racing,4023.617,2025-05-02 17:22:48.668,125,,False,,False,False
1108.537,NOR,4,,1.0,1.0,974.69,1102.436,,48.708,38.687,,1070.165,1108.537,150.0,150.0,,174.0,False,MEDIUM,1.0,True,McLaren,974.69,2025-05-02 16:31:59.741,1,,False,,False,False
1261.97,NOR,4,,2.0,2.0,1143.366,,68.597,42.225,42.76,1177.273,1219.521,1262.173,170.0,99.0,274.0,57.0,False,MEDIUM,2.0,False,McLaren,1108.537,2025-05-02 16:34:13.588,1,,False,,False,False
1352.286,NOR,4,90.316,3.0,2.0,,,30.056,34.509,25.751,1292.026,1326.535,1352.286,217.0,187.0,279.0,320.0,True,MEDIUM,3.0,False,McLaren,1261.97,2025-05-02 16:36:47.021,1,,False,,False,True
1489.325,NOR,4,137.039,4.0,2.0,,,46.468,55.122,35.449,1398.754,1453.876,1489.325,120.0,125.0,279.0,127.0,False,MEDIUM,4.0,False,McLaren,1352.286,2025-05-02 16:38:17.337,1,,False,,False,True
1578.177,NOR,4,88.852,5.0,2.0,,,29.523,33.893,25.436,1518.848,1552.741,1578.177,214.0,188.0,280.0,329.0,True,MEDIUM,5.0,False,McLaren,1489.325,2025-05-02 16:40:34.376,1,,False,,False,True
1718.74,NOR,4,140.563,6.0,2.0,,,46.215,58.113,36.235,1624.392,1682.505,1718.74,117.0,116.0,281.0,143.0,False,MEDIUM,6.0,False,McLaren,1578.177,2025-05-02 16:42:03.228,1,,False,,False,True
1807.131,NOR,4,88.391,7.0,2.0,,,29.335,33.684,25.372,1748.075,1781.759,1807.131,219.0,188.0,282.0,330.0,True,MEDIUM,7.0,False,McLaren,1718.74,2025-05-02 16:44:23.791,1,,False,,False,True
1923.157,NOR,4,116.026,8.0,2.0,,1917.78,38.84,43.943,33.243,1845.971,1889.914,1923.157,169.0,170.0,,241.0,False,MEDIUM,8.0,False,McLaren,1807.131,2025-05-02 16:45:52.182,1,,False,,False,False
2566.154,NOR,4,,9.0,3.0,2441.782,,,45.772,40.31,,2526.017,2566.282,177.0,127.0,281.0,58.0,False,MEDIUM,9.0,False,McLaren,1923.157,2025-05-02 16:47:48.208,1,,False,,False,False
2655.094,NOR,4,88.94,10.0,3.0,,,29.987,33.629,25.324,2596.141,2629.77,2655.094,219.0,190.0,282.0,329.0,False,MEDIUM,10.0,False,McLaren,2566.154,2025-05-02 16:58:31.205,1,,False,,False,True
2802.221,NOR,4,147.127,11.0,3.0,,,50.657,60.399,36.071,2705.751,2766.15,2802.221,144.0,125.0,284.0,128.0,False,MEDIUM,11.0,False,McLaren,2655.094,2025-05-02 17:00:00.145,1,,False,,False,True
2893.767,NOR,4,91.546,12.0,3.0,,,29.385,33.729,28.432,2831.606,2865.335,2893.767,219.0,189.0,249.0,314.0,False,MEDIUM,12.0,False,McLaren,2802.221,2025-05-02 17:02:27.272,1,,False,,False,True
2993.417,NOR,4,99.65,13.0,3.0,,,34.323,39.745,25.582,2928.09,2967.835,2993.417,215.0,189.0,278.0,314.0,False,MEDIUM,13.0,False,McLaren,2893.767,2025-05-02 17:03:58.818,1,,False,,False,True
3083.767,NOR,4,90.35,14.0,3.0,,,30.11,34.668,25.572,3023.527,3058.195,3083.767,,190.0,282.0,300.0,False,MEDIUM,14.0,False,McLaren,2993.417,2025-05-02 17:05:38.468,1,,False,,False,True
3173.741,NOR,4,89.974,15.0,3.0,,,30.06,34.466,25.448,3113.827,3148.293,3173.741,217.0,189.0,282.0,309.0,False,MEDIUM,15.0,False,McLaren,3083.767,2025-05-02 17:07:08.818,1,,False,,False,True
3264.829,NOR,4,91.088,16.0,3.0,,,30.473,34.804,25.811,3204.214,3239.018,3264.829,211.0,187.0,279.0,312.0,False,MEDIUM,16.0,False,McLaren,3173.741,2025-05-02 17:08:38.792,1,,False,,False,True
3355.752,NOR,4,90.923,17.0,3.0,,,30.596,34.55,25.777,3295.425,3329.975,3355.752,215.0,185.0,277.0,312.0,False,MEDIUM,17.0,False,McLaren,3264.829,2025-05-02 17:10:09.880,1,,False,,False,True
3451.026,NOR,4,95.274,18.0,3.0,,3445.564,30.176,34.671,30.427,3385.928,3420.599,3451.026,214.0,187.0,,311.0,False,MEDIUM,18.0,False,McLaren,3355.752,2025-05-02 17:11:40.803,1,,False,,False,False
3572.096,NOR,4,121.07,19.0,4.0,3473.921,3566.475,54.888,34.568,31.614,3505.914,3540.482,3572.096,215.0,187.0,,286.0,False,MEDIUM,19.0,False,McLaren,3451.026,2025-05-02 17:13:16.077,1,,False,,False,False
4109.802,NOR,4,,20.0,5.0,3991.377,,,45.422,32.045,,4077.943,4109.802,163.0,96.0,286.0,213.0,False,SOFT,1.0,True,McLaren,3572.096,2025-05-02 17:15:17.147,12,,False,,False,False
4205.045,NOR,4,,21.0,5.0,,4205.045,29.167,33.202,,4139.191,4172.379,,225.0,192.0,,,False,SOFT,2.0,True,McLaren,4109.802,2025-05-02 17:24:14.853,125,,False,,False,False
983.934,BOR,5,,1.0,1.0,869.27,,,40.195,34.242,,949.813,984.043,197.0,173.0,277.0,157.0,False,MEDIUM,1.0,True,Kick Sauber,869.27,2025-05-02 16:30:14.321,1,,False,,False,False
1076.761,BOR,5,92.827,2.0,1.0,,,31.717,35.248,25.862,1015.651,1050.899,1076.761,214.0,187.0,280.0,332.0,True,MEDIUM,2.0,True,Kick Sauber,983.934,2025-05-02 16:32:08.985,1,,False,,False,True
1223.772,BOR,5,147.011,3.0,1.0,,,47.417,55.781,43.813,1124.178,1179.959,1223.772,142.0,100.0,280.0,113.0,False,MEDIUM,3.0,True,Kick Sauber,1076.761,2025-05-02 16:33:41.812,1,,False,,False,True
1315.528,BOR,5,91.756,4.0,1.0,,,30.448,34.644,26.664,1254.22,1288.864,1315.528,213.0,188.0,281.0,336.0,True,MEDIUM,4.0,True,Kick Sauber,1223.772,2025-05-02 16:36:08.823,1,,False,,False,True
1450.959,BOR,5,135.431,5.0,1.0,,,48.976,56.161,30.294,1364.504,1420.665,1450.959,120.0,147.0,278.0,206.0,False,MEDIUM,5.0,True,Kick Sauber,1315.528,2025-05-02 16:37:40.579,1,,False,,False,True
1547.405,BOR,5,96.446,6.0,1.0,,1541.931,30.496,34.723,31.227,1481.455,1516.178,1547.405,212.0,188.0,,315.0,False,MEDIUM,6.0,True,Kick Sauber,1450.959,2025-05-02 16:39:56.010,1,,False,,False,False
2420.318,BOR,5,,7.0,2.0,2307.932,,,44.148,32.588,,2388.421,2420.458,184.0,136.0,279.0,163.0,False,MEDIUM,7.0,False,Kick Sauber,1547.405,2025-05-02 16:41:32.456,1,,False,,False,False
2510.459,BOR,5,90.141,8.0,2.0,,,30.167,34.407,25.567,2450.485,2484.892,2510.459,216.0,189.0,281.0,332.0,True,MEDIUM,8.0,False,Kick Sauber,2420.318,2025-05-02 16:56:05.369,1,,False,,False,True
2626.746,BOR,5,116.287,9.0,2.0,,2621.272,40.862,44.168,31.257,2551.321,2595.489,2626.746,181.0,173.0,,303.0,False,MEDIUM,9.0,False,Kick Sauber,2510.459,2025-05-02 16:57:35.510,1,,False,,False,False
