Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
40.092,27.1,50.0,1018.1,False,37.2,123,1.6
100.087,27.3,50.0,1018.0,False,37.6,122,2.4
160.09,27.3,49.0,1018.1,False,37.4,113,2.0
220.087,27.3,50.0,1018.0,False,37.4,100,2.9
280.095,27.3,51.0,1018.1,False,37.1,118,2.5
340.426,27.2,52.0,1018.0,False,37.1,116,3.0
400.126,27.2,52.0,1018.1,False,37.8,116,1.9
460.127,27.3,53.0,1018.1,False,37.4,115,3.1
520.148,27.2,53.0,1018.1,False,37.3,101,2.5
580.166,27.1,54.0,1018.1,False,37.3,105,1.7
640.223,27.1,54.0,1018.1,False,38.2,116,1.0
701.274,27.3,53.0,1018.1,False,38.5,105,1.8
760.338,27.5,50.0,1018.1,False,38.6,99,2.1
820.16,27.3,50.0,1018.1,False,38.4,107,1.9
880.153,27.3,51.0,1017.9,False,38.4,112,2.3
941.007,27.4,52.0,1017.9,False,38.7,112,1.6
1000.17,27.3,52.0,1018.0,False,38.6,99,2.6
1060.172,27.3,52.0,1017.9,False,38.8,108,1.9
1120.178,27.4,52.0,1017.9,False,38.7,129,2.6
1180.25,27.4,52.0,1018.0,False,39.2,0,0.7
1240.167,27.5,51.0,1018.0,False,39.3,347,0.0
1300.195,27.6,50.0,1018.0,False,39.3,65,1.2
1360.218,27.6,50.0,1018.1,False,38.7,83,1.7
1420.966,27.5,50.0,1018.1,False,38.4,99,1.9
1480.231,27.5,51.0,1017.9,False,38.3,127,3.3
1540.239,27.5,50.0,1017.9,False,38.1,116,3.2
1600.249,27.5,50.0,1018.0,False,38.1,120,3.0
1661.221,27.4,51.0,1018.0,False,38.3,100,3.2
1721.288,27.5,51.0,1018.0,False,38.8,1,2.9
1780.295,27.5,52.0,1017.9,False,39.6,51,1.6
1840.424,27.4,52.0,1017.9,False,40.2,336,2.0
1900.463,27.4,52.0,1017.9,False,40.2,0,1.4
1960.52,27.5,52.0,1017.9,False,39.8,338,0.9
2021.06,27.6,52.0,1017.9,False,39.7,343,1.4
2081.123,27.7,52.0,1017.8,False,39.9,273,2.0
2140.344,27.6,52.0,1017.8,False,40.1,328,1.2
2200.38,27.6,52.0,1017.8,False,39.7,275,1.1
2260.395,27.5,52.0,1017.7,False,39.7,163,0.6
2320.396,27.5,52.0,1017.7,False,40.2,290,0.6
2380.946,27.5,51.0,1017.7,False,40.4,272,0.4
2440.481,27.6,51.0,1017.7,False,40.4,105,0.8
2500.545,27.8,51.0,1017.7,False,40.3,86,1.5
2560.414,27.9,50.0,1017.7,False,40.3,110,1.6
2620.419,27.9,51.0,1017.7,False,40.4,78,1.2
2680.423,27.9,51.0,1017.6,False,40.2,99,0.5
2741.248,27.9,51.0,1017.6,False,40.8,297,0.8
2800.461,27.9,50.0,1017.6,False,40.8,300,1.3
2860.485,27.9,50.0,1017.6,False,40.8,277,1.2
2921.452,27.9,50.0,1017.6,False,41.2,10,0.5
2980.468,28.0,49.0,1017.5,False,42.9,332,0.0
3040.475,28.2,49.0,1017.5,False,43.5,151,0.8
3100.663,28.3,48.0,1017.4,False,45.0,77,1.6
3160.484,28.5,46.0,1017.4,False,45.0,140,2.0
3221.261,28.5,47.0,1017.4,False,45.7,132,0.8
3280.486,28.6,46.0,1017.4,False,46.1,112,1.5
3340.503,28.7,45.0,1017.4,False,46.1,101,2.4
3400.504,28.8,46.0,1017.4,False,44.7,113,3.1
3460.52,28.6,47.0,1017.3,False,44.2,91,2.2
3520.527,28.4,48.0,1017.4,False,43.2,147,1.5
3580.501,28.2,49.0,1017.3,False,43.0,117,2.7
3640.505,28.3,49.0,1017.3,False,42.7,146,2.4
3701.204,28.3,49.0,1017.2,False,43.0,158,1.9
3760.539,28.3,49.0,1017.3,False,43.8,105,2.4
3820.55,28.3,51.0,1017.3,False,45.1,322,3.0
3880.869,28.4,51.0,1017.2,False,46.2,106,1.5
3940.601,28.4,52.0,1017.2,False,46.2,107,2.8
4000.608,28.5,52.0,1017.2,False,46.2,176,1.5
4061.029,28.5,51.0,1017.1,False,47.3,0,0.4
4120.627,28.6,49.0,1017.2,False,48.4,203,0.8
4180.645,28.6,48.0,1017.2,False,49.3,175,0.5
4241.204,28.8,47.0,1017.1,False,49.1,151,0.5
4300.63,29.0,46.0,1017.2,False,49.9,154,0.7
4360.817,29.0,45.0,1017.0,False,49.9,114,1.2
4420.673,29.1,47.0,1017.1,False,48.2,114,4.2
4481.427,28.9,49.0,1017.1,False,47.5,113,5.8
4540.681,28.8,50.0,1017.1,False,47.9,111,4.5
4600.675,28.5,50.0,1017.2,False,48.1,110,4.1
4660.69,28.3,50.0,1017.1,False,48.3,136,2.6
