Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1034.064,VER,1,,1.0,1.0,918.564,,,41.698,31.618,,1002.608,1034.146,200.0,144.0,286.0,171.0,False,SOFT,10.0,False,Red Bull Racing,918.564,2025-05-03 20:16:38.591,1,,False,,False,False
1121.637,VER,1,87.573,2.0,1.0,,,28.784,33.733,25.056,1062.848,1096.581,1121.637,218.0,190.0,285.0,341.0,True,SOFT,11.0,False,Red Bull Racing,1034.064,2025-05-03 20:18:34.091,1,,False,,False,True
1225.225,VER,1,103.588,3.0,1.0,,1218.96,31.813,38.838,32.937,1153.45,1192.288,1225.225,199.0,182.0,,267.0,False,SOFT,12.0,False,Red Bull Racing,1121.637,2025-05-03 20:20:01.664,1,,False,,False,False
1487.699,VER,1,,4.0,2.0,1368.138,,,43.463,32.059,,1455.64,1488.03,190.0,94.0,288.0,278.0,False,SOFT,1.0,True,Red Bull Racing,1225.225,2025-05-03 20:21:45.252,1,,False,,False,False
1574.569,VER,1,86.87,5.0,2.0,,,28.413,33.45,25.007,1516.112,1549.562,1574.569,223.0,191.0,286.0,339.0,True,SOFT,2.0,True,Red Bull Racing,1487.699,2025-05-03 20:26:07.726,1,,False,,False,True
1698.593,VER,1,124.024,6.0,2.0,,1693.198,43.043,47.42,33.561,1617.612,1665.032,1698.593,167.0,151.0,,281.0,False,SOFT,3.0,True,Red Bull Racing,1574.569,2025-05-03 20:27:34.596,1,,False,,False,False
2428.061,VER,1,,7.0,3.0,2323.331,,,40.847,27.842,,2400.219,2428.304,180.0,154.0,285.0,290.0,False,SOFT,1.0,True,Red Bull Racing,1698.593,2025-05-03 20:29:38.620,1,,False,,False,False
2514.704,VER,1,86.643,8.0,3.0,,,28.345,33.309,24.989,2456.406,2489.715,2514.704,223.0,191.0,286.0,337.0,True,SOFT,2.0,True,Red Bull Racing,2428.061,2025-05-03 20:41:48.088,1,,False,,False,True
2638.703,VER,1,123.999,9.0,3.0,,2633.297,42.74,47.996,33.263,2557.444,2605.44,2638.703,138.0,127.0,,270.0,False,SOFT,3.0,True,Red Bull Racing,2514.704,2025-05-03 20:43:14.731,1,,False,,False,False
3087.332,VER,1,,10.0,4.0,2964.099,,,41.723,27.956,,3059.376,3087.631,157.0,175.0,286.0,278.0,False,SOFT,4.0,False,Red Bull Racing,2638.703,2025-05-03 20:45:18.730,1,,False,,False,False
3173.986,VER,1,86.654,11.0,4.0,,,28.339,33.405,24.91,3115.671,3149.076,3173.986,220.0,190.0,285.0,339.0,False,SOFT,5.0,False,Red Bull Racing,3087.332,2025-05-03 20:52:47.359,1,,False,,False,True
3282.419,VER,1,108.433,12.0,4.0,,3277.095,33.433,40.231,34.769,3207.419,3247.65,3282.419,199.0,182.0,,229.0,False,SOFT,6.0,False,Red Bull Racing,3173.986,2025-05-03 20:54:14.013,1,,False,,False,False
3840.081,VER,1,,13.0,5.0,3725.244,,,44.644,26.333,,3813.787,3840.236,170.0,159.0,286.0,298.0,False,SOFT,1.0,True,Red Bull Racing,3282.419,2025-05-03 20:56:02.446,1,,False,,False,False
3926.573,VER,1,86.492,14.0,5.0,,,28.268,33.245,24.979,3868.349,3901.594,3926.573,222.0,192.0,283.0,338.0,True,SOFT,2.0,True,Red Bull Racing,3840.081,2025-05-03 21:05:20.108,1,,False,,False,True
4029.675,VER,1,103.102,15.0,5.0,,4024.23,33.102,37.205,32.795,3959.675,3996.88,4029.675,195.0,186.0,,231.0,False,SOFT,3.0,True,Red Bull Racing,3926.573,2025-05-03 21:06:46.600,1,,False,,False,False
4309.694,VER,1,,16.0,6.0,4192.523,,,44.961,26.677,,4283.133,4309.976,164.0,153.0,287.0,304.0,False,SOFT,1.0,True,Red Bull Racing,4029.675,2025-05-03 21:08:29.702,1,,False,,False,False
4395.898,VER,1,86.204,17.0,6.0,,,28.246,33.079,24.879,4337.94,4371.019,4395.898,223.0,192.0,282.0,339.0,True,SOFT,2.0,True,Red Bull Racing,4309.694,2025-05-03 21:13:09.721,1,,False,,False,True
4523.084,VER,1,127.186,18.0,6.0,,4513.493,38.894,39.93,48.362,4434.792,4474.722,4523.084,185.0,168.0,,167.0,False,SOFT,3.0,True,Red Bull Racing,4395.898,2025-05-03 21:14:35.925,1,,False,,False,False
1061.732,NOR,4,,1.0,1.0,949.534,,,39.519,32.413,,1029.467,1061.816,183.0,134.0,286.0,113.0,False,SOFT,4.0,False,McLaren,949.534,2025-05-03 20:17:09.561,1,,False,,False,False
1149.404,NOR,4,87.672,2.0,1.0,,,29.14,33.46,25.072,1090.872,1124.332,1149.404,217.0,190.0,285.0,335.0,True,SOFT,5.0,False,McLaren,1061.732,2025-05-03 20:19:01.759,1,,False,,False,True
1257.089,NOR,4,107.685,3.0,1.0,,1251.554,35.366,36.829,35.49,1184.77,1221.599,1257.089,202.0,168.0,,186.0,False,SOFT,6.0,False,McLaren,1149.404,2025-05-03 20:20:29.431,1,,False,,False,False
1514.57,NOR,4,,4.0,2.0,1384.263,,,42.496,37.833,,1476.897,1514.794,157.0,110.0,288.0,129.0,False,SOFT,1.0,True,McLaren,1257.089,2025-05-03 20:22:17.116,1,,False,,False,False
1601.889,NOR,4,87.319,5.0,2.0,,,28.855,33.619,24.845,1543.425,1577.044,1601.889,224.0,191.0,286.0,338.0,True,SOFT,2.0,True,McLaren,1514.57,2025-05-03 20:26:34.597,1,,False,,False,True
1724.565,NOR,4,122.676,6.0,2.0,,,47.454,42.929,32.293,1649.343,1692.272,1724.565,140.0,162.0,115.0,219.0,False,SOFT,3.0,True,McLaren,1601.889,2025-05-03 20:28:01.916,1,,False,,False,True
1853.834,NOR,4,129.269,7.0,2.0,,,47.398,44.335,37.536,1771.963,1816.298,1853.834,150.0,164.0,287.0,72.0,False,SOFT,4.0,True,McLaren,1724.565,2025-05-03 20:30:04.592,1,,False,,False,True
1940.789,NOR,4,86.955,8.0,2.0,,,28.8,33.377,24.778,1882.634,1916.011,1940.789,221.0,192.0,287.0,336.0,True,SOFT,5.0,True,McLaren,1853.834,2025-05-03 20:32:13.861,1,,False,,False,True
2047.904,NOR,4,107.115,9.0,2.0,,2042.442,34.412,38.106,34.597,1975.201,2013.307,2047.904,193.0,173.0,,220.0,False,SOFT,6.0,True,McLaren,1940.789,2025-05-03 20:33:40.816,1,,False,,False,False
2543.746,NOR,4,,10.0,3.0,2420.579,,,43.583,31.617,,2512.257,2543.746,186.0,119.0,288.0,146.0,False,SOFT,1.0,True,McLaren,2047.904,2025-05-03 20:35:27.931,1,,False,,False,False
2630.245,NOR,4,86.499,11.0,3.0,,,28.731,32.985,24.783,2572.477,2605.462,2630.245,221.0,194.0,285.0,334.0,True,SOFT,2.0,True,McLaren,2543.746,2025-05-03 20:43:43.773,1,,False,,False,True
2745.506,NOR,4,115.261,12.0,3.0,,2740.001,35.712,40.754,38.795,2665.957,2706.711,2745.506,200.0,166.0,,154.0,False,SOFT,3.0,True,McLaren,2630.245,2025-05-03 20:45:10.272,1,,False,,False,False
3072.958,NOR,4,,13.0,4.0,2936.075,,,43.431,29.658,,3043.3,3073.144,166.0,131.0,284.0,225.0,False,SOFT,4.0,False,McLaren,2745.506,2025-05-03 20:47:05.533,1,,False,,False,False
3159.682,NOR,4,86.724,14.0,4.0,,,28.691,33.233,24.8,3101.649,3134.882,3159.682,222.0,190.0,280.0,336.0,False,SOFT,5.0,False,McLaren,3072.958,2025-05-03 20:52:32.985,1,,False,,False,True
3274.626,NOR,4,114.944,15.0,4.0,,3267.845,34.478,39.427,41.039,3194.16,3233.587,3274.626,192.0,145.0,,206.0,False,SOFT,6.0,False,McLaren,3159.682,2025-05-03 20:53:59.709,1,,False,,False,False
3866.36,NOR,4,,16.0,5.0,3742.522,,,42.267,28.329,,3838.08,3866.482,151.0,143.0,285.0,266.0,False,SOFT,1.0,True,McLaren,3274.626,2025-05-03 20:55:54.653,1,,False,,False,False
3952.855,NOR,4,86.495,17.0,5.0,,,28.337,33.024,25.134,3894.697,3927.721,3952.855,222.0,193.0,285.0,335.0,True,SOFT,2.0,True,McLaren,3866.36,2025-05-03 21:05:46.387,1,,False,,False,True
4059.352,NOR,4,106.497,18.0,5.0,,4053.832,33.961,37.764,34.772,3986.816,4024.58,4059.352,203.0,185.0,,196.0,False,SOFT,3.0,True,McLaren,3952.855,2025-05-03 21:07:12.882,1,,False,,False,False
4343.691,NOR,4,,19.0,6.0,4223.118,,,43.516,27.13,,4316.632,4343.86,155.0,154.0,287.0,278.0,False,SOFT,1.0,True,McLaren,4059.352,2025-05-03 21:08:59.379,1,,False,,False,False
4429.96,NOR,4,86.269,20.0,6.0,,,28.433,32.901,24.935,4372.124,4405.025,4429.96,221.0,194.0,286.0,332.0,True,SOFT,2.0,True,McLaren,4343.691,2025-05-03 21:13:43.718,1,,False,,False,True
4547.283,NOR,4,117.323,21.0,6.0,,4539.961,35.191,42.848,39.284,4465.151,4507.999,4547.283,179.0,158.0,,196.0,False,SOFT,3.0,True,McLaren,4429.96,2025-05-03 21:15:09.987,1,,False,,False,False
1085.254,ANT,12,,1.0,1.0,964.749,,,42.757,27.473,,1057.781,1085.288,177.0,154.0,285.0,285.0,False,SOFT,4.0,False,Mercedes,964.749,2025-05-03 20:17:24.776,1,,False,,False,False
1183.187,ANT,12,97.933,2.0,1.0,,1176.035,29.01,33.645,35.278,1114.264,1147.909,1183.187,220.0,191.0,,339.0,False,SOFT,5.0,False,Mercedes,1085.254,2025-05-03 20:19:25.281,1,,False,,False,False
1362.708,ANT,12,,3.0,2.0,1233.914,,,40.822,29.04,,1333.74,1362.95,163.0,125.0,287.0,281.0,False,SOFT,1.0,True,Mercedes,1183.187,2025-05-03 20:21:03.214,1,,False,,False,False
1449.785,ANT,12,87.077,4.0,2.0,,,28.627,33.551,24.899,1391.335,1424.886,1449.785,221.0,192.0,287.0,339.0,True,SOFT,2.0,True,Mercedes,1362.708,2025-05-03 20:24:02.735,1,,False,,False,True
1573.936,ANT,12,124.151,5.0,2.0,,1567.694,41.563,44.265,38.323,1491.348,1535.613,1573.936,157.0,137.0,,253.0,False,SOFT,3.0,True,Mercedes,1449.785,2025-05-03 20:25:29.812,1,,False,,False,False
