Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
4391.681,NOR,4,,1.0,1.0,4257.759,,,52.793,36.165,,4355.725,4391.816,128.0,80.0,225.0,221.0,False,INTERMEDIATE,1.0,True,McLaren,4245.523,2025-05-03 16:28:05.270,1,3.0,False,,False,False
4566.276,NOR,4,,2.0,1.0,,,54.022,54.266,66.234,4445.911,4500.189,4566.433,83.0,71.0,30.0,195.0,False,INTERMEDIATE,2.0,True,McLaren,4391.681,2025-05-03 16:30:31.428,1,3.0,False,,False,False
4724.973,NOR,4,,3.0,1.0,,,92.34,38.333,28.137,4658.684,4696.971,4725.192,199.0,170.0,271.0,259.0,False,INTERMEDIATE,3.0,True,McLaren,4566.276,2025-05-03 16:33:26.023,1,2.0,False,,False,False
4825.307,NOR,4,100.334,4.0,1.0,,,34.573,38.164,27.597,4759.681,4797.845,4825.442,206.0,171.0,274.0,300.0,True,INTERMEDIATE,4.0,True,McLaren,4724.973,2025-05-03 16:36:04.720,1,2.0,False,,False,True
4926.002,NOR,4,100.695,5.0,1.0,,,34.691,38.249,27.755,4860.133,4898.382,4926.137,201.0,166.0,275.0,276.0,False,INTERMEDIATE,5.0,True,McLaren,4825.307,2025-05-03 16:37:45.054,1,2.0,False,,False,True
5026.544,NOR,4,100.542,6.0,1.0,,,34.478,38.309,27.755,4960.615,4998.924,5026.679,198.0,168.0,276.0,297.0,False,INTERMEDIATE,6.0,True,McLaren,4926.002,2025-05-03 16:39:25.749,1,2.0,False,,False,True
5127.022,NOR,4,100.478,7.0,1.0,,,34.506,38.291,27.681,5061.185,5099.476,5127.157,200.0,167.0,275.0,292.0,False,INTERMEDIATE,7.0,True,McLaren,5026.544,2025-05-03 16:41:06.291,1,2.0,False,,False,True
5228.741,NOR,4,101.719,8.0,1.0,,,34.609,39.56,27.55,5161.766,5201.326,5228.876,199.0,165.0,276.0,306.0,False,INTERMEDIATE,8.0,True,McLaren,5127.022,2025-05-03 16:42:46.769,1,2.0,False,,False,True
5329.71,NOR,4,100.969,9.0,1.0,,,34.442,38.85,27.677,5263.318,5302.168,5329.845,198.0,164.0,277.0,299.0,False,INTERMEDIATE,9.0,True,McLaren,5228.741,2025-05-03 16:44:28.488,1,2.0,False,,False,True
5431.076,NOR,4,101.366,10.0,1.0,,,34.671,39.112,27.583,5364.516,5403.628,5431.211,201.0,163.0,277.0,288.0,False,INTERMEDIATE,10.0,True,McLaren,5329.71,2025-05-03 16:46:09.457,1,2.0,False,,False,True
