Time,Status,Message
0.0,1,AllClear
827.95,2,Yellow
1917.742,1,AllClear
1924.726,2,Yellow
1960.264,1,AllClear
2062.949,2,Yellow
2156.15,1,AllClear
2267.229,2,Yellow
2331.804,1,AllClear
2374.451,2,Yellow
2447.591,1,AllClear
2810.076,5,Red
2926.029,1,AllClear
2978.477,2,Yellow
2996.926,1,AllClear
3214.658,2,Yellow
3237.717,1,AllClear
3473.623,2,Yellow
3703.44,1,AllClear
3704.94,2,Yellow
3731.003,1,AllClear
5644.831,2,Yellow
5652.837,1,AllClear
5837.671,2,Yellow
5848.145,4,SCDeployed
6428.578,1,AllClear
6739.04,2,Yellow
