Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
14.479,23.6,81.0,1016.1,True,29.2,325,1.3
74.447,23.4,82.0,1016.1,True,29.3,340,1.1
134.457,23.4,81.0,1016.1,True,29.5,292,1.0
194.474,23.5,82.0,1016.1,True,29.8,335,1.0
254.462,23.5,83.0,1016.2,False,30.1,323,0.8
314.463,23.5,83.0,1016.1,False,30.2,322,0.6
374.476,23.5,82.0,1016.1,False,30.2,355,0.7
434.492,23.7,83.0,1016.2,False,30.2,95,0.6
494.483,23.7,81.0,1016.2,False,30.0,120,1.0
554.477,23.7,82.0,1016.2,True,30.0,68,0.8
614.49,23.8,82.0,1016.2,True,30.0,46,0.5
674.493,23.8,82.0,1016.2,True,30.0,70,0.5
734.514,23.8,82.0,1016.2,True,30.0,0,0.3
794.51,23.8,83.0,1016.2,True,30.1,103,0.5
854.527,23.8,84.0,1016.3,True,30.2,113,1.4
914.513,23.7,85.0,1016.2,True,30.4,100,1.1
974.528,23.6,85.0,1016.2,True,28.6,97,1.9
1034.532,23.4,85.0,1016.3,True,28.2,98,2.0
1094.542,23.3,86.0,1016.3,True,26.9,109,2.5
1154.556,23.3,86.0,1016.3,True,26.9,101,2.3
1214.577,23.1,86.0,1016.3,True,28.4,106,2.1
1274.561,23.0,85.0,1016.4,True,28.4,99,2.4
1334.572,22.8,86.0,1016.3,True,28.4,88,1.5
1394.599,22.9,86.0,1016.2,True,28.6,105,1.9
1454.645,22.8,85.0,1016.3,True,28.7,104,2.4
1514.837,22.8,86.0,1016.3,True,29.0,116,2.0
1574.634,22.8,86.0,1016.2,False,29.1,105,1.9
1634.619,22.9,86.0,1016.2,False,29.1,105,1.9
1694.638,22.8,86.0,1016.2,False,29.1,105,1.9
1754.661,22.9,85.0,1016.2,False,29.3,100,2.0
1814.639,22.9,86.0,1016.3,False,29.5,116,1.5
1874.649,23.0,86.0,1016.3,False,29.8,113,1.7
1934.655,23.0,86.0,1016.3,False,30.4,88,1.4
1994.665,23.0,85.0,1016.3,False,30.4,102,1.5
2054.649,23.0,85.0,1016.4,False,30.1,114,1.2
2114.659,23.0,84.0,1016.4,False,30.4,114,1.0
2174.64,23.0,86.0,1016.3,False,30.9,89,1.5
2234.641,23.1,84.0,1016.2,False,30.7,104,1.8
2294.651,23.1,84.0,1016.2,False,30.5,96,2.1
2354.674,23.2,83.0,1016.2,True,30.3,99,1.3
2414.652,23.3,84.0,1016.2,True,30.5,100,1.3
2474.683,23.4,85.0,1016.1,True,30.9,122,1.2
2534.697,23.5,84.0,1016.1,True,30.9,109,1.8
2594.716,23.5,84.0,1016.0,True,30.6,124,2.4
2654.713,23.6,84.0,1016.0,True,30.8,106,2.3
2714.748,23.6,85.0,1016.0,True,31.2,103,2.5
2774.739,23.6,84.0,1016.0,False,31.2,118,2.6
2834.755,23.6,82.0,1016.0,False,31.1,124,3.4
2894.748,23.9,84.0,1016.0,False,31.1,108,1.8
2954.742,23.9,83.0,1016.0,False,31.5,115,2.6
3014.749,23.9,82.0,1016.0,False,31.7,120,2.8
3074.767,24.0,82.0,1016.0,False,32.1,117,3.2
3134.764,24.0,79.0,1016.0,False,32.2,130,2.0
3194.758,24.2,79.0,1015.9,False,32.1,121,2.2
3254.764,24.4,78.0,1016.0,False,32.1,113,3.1
3314.781,24.5,76.0,1016.0,False,31.7,107,2.7
3374.778,24.5,76.0,1015.8,False,31.5,116,3.4
3434.791,24.6,74.0,1015.8,False,31.0,108,3.3
3494.789,24.7,76.0,1015.8,False,31.2,124,2.2
3554.802,24.8,75.0,1015.9,False,31.2,119,2.5
3614.789,25.0,74.0,1015.9,False,31.2,117,2.2
3674.809,25.1,76.0,1015.8,False,31.2,112,2.0
3734.819,25.1,76.0,1015.9,False,31.0,92,2.2
3794.819,25.2,76.0,1015.7,False,31.0,117,2.2
3854.829,25.3,77.0,1015.7,False,31.5,119,2.4
3914.858,25.3,76.0,1015.7,False,31.5,110,3.4
3974.856,25.2,75.0,1015.7,False,31.3,121,3.6
4034.857,25.3,76.0,1015.6,False,31.4,119,2.6
4094.853,25.5,75.0,1015.6,False,31.5,119,3.3
4154.858,25.5,76.0,1015.6,False,31.7,108,2.8
4214.871,25.5,77.0,1015.7,False,32.0,113,2.8
4274.86,25.7,76.0,1015.7,False,32.1,101,1.5
4334.899,25.7,78.0,1015.6,False,32.4,109,2.3
4394.904,25.8,76.0,1015.7,False,32.4,99,2.7
4454.895,25.8,75.0,1015.7,False,32.2,102,1.4
4514.91,25.8,77.0,1015.6,False,32.1,301,1.5
4574.933,25.9,78.0,1015.7,False,32.4,61,1.0
4634.986,26.0,79.0,1015.6,False,32.4,113,1.0
4694.966,26.0,77.0,1015.7,False,32.6,34,1.0
4754.972,26.0,79.0,1015.7,False,32.6,126,0.7
4814.985,26.1,76.0,1015.7,False,32.4,109,2.0
4874.979,26.2,76.0,1015.7,False,31.9,54,1.5
4934.988,26.2,76.0,1015.7,False,31.5,107,1.0
4994.984,26.1,77.0,1015.7,False,31.5,74,1.0
5054.988,26.2,77.0,1015.6,False,31.5,259,0.6
5114.997,26.2,75.0,1015.6,False,31.7,56,0.6
5174.989,26.1,75.0,1015.4,False,31.3,348,1.1
5235.029,26.2,76.0,1015.5,False,31.3,91,0.9
5295.016,26.3,76.0,1015.5,False,31.3,354,0.8
5355.036,26.4,76.0,1015.4,False,31.4,321,0.6
5415.03,26.5,76.0,1015.4,False,32.2,307,1.0
5475.067,26.6,76.0,1015.4,False,32.3,0,0.5
5535.062,26.7,74.0,1015.5,False,32.3,334,0.6
5595.084,26.7,75.0,1015.4,False,31.5,277,1.1
5655.078,26.8,76.0,1015.3,False,31.4,295,0.9
5715.099,26.7,75.0,1015.4,False,31.4,317,1.6
5775.114,26.9,75.0,1015.4,False,31.4,315,1.2
5835.128,26.8,75.0,1015.3,False,31.3,330,0.9
5895.18,26.9,73.0,1015.3,False,31.0,320,1.0
5955.187,26.8,73.0,1015.3,False,30.5,292,0.7
6015.222,26.8,74.0,1015.3,False,30.2,236,1.1
6075.218,26.8,73.0,1015.3,False,30.2,104,1.5
6135.223,26.8,74.0,1015.3,False,30.0,310,1.4
6195.262,26.7,74.0,1015.3,False,30.0,90,1.2
6255.256,26.7,73.0,1015.3,False,29.6,149,0.7
6315.262,26.6,73.0,1015.3,False,29.3,30,0.6
6375.272,26.6,74.0,1015.2,False,29.3,59,0.8
6435.272,26.6,73.0,1015.2,False,29.5,325,1.1
6495.306,26.5,74.0,1015.2,False,29.8,317,1.0
6555.3,26.6,73.0,1015.2,False,30.0,287,0.6
6615.289,26.6,73.0,1015.3,False,30.4,278,1.3
6675.318,26.7,72.0,1015.2,False,30.3,126,1.0
6735.312,26.6,72.0,1015.1,False,30.3,105,1.5
6795.33,26.7,72.0,1015.1,False,30.2,103,1.8
