Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1107.977,PIA,81,,1.0,1.0,995.857,,,41.561,31.211,,1076.862,1108.025,109.0,121.0,287.0,155.0,False,MEDIUM,1.0,True,McLaren,995.857,2025-05-02 20:32:57.758,1,,False,,False,False
1196.133,PIA,81,88.156,2.0,1.0,,,29.435,33.687,25.034,1137.412,1171.099,1196.133,219.0,190.0,284.0,337.0,True,MEDIUM,2.0,True,McLaren,1107.977,2025-05-02 20:34:49.878,1,,False,,False,True
1315.279,PIA,81,119.146,3.0,1.0,,,44.315,42.088,32.743,1240.448,1282.536,1315.279,142.0,138.0,148.0,259.0,False,MEDIUM,3.0,True,McLaren,1196.133,2025-05-02 20:36:18.034,1,,False,,False,True
1437.205,PIA,81,121.926,4.0,1.0,,,48.279,42.997,30.65,1363.558,1406.555,1437.205,164.0,129.0,283.0,230.0,False,MEDIUM,4.0,True,McLaren,1315.279,2025-05-02 20:38:17.180,1,,False,,False,True
1525.156,PIA,81,87.951,5.0,1.0,,,29.4,33.61,24.941,1466.605,1500.215,1525.156,223.0,191.0,288.0,338.0,True,MEDIUM,5.0,True,McLaren,1437.205,2025-05-02 20:40:19.106,1,,False,,False,True
1654.486,PIA,81,129.33,6.0,1.0,,1648.844,51.295,42.045,35.99,1576.451,1618.496,1654.486,179.0,148.0,,233.0,False,MEDIUM,6.0,True,McLaren,1525.156,2025-05-02 20:41:47.057,1,,False,,False,False
2153.217,PIA,81,,7.0,2.0,2031.972,,,38.675,28.164,,2125.08,2153.239,176.0,119.0,287.0,313.0,False,MEDIUM,1.0,True,McLaren,1654.486,2025-05-02 20:43:56.387,1,,False,,False,False
2240.571,PIA,81,87.354,8.0,2.0,,,28.995,33.405,24.954,2182.212,2215.617,2240.571,224.0,191.0,286.0,336.0,True,MEDIUM,2.0,True,McLaren,2153.217,2025-05-02 20:52:15.118,1,,False,,False,True
2363.358,PIA,81,122.787,9.0,2.0,,2357.541,42.561,42.149,38.077,2283.132,2325.281,2363.358,169.0,145.0,,247.0,False,MEDIUM,3.0,True,McLaren,2240.571,2025-05-02 20:53:42.472,1,,False,,False,False
3448.25,PIA,81,,10.0,3.0,3311.93,,,38.68,35.816,,3412.525,3448.25,194.0,126.0,287.0,74.0,False,SOFT,1.0,True,McLaren,2363.358,2025-05-02 20:55:45.259,1,,False,,False,False
3534.777,PIA,81,86.527,11.0,3.0,,,28.648,32.936,24.943,3476.898,3509.834,3534.777,221.0,193.0,286.0,338.0,True,SOFT,2.0,True,McLaren,3448.25,2025-05-02 21:13:50.151,1,,False,,False,True
3662.17,PIA,81,127.393,12.0,3.0,,3651.969,40.547,40.929,45.917,3575.324,3616.253,3662.17,182.0,144.0,,146.0,False,SOFT,3.0,True,McLaren,3534.777,2025-05-02 21:15:16.678,1,,False,,False,False
1060.812,LEC,16,,1.0,1.0,935.358,,,39.56,40.582,,1020.404,1060.812,188.0,166.0,285.0,69.0,False,MEDIUM,1.0,True,Ferrari,935.358,2025-05-02 20:31:57.259,1,,False,,False,False
1149.176,LEC,16,88.364,2.0,1.0,,,29.424,33.811,25.129,1090.236,1124.047,1149.176,219.0,186.0,284.0,339.0,True,MEDIUM,2.0,True,Ferrari,1060.812,2025-05-02 20:34:02.713,1,,False,,False,True
1268.63,LEC,16,119.454,3.0,1.0,,,44.303,42.894,32.257,1193.479,1236.373,1268.63,166.0,156.0,249.0,207.0,False,MEDIUM,3.0,True,Ferrari,1149.176,2025-05-02 20:35:31.077,1,,False,,False,True
