Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1164.805,VER,1,,1.0,1.0,1043.799,,,37.118,35.794,,1129.049,1164.815,174.0,113.0,280.0,239.0,False,MEDIUM,1.0,True,Red Bull Racing,1043.799,2025-05-16 15:02:23.811,1,,False,,False,False
1241.224,VER,1,76.419,2.0,1.0,,,24.256,26.449,25.714,1189.061,1215.51,1241.224,227.0,258.0,279.0,295.0,True,MEDIUM,2.0,True,Red Bull Racing,1164.805,2025-05-16 15:04:24.817,1,,False,,False,True
1396.247,VER,1,,3.0,1.0,,,50.681,55.948,48.538,1291.985,1347.941,1396.472,108.0,137.0,158.0,135.0,False,MEDIUM,3.0,True,Red Bull Racing,1241.224,2025-05-16 15:05:41.236,1,,False,,False,False
1519.861,VER,1,123.614,4.0,1.0,,,49.308,42.935,31.371,1445.555,1488.49,1519.861,133.0,170.0,281.0,266.0,False,MEDIUM,4.0,True,Red Bull Racing,1396.247,2025-05-16 15:08:16.259,1,,False,,False,True
1596.167,VER,1,76.306,5.0,1.0,,,24.178,26.52,25.608,1544.039,1570.559,1596.167,227.0,256.0,282.0,295.0,True,MEDIUM,5.0,True,Red Bull Racing,1519.861,2025-05-16 15:10:19.873,1,,False,,False,True
1697.861,VER,1,101.694,6.0,1.0,,1693.395,31.017,34.239,36.438,1627.184,1661.423,1697.861,189.0,219.0,,205.0,False,MEDIUM,6.0,True,Red Bull Racing,1596.167,2025-05-16 15:11:36.179,1,,False,,False,False
2283.834,VER,1,,7.0,2.0,2183.349,,,37.939,31.064,,2252.927,2283.85,170.0,195.0,284.0,247.0,False,SOFT,1.0,True,Red Bull Racing,1697.861,2025-05-16 15:13:17.873,1,,False,,False,False
2359.569,VER,1,75.735,8.0,2.0,,,24.075,26.156,25.504,2307.909,2334.065,2359.569,228.0,261.0,284.0,295.0,True,SOFT,2.0,True,Red Bull Racing,2283.834,2025-05-16 15:23:03.846,1,,False,,False,True
2513.881,VER,1,,9.0,2.0,,,48.532,54.094,51.725,2408.21,2462.241,2513.944,117.0,92.0,156.0,129.0,False,SOFT,3.0,True,Red Bull Racing,2359.569,2025-05-16 15:24:19.581,1,,False,,False,False
2643.646,VER,1,129.765,10.0,2.0,,,48.331,50.031,31.403,2562.212,2612.243,2643.646,134.0,157.0,284.0,259.0,False,SOFT,4.0,True,Red Bull Racing,2513.881,2025-05-16 15:26:53.893,1,,False,,False,True
2737.461,VER,1,93.815,11.0,2.0,,2732.914,24.181,33.8,35.834,2667.827,2701.627,2737.461,227.0,221.0,,230.0,False,SOFT,5.0,True,Red Bull Racing,2643.646,2025-05-16 15:29:03.658,1,,False,,False,False
3239.849,VER,1,,12.0,3.0,3135.842,,,32.155,30.02,,3210.13,3239.971,202.0,223.0,274.0,271.0,False,MEDIUM,7.0,False,Red Bull Racing,2737.461,2025-05-16 15:30:37.473,1,,False,,False,False
3320.444,VER,1,80.595,13.0,3.0,,,25.734,28.048,26.813,3265.583,3293.631,3320.444,217.0,251.0,274.0,279.0,False,MEDIUM,8.0,False,Red Bull Racing,3239.849,2025-05-16 15:38:59.861,1,,False,,False,True
