Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2237.211,PIA,81,,1.0,1.0,1132.826,1259.299,,,,,,,,,,,False,SOFT,1.0,True,McLaren,1132.826,2025-05-17 14:05:11.710,125,,False,,False,False
2332.325,PIA,81,,2.0,2.0,2237.211,,,37.549,29.588,,2302.852,2332.352,203.0,114.0,283.0,277.0,False,SOFT,2.0,False,McLaren,2237.211,2025-05-17 14:23:36.095,1,,False,,False,False
2407.825,PIA,81,75.5,3.0,2.0,,,23.868,26.238,25.394,2356.193,2382.431,2407.825,230.0,263.0,283.0,296.0,True,SOFT,3.0,False,McLaren,2332.325,2025-05-17 14:25:11.209,1,,False,,False,True
2511.898,PIA,81,104.073,4.0,2.0,,,36.783,34.663,32.627,2444.608,2479.271,2511.898,164.0,215.0,131.0,239.0,False,SOFT,4.0,False,McLaren,2407.825,2025-05-17 14:26:26.709,1,,False,,False,True
2631.844,PIA,81,119.946,5.0,2.0,,,48.295,35.407,36.244,2560.193,2595.6,2631.844,196.0,206.0,280.0,191.0,False,SOFT,5.0,False,McLaren,2511.898,2025-05-17 14:28:10.782,1,,False,,False,True
2730.145,PIA,81,98.301,6.0,2.0,,2717.949,23.971,26.074,48.256,2655.815,2681.889,2730.145,229.0,265.0,,106.0,False,SOFT,6.0,False,McLaren,2631.844,2025-05-17 14:30:10.728,1,,False,,False,False
4564.317,PIA,81,,7.0,3.0,4458.477,,,38.59,30.417,,4534.027,4564.387,187.0,232.0,281.0,275.0,False,SOFT,1.0,True,McLaren,2730.145,2025-05-17 14:31:49.029,125,,False,,False,False
4639.558,PIA,81,75.241,8.0,3.0,,,23.911,25.881,25.449,4588.228,4614.109,4639.558,235.0,265.0,280.0,299.0,True,SOFT,2.0,True,McLaren,4564.317,2025-05-17 15:02:23.201,1,,False,,False,True
4745.105,PIA,81,105.547,9.0,3.0,,4740.654,33.343,33.213,38.991,4672.901,4706.114,4745.105,189.0,201.0,,212.0,False,SOFT,3.0,True,McLaren,4639.558,2025-05-17 15:03:38.442,1,,False,,False,False
5187.131,PIA,81,,10.0,4.0,5086.527,,,33.315,28.873,,5158.325,5187.406,203.0,132.0,282.0,280.0,False,SOFT,4.0,False,McLaren,4745.105,2025-05-17 15:05:23.989,1,,False,,False,False
5262.345,PIA,81,75.214,11.0,4.0,,,23.888,26.089,25.237,5211.019,5237.108,5262.345,234.0,265.0,283.0,298.0,True,SOFT,5.0,False,McLaren,5187.131,2025-05-17 15:12:46.015,1,,False,,False,True
