Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
8.142,22.3,40.0,1010.5,False,42.0,178,0.6
68.142,22.3,39.0,1010.5,False,41.5,198,0.5
128.158,22.3,39.0,1010.6,False,40.6,190,0.8
188.148,22.2,40.0,1010.7,False,40.3,210,1.1
248.164,22.1,41.0,1010.7,False,40.2,337,0.6
308.196,22.0,41.0,1010.6,False,39.9,347,0.8
368.196,22.0,41.0,1010.7,False,39.5,320,0.9
428.212,22.1,41.0,1010.6,False,39.6,328,1.3
488.22,22.1,41.0,1010.7,False,39.5,319,1.3
548.233,22.0,42.0,1010.7,False,39.5,204,1.1
608.246,21.9,42.0,1010.7,False,38.8,336,0.6
668.232,21.9,43.0,1010.7,False,38.8,345,1.6
728.237,21.8,43.0,1010.7,False,39.7,353,1.3
788.237,21.7,43.0,1010.7,False,40.4,4,1.2
848.253,21.7,41.0,1010.8,False,40.4,305,1.1
908.254,21.7,40.0,1010.7,False,39.8,193,0.3
968.27,21.8,40.0,1010.7,False,39.8,183,0.7
1028.286,21.6,40.0,1010.8,False,39.2,355,1.0
1088.271,21.6,41.0,1010.8,False,37.6,191,1.0
1148.287,21.5,43.0,1010.8,False,38.4,77,1.2
1208.303,21.5,43.0,1010.9,False,37.9,178,0.8
1268.316,21.4,43.0,1010.7,False,37.8,0,1.0
1328.332,21.5,42.0,1010.8,False,37.6,9,0.5
1388.323,21.5,42.0,1010.8,False,37.1,183,0.4
1448.339,21.5,44.0,1010.8,False,37.0,247,0.6
1508.356,21.6,43.0,1010.8,False,37.1,293,0.0
1568.34,21.6,43.0,1010.8,False,36.7,302,0.7
1628.356,21.4,41.0,1010.8,False,37.1,76,0.8
1688.342,21.3,42.0,1010.8,False,37.1,68,0.7
1748.348,21.2,43.0,1010.8,False,36.9,259,0.5
1808.348,21.1,43.0,1010.8,False,36.6,36,0.5
1868.349,21.1,43.0,1010.8,False,36.7,324,0.4
1928.349,21.3,43.0,1010.8,False,38.4,212,0.7
1988.357,21.5,41.0,1010.8,False,39.1,319,1.1
2048.363,21.5,40.0,1010.8,False,39.5,217,0.7
2108.363,21.7,41.0,1010.8,False,39.1,208,0.6
2168.379,21.7,39.0,1010.9,False,38.6,0,0.5
2228.38,21.9,40.0,1010.8,False,38.1,23,0.3
2288.375,21.9,40.0,1010.8,False,37.9,188,0.6
2348.376,21.6,41.0,1010.8,False,37.3,77,0.8
2408.392,21.5,41.0,1010.8,False,37.5,90,0.8
2468.377,21.6,42.0,1010.8,False,36.8,236,0.8
2528.389,21.6,43.0,1010.9,False,36.8,312,0.5
2588.42,21.5,43.0,1010.8,False,36.6,6,0.9
2648.389,21.3,44.0,1010.8,False,36.6,19,0.7
2708.39,21.2,45.0,1010.9,False,36.4,235,0.9
2768.391,21.1,44.0,1010.8,False,36.8,0,0.4
2828.407,21.1,43.0,1010.8,False,36.8,233,0.5
2888.44,21.0,43.0,1010.8,False,36.9,25,0.4
2948.417,21.1,44.0,1010.8,False,36.4,333,0.4
3008.429,21.1,43.0,1010.8,False,35.5,308,1.0
3068.43,21.1,45.0,1010.8,False,35.5,0,0.5
3128.446,21.0,45.0,1010.9,False,35.9,0,1.0
3188.446,20.8,46.0,1010.8,False,36.1,282,0.6
3248.446,20.8,45.0,1010.8,False,36.2,324,0.8
3308.447,20.9,44.0,1010.8,False,36.5,0,2.0
3368.463,20.9,45.0,1010.8,False,36.5,300,0.7
3428.497,20.8,45.0,1010.8,False,37.6,0,0.6
3488.488,20.9,45.0,1010.8,False,38.0,173,0.5
3548.504,21.0,44.0,1010.9,False,38.0,177,0.5
3608.504,21.0,44.0,1010.8,False,37.8,196,1.0
3668.52,21.1,44.0,1010.9,False,37.4,188,1.1
3728.521,21.1,45.0,1010.9,False,38.0,269,0.8
3788.522,21.2,44.0,1010.8,False,37.0,193,0.6
3848.533,21.2,45.0,1010.9,False,37.0,0,0.8
3908.549,21.0,45.0,1010.8,False,37.7,29,0.5
3968.549,21.1,44.0,1010.9,False,38.2,0,1.1
4028.55,21.1,44.0,1010.9,False,38.9,337,0.6
4088.566,21.2,44.0,1010.9,False,39.9,0,0.4
4148.582,21.2,44.0,1010.9,False,40.7,198,0.6
4208.582,21.2,42.0,1010.9,False,40.8,273,1.2
4268.583,21.4,43.0,1010.8,False,40.4,336,0.5
4328.599,21.5,44.0,1010.9,False,40.8,235,1.0
4388.584,21.5,43.0,1010.9,False,41.1,167,0.7
4448.584,21.5,43.0,1011.0,False,41.2,235,0.7
4508.59,21.5,43.0,1010.9,False,41.3,164,1.1
4568.589,21.4,43.0,1010.9,False,39.3,171,0.8
4628.591,21.5,43.0,1010.9,False,39.2,312,0.5
4688.598,21.4,44.0,1010.9,False,39.1,339,0.5
4748.614,21.4,44.0,1010.9,False,39.1,312,0.7
4808.646,21.5,43.0,1010.9,False,39.3,330,0.9
4868.655,21.7,43.0,1010.9,False,39.3,325,1.8
