Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
12.962,21.3,57.0,1015.2,False,41.9,289,1.3
72.985,21.4,57.0,1015.2,False,41.8,181,0.4
132.985,21.1,59.0,1015.2,False,41.3,148,0.7
193.001,21.0,60.0,1015.1,False,41.3,28,0.8
252.986,21.1,59.0,1015.1,False,41.8,338,0.7
313.002,21.2,58.0,1015.2,False,41.8,175,0.8
373.034,21.2,58.0,1015.0,False,41.8,347,1.5
433.034,21.3,57.0,1015.1,False,42.0,0,0.6
493.031,21.2,57.0,1015.0,False,42.0,211,1.1
553.036,21.0,60.0,1015.1,False,40.5,265,1.8
613.014,21.0,62.0,1015.0,False,40.6,283,0.5
673.03,21.0,61.0,1015.1,False,40.6,176,0.6
733.031,21.0,61.0,1015.0,False,40.9,189,1.4
793.047,21.0,62.0,1015.1,False,40.8,314,0.7
853.032,21.0,62.0,1015.1,False,41.1,281,0.6
913.017,21.0,60.0,1015.0,False,41.3,318,0.3
973.033,21.1,58.0,1015.1,False,41.1,148,0.5
1033.033,21.0,59.0,1015.1,False,41.1,328,1.0
1093.041,20.9,60.0,1015.0,False,40.6,187,0.7
1153.035,21.0,59.0,1015.1,False,41.1,0,0.4
1213.02,21.1,59.0,1015.1,False,41.1,300,0.8
1273.036,21.2,59.0,1015.1,False,41.7,199,0.8
1333.034,21.4,57.0,1015.1,False,41.7,220,0.9
1393.028,21.6,58.0,1015.1,False,41.8,213,1.3
1453.036,21.5,58.0,1015.1,False,41.7,228,0.7
1513.029,21.5,58.0,1015.1,False,41.4,291,0.8
1573.045,21.5,57.0,1015.1,False,41.4,337,1.1
1633.03,21.5,58.0,1015.1,False,41.5,182,0.8
1693.03,21.4,56.0,1015.2,False,41.2,320,0.9
1753.047,21.4,58.0,1015.2,False,41.3,193,0.7
1813.032,21.3,58.0,1015.1,False,41.4,183,1.8
1873.033,21.3,58.0,1015.1,False,41.5,0,0.7
1933.033,21.5,59.0,1015.1,False,41.2,182,0.7
1993.065,21.5,59.0,1015.0,False,41.2,198,2.0
2053.05,21.6,59.0,1014.9,False,41.1,188,1.0
