Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
24.667,30.2,36.0,1006.2,False,46.7,190,1.2
84.674,30.1,36.0,1006.2,False,46.9,199,1.4
144.693,30.1,36.0,1006.2,False,46.8,172,1.0
204.698,30.0,38.0,1006.2,False,47.1,196,0.8
264.705,30.0,36.0,1006.2,False,47.4,207,1.5
324.705,30.0,36.0,1006.2,False,47.5,301,1.7
384.697,30.1,37.0,1006.2,False,47.5,282,0.9
444.692,30.1,36.0,1006.1,False,47.5,222,0.9
504.7,30.1,36.0,1006.3,False,47.8,219,1.0
564.696,30.1,36.0,1006.2,False,47.7,184,1.7
624.692,30.2,35.0,1006.2,False,47.5,234,2.2
684.697,30.1,37.0,1006.2,False,47.5,208,1.2
744.695,30.1,37.0,1006.3,False,47.6,204,1.3
804.693,30.1,36.0,1006.2,False,47.8,246,1.4
864.703,30.1,38.0,1006.3,False,47.9,198,2.1
924.698,30.1,36.0,1006.2,False,47.9,225,1.0
984.697,30.2,36.0,1006.3,False,47.9,203,1.7
1044.696,30.1,35.0,1006.2,False,47.9,224,1.6
1104.704,30.2,36.0,1006.1,False,47.9,0,1.1
1164.698,30.3,36.0,1006.1,False,48.0,200,1.0
1224.703,30.3,35.0,1006.2,False,48.3,183,1.2
1284.711,30.2,35.0,1006.2,False,48.6,292,1.3
1344.704,30.2,35.0,1006.2,False,48.7,319,1.1
1404.704,30.3,36.0,1006.2,False,48.5,354,0.9
1464.711,30.2,35.0,1006.2,False,48.3,54,0.9
1524.702,30.3,37.0,1006.2,False,48.4,192,0.6
1584.707,30.4,36.0,1006.2,False,48.8,208,1.1
1644.708,30.4,35.0,1006.3,False,48.6,176,1.7
1704.704,30.4,35.0,1006.2,False,48.6,223,1.6
1764.708,30.5,34.0,1006.2,False,48.8,199,1.4
1824.707,30.5,35.0,1006.2,False,48.8,260,1.7
1884.715,30.5,35.0,1006.2,False,48.5,196,1.0
1944.708,30.5,35.0,1006.2,False,48.5,182,1.1
2004.723,30.4,35.0,1006.2,False,49.0,159,0.9
2064.709,30.4,36.0,1006.2,False,49.0,211,1.3
2124.71,30.3,34.0,1006.2,False,49.0,210,1.2
2184.715,30.4,34.0,1006.2,False,48.8,170,1.3
2244.715,30.4,35.0,1006.2,False,48.8,212,1.5
2304.715,30.3,34.0,1006.0,False,48.7,169,1.8
2364.717,30.4,35.0,1006.2,False,48.3,205,1.7
2424.716,30.4,34.0,1006.1,False,48.7,107,1.7
2484.72,30.4,35.0,1006.2,False,48.8,226,0.8
2544.717,30.3,34.0,1006.1,False,48.8,175,1.5
2604.718,30.3,34.0,1006.1,False,48.8,206,2.0
2664.721,30.2,33.0,1006.1,False,48.9,221,1.9
2724.716,30.3,32.0,1006.1,False,49.4,209,1.6
2784.72,30.2,34.0,1006.2,False,49.1,204,2.2
2844.731,30.2,35.0,1006.2,False,49.0,207,1.2
2904.72,30.1,35.0,1006.2,False,49.1,198,1.1
2964.723,30.1,35.0,1006.1,False,49.1,206,1.4
3024.725,30.2,34.0,1006.0,False,49.1,201,1.3
3084.721,30.2,34.0,1006.1,False,48.8,187,1.4
3144.724,30.4,35.0,1006.1,False,48.9,209,1.6
3204.725,30.3,33.0,1006.2,False,48.8,212,2.1
3264.728,30.3,33.0,1006.1,False,48.7,206,1.2
3324.727,30.1,33.0,1006.2,False,49.0,202,1.4
3384.729,30.1,33.0,1006.0,False,49.1,199,1.2
3444.73,30.2,34.0,1006.1,False,49.8,203,1.5
3504.729,30.3,33.0,1006.1,False,49.9,190,1.6
3564.731,30.4,32.0,1006.1,False,49.9,166,1.5
3624.732,30.5,31.0,1006.1,False,49.9,191,1.5
3684.732,30.6,32.0,1006.1,False,50.0,125,0.9
3744.746,30.7,32.0,1006.1,False,50.1,321,1.3
3804.746,30.6,32.0,1005.9,False,50.1,209,1.4
3864.751,30.7,32.0,1006.0,False,50.2,108,1.2
3924.754,30.8,33.0,1005.9,False,50.2,189,1.1
3984.753,30.8,32.0,1006.0,False,50.1,18,0.7
4044.77,30.6,31.0,1005.9,False,50.1,269,1.7
4104.774,30.8,30.0,1006.0,False,49.8,51,1.2
4164.781,30.8,30.0,1005.9,False,49.8,226,0.7
4224.784,30.9,29.0,1006.0,False,50.2,20,0.7
4284.786,31.0,30.0,1006.0,False,50.2,25,1.8
4344.792,31.0,29.0,1005.9,False,49.6,33,2.2
4404.787,30.9,30.0,1006.0,False,49.6,22,2.1
4464.79,30.8,30.0,1005.9,False,49.7,34,2.4
4524.819,30.9,30.0,1005.9,False,49.6,32,2.0
4584.808,30.8,31.0,1005.7,False,49.6,34,2.8
4644.836,30.8,32.0,1005.9,False,49.2,201,1.8
4704.852,30.7,31.0,1005.8,False,49.2,338,1.2
4764.87,30.7,30.0,1005.9,False,49.6,0,1.6
