Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3473.982,VER,1,79.68,1.0,1.0,,,,26.612,22.797,,3451.29,3474.097,283.0,266.0,296.0,215.0,False,SOFT,1.0,True,Red Bull Racing,3394.052,2025-08-31 13:03:21.065,1,2.0,False,,False,False
3550.286,VER,1,76.304,2.0,1.0,,,26.079,27.315,22.91,3500.077,3527.392,3550.302,285.0,262.0,296.0,275.0,True,SOFT,2.0,True,Red Bull Racing,3473.982,2025-08-31 13:04:40.995,1,2.0,False,,False,True
3626.325,VER,1,76.039,3.0,1.0,,,25.774,27.395,22.87,3576.076,3603.471,3626.341,286.0,265.0,297.0,292.0,True,SOFT,3.0,True,Red Bull Racing,3550.286,2025-08-31 13:05:57.299,1,2.0,False,,False,True
3702.141,VER,1,75.816,4.0,1.0,,,25.638,27.353,22.825,3651.979,3679.332,3702.157,285.0,266.0,296.0,289.0,True,SOFT,4.0,True,Red Bull Racing,3626.325,2025-08-31 13:07:13.338,1,2.0,False,,False,True
3778.087,VER,1,75.946,5.0,1.0,,,25.78,27.305,22.861,3727.937,3755.242,3778.103,286.0,265.0,296.0,292.0,False,SOFT,5.0,True,Red Bull Racing,3702.141,2025-08-31 13:08:29.154,1,2.0,False,,False,True
3853.835,VER,1,75.748,6.0,1.0,,,25.826,27.164,22.758,3803.929,3831.093,3853.851,285.0,265.0,296.0,294.0,True,SOFT,6.0,True,Red Bull Racing,3778.087,2025-08-31 13:09:45.100,1,2.0,False,,False,True
3929.483,VER,1,75.648,7.0,1.0,,,25.58,27.278,22.79,3879.431,3906.709,3929.499,,265.0,296.0,290.0,True,SOFT,7.0,True,Red Bull Racing,3853.835,2025-08-31 13:11:00.848,1,2.0,False,,False,True
4005.236,VER,1,75.753,8.0,1.0,,,25.658,27.421,22.674,3955.157,3982.578,4005.252,286.0,265.0,296.0,291.0,False,SOFT,8.0,True,Red Bull Racing,3929.483,2025-08-31 13:12:16.496,1,2.0,False,,False,True
4081.842,VER,1,76.606,9.0,1.0,,,26.321,27.522,22.763,4031.573,4059.095,4081.858,287.0,267.0,298.0,301.0,False,SOFT,9.0,True,Red Bull Racing,4005.236,2025-08-31 13:13:32.249,1,3.0,False,,False,True
4157.642,VER,1,75.8,10.0,1.0,,,25.731,27.29,22.779,4107.589,4134.879,4157.658,,266.0,298.0,290.0,False,SOFT,10.0,True,Red Bull Racing,4081.842,2025-08-31 13:14:48.855,1,3.0,False,,False,True
4233.569,VER,1,75.927,11.0,1.0,,,25.646,27.485,22.796,4183.304,4210.789,4233.585,286.0,263.0,297.0,294.0,False,SOFT,11.0,True,Red Bull Racing,4157.642,2025-08-31 13:16:04.655,1,3.0,False,,False,True
4309.649,VER,1,76.08,12.0,1.0,,,25.669,27.539,22.872,4259.254,4286.793,4309.665,285.0,264.0,297.0,,False,SOFT,12.0,True,Red Bull Racing,4233.569,2025-08-31 13:17:20.582,1,3.0,False,,False,True
4385.78,VER,1,76.131,13.0,1.0,,,25.594,27.584,22.953,4335.259,4362.843,4385.796,,264.0,296.0,,False,SOFT,13.0,True,Red Bull Racing,4309.649,2025-08-31 13:18:36.662,1,3.0,False,,False,True
4461.814,VER,1,76.034,14.0,1.0,,,25.61,27.634,22.79,4411.406,4439.04,4461.83,,263.0,297.0,296.0,False,SOFT,14.0,True,Red Bull Racing,4385.78,2025-08-31 13:19:52.793,1,3.0,False,,False,True
4538.224,VER,1,76.41,15.0,1.0,,,25.678,27.693,23.039,4487.508,4515.201,4538.24,,265.0,297.0,293.0,False,SOFT,15.0,True,Red Bull Racing,4461.814,2025-08-31 13:21:08.827,1,3.0,False,,False,True
4614.421,VER,1,76.197,16.0,1.0,,,25.679,27.559,22.959,4563.919,4591.478,4614.437,,265.0,296.0,294.0,False,SOFT,16.0,True,Red Bull Racing,4538.224,2025-08-31 13:22:25.237,1,3.0,False,,False,True
4690.618,VER,1,76.197,17.0,1.0,,,25.677,27.712,22.808,4640.114,4667.826,4690.634,286.0,265.0,296.0,293.0,False,SOFT,17.0,True,Red Bull Racing,4614.421,2025-08-31 13:23:41.434,1,3.0,False,,False,True
4766.774,VER,1,76.156,18.0,1.0,,,25.613,27.688,22.855,4716.247,4743.935,4766.79,285.0,263.0,297.0,296.0,False,SOFT,18.0,True,Red Bull Racing,4690.618,2025-08-31 13:24:57.631,1,3.0,False,,False,True
4843.209,VER,1,76.435,19.0,1.0,,,25.616,27.848,22.971,4792.406,4820.254,4843.225,,264.0,296.0,,False,SOFT,19.0,True,Red Bull Racing,4766.774,2025-08-31 13:26:13.787,1,3.0,False,,False,True
4919.919,VER,1,76.71,20.0,1.0,,,25.975,27.679,23.056,4869.2,4896.879,4919.935,286.0,263.0,297.0,287.0,False,SOFT,20.0,True,Red Bull Racing,4843.209,2025-08-31 13:27:30.222,1,3.0,False,,False,True
4996.625,VER,1,76.706,21.0,1.0,,,25.746,27.964,22.996,4945.681,4973.645,4996.641,,264.0,297.0,297.0,False,SOFT,21.0,True,Red Bull Racing,4919.919,2025-08-31 13:28:46.932,1,3.0,False,,False,True
5073.023,VER,1,76.398,22.0,1.0,,,25.839,27.766,22.793,5022.48,5050.246,5073.039,,265.0,297.0,296.0,False,SOFT,22.0,True,Red Bull Racing,4996.625,2025-08-31 13:30:03.638,1,3.0,False,,False,True
5163.952,VER,1,90.929,23.0,1.0,,5162.731,25.65,33.518,31.761,5098.689,5132.207,5163.968,285.0,213.0,,,False,SOFT,23.0,True,Red Bull Racing,5073.023,2025-08-31 13:31:20.036,124,3.0,False,,False,False
5282.455,VER,1,118.503,24.0,2.0,5181.478,,54.152,34.189,30.162,5218.12,5252.309,5282.471,257.0,123.0,231.0,,False,MEDIUM,1.0,True,Red Bull Racing,5163.952,2025-08-31 13:32:50.965,4,3.0,False,,False,False
