Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3501.863,VER,1,87.191,1.0,1.0,3428.347,,,39.288,17.131,,3484.976,3502.006,306.0,244.0,305.0,,False,HARD,1.0,True,Red Bull Racing,3414.48,2025-11-09 17:03:14.079,12,18.0,False,,False,False
3622.276,VER,1,120.413,2.0,1.0,,,21.32,75.859,23.234,3523.249,3599.108,3622.342,120.0,199.0,243.0,271.0,True,HARD,2.0,True,Red Bull Racing,3501.863,2025-11-09 17:04:41.462,24,17.0,False,,False,False
3731.283,VER,1,109.007,3.0,1.0,,,21.675,58.682,28.65,3644.017,3702.699,3731.349,167.0,197.0,253.0,258.0,True,HARD,3.0,True,Red Bull Racing,3622.276,2025-11-09 17:06:41.875,4,16.0,False,,False,False
3837.903,VER,1,106.62,4.0,1.0,,,25.318,59.748,21.554,3756.667,3816.415,3837.969,236.0,221.0,233.0,237.0,True,HARD,4.0,True,Red Bull Racing,3731.283,2025-11-09 17:08:30.882,4,16.0,False,,False,False
3945.792,VER,1,107.889,5.0,1.0,,,30.078,50.463,27.348,3868.047,3918.51,3945.858,250.0,229.0,291.0,247.0,False,HARD,5.0,True,Red Bull Racing,3837.903,2025-11-09 17:10:17.502,41,16.0,False,,False,False
4024.287,VER,1,78.495,6.0,1.0,,,20.374,40.996,17.125,3966.232,4007.228,4024.353,317.0,249.0,314.0,290.0,True,HARD,6.0,True,Red Bull Racing,3945.792,2025-11-09 17:12:05.391,12,13.0,False,,False,True
4131.748,VER,1,107.461,7.0,1.0,,4128.918,34.453,45.325,27.683,4058.806,4104.131,4131.814,157.0,178.0,,287.0,False,HARD,7.0,True,Red Bull Racing,4024.287,2025-11-09 17:13:23.886,26,17.0,False,,False,False
4236.096,VER,1,104.348,8.0,2.0,4152.204,,37.366,49.826,17.156,4169.18,4219.006,4236.162,287.0,178.0,318.0,,False,MEDIUM,1.0,True,Red Bull Racing,4131.748,2025-11-09 17:15:11.347,671,18.0,False,,False,False
4309.237,VER,1,73.141,9.0,2.0,,,18.886,37.345,16.91,4255.048,4292.393,4309.303,313.0,252.0,311.0,310.0,True,MEDIUM,2.0,True,Red Bull Racing,4236.096,2025-11-09 17:16:55.695,1,16.0,False,,False,True
4382.286,VER,1,73.049,10.0,2.0,,,18.826,37.385,16.838,4328.129,4365.514,4382.352,,254.0,316.0,309.0,True,MEDIUM,3.0,True,Red Bull Racing,4309.237,2025-11-09 17:18:08.836,1,16.0,False,,False,True
4456.021,VER,1,73.735,11.0,2.0,,,18.826,38.06,16.849,,4439.238,4456.087,315.0,254.0,331.0,311.0,False,MEDIUM,4.0,True,Red Bull Racing,4382.286,2025-11-09 17:19:21.885,1,16.0,False,,False,True
4530.837,VER,1,74.816,12.0,2.0,,,18.756,39.077,16.983,4474.843,4513.92,4530.903,332.0,248.0,326.0,317.0,False,MEDIUM,5.0,True,Red Bull Racing,4456.021,2025-11-09 17:20:35.620,1,16.0,False,,False,True
4605.902,VER,1,75.065,13.0,2.0,,,18.894,39.13,17.041,4549.797,4588.927,4605.968,330.0,249.0,328.0,327.0,False,MEDIUM,6.0,True,Red Bull Racing,4530.837,2025-11-09 17:21:50.436,1,14.0,False,,False,True
4680.983,VER,1,75.081,14.0,2.0,,,18.939,39.121,17.021,4624.907,4664.028,4681.049,317.0,252.0,333.0,325.0,False,MEDIUM,7.0,True,Red Bull Racing,4605.902,2025-11-09 17:23:05.501,1,14.0,False,,False,True
